image_number,evaluation_1,evaluation_2_1,evaluation_2_2,evaluation_2_3,evaluation_3,evaluation_4,evaluation_5,evaluation_6
1,33,0.969697,0.030303,0.727273,10.2656,0.878788,0.965517,0.852941
2,34,0.941176,0.0294118,0.676471,9.56343,0.911765,0.645161,0.909091
3,34,1,0.0294118,0.676471,12.9736,0.941176,0.9375,0.941176
4,36,0.944444,0.0277778,0.611111,14.275,0.888889,0.96875,0.911765
5,37,0.918919,0.027027,0.621622,14.9405,0.891892,0.757576,0.916667
6,34,0.941176,0.0294118,0.617647,11.047,0.941176,0.65625,0.891892
7,33,0.969697,0.030303,0.666667,13.3545,0.969697,0.96875,0.970588
8,34,0.970588,0.0294118,0.617647,10.9519,0.911765,0.967742,0.939394
9,32,0.90625,0.03125,0.65625,10.984,0.90625,0.689655,0.911765
10,33,0.969697,0.030303,0.666667,12.7386,0.939394,1,0.96875
11,34,0.970588,0.0588235,0.647059,10.412,0.941176,0.75,0.969697
12,30,0.933333,0.0333333,0.733333,11.5793,0.966667,0.965517,0.882353
13,32,0.9375,0.03125,0.65625,10.6318,0.9375,1,1
14,31,0.935484,0.0322581,0.709677,10.5301,0.903226,0.785714,0.875
15,34,0.911765,0.0588235,0.647059,11.2292,0.852941,0.931034,0.967742
16,31,0.935484,0.0322581,0.677419,11.4336,0.967742,1,0.911765
17,33,0.969697,0.030303,0.666667,10.6521,0.878788,0.965517,0.935484
18,31,0.935484,0.0322581,0.741935,10.5871,0.935484,0.862069,0.909091
19,31,0.903226,0.0322581,0.709677,12.1937,0.903226,0.928571,0.903226
20,32,0.96875,0.03125,0.625,11.4729,0.8125,1,0.83871
21,31,0.967742,0.0322581,0.741935,11.4828,0.967742,0.966667,0.90625
22,29,0.965517,0.0344828,0.724138,11.173,0.896552,0.884615,0.83871
23,30,0.966667,0.0666667,0.733333,11.3237,0.9,0.777778,0.965517
24,32,0.96875,0.03125,0.71875,11.3657,0.9375,0.966667,1
25,31,0.935484,0.0322581,0.645161,14.4375,0.903226,0.892857,0.90625
