image_number,evaluation_1,evaluation_2_1,evaluation_2_2,evaluation_2_3,evaluation_3,evaluation_4,evaluation_5,evaluation_6
1,702,0.896011,0.0726496,0.290598,198.72,0.785714,0.818182,0.851528
2,710,0.9,0.0830986,0.290141,194.797,0.762115,0.647399,0.848214
3,704,0.894886,0.0596591,0.291193,192.261,0.811404,0.675676,0.828194
4,718,0.891365,0.0710306,0.296657,199.785,0.79638,0.994318,0.79386
5,711,0.886076,0.0801688,0.293952,203.165,0.767241,0.713483,0.819005
6,719,0.908206,0.0681502,0.297636,208.252,0.787611,0.988764,0.853448
7,721,0.891817,0.0776699,0.289875,192.441,0.786667,0.60452,0.853982
8,721,0.891817,0.073509,0.302358,192.349,0.803493,1,0.862222
9,702,0.877493,0.0826211,0.297721,191.449,0.817352,0.821229,0.873362
10,724,0.893646,0.0718232,0.279006,192.384,0.77193,0.971591,0.844749
11,708,0.899718,0.0706215,0.316384,194.085,0.780702,0.820225,0.846491
12,700,0.911429,0.0685714,0.287143,191.75,0.790179,0.768362,0.842105
13,719,0.891516,0.0639777,0.300417,192.08,0.763393,0.994152,0.825893
14,705,0.889362,0.0780142,0.320567,193.108,0.792035,0.860335,0.879464
15,724,0.892265,0.0676796,0.305249,195.682,0.754167,0.917127,0.831858
16,699,0.892704,0.0729614,0.30329,190.864,0.781818,0.837209,0.829167
17,710,0.894366,0.0690141,0.319718,191.939,0.769912,0.988506,0.818182
18,720,0.890278,0.0736111,0.279167,191.398,0.769912,1,0.845133
19,703,0.894737,0.0725462,0.311522,194.611,0.789238,0.994318,0.840708
20,712,0.904494,0.0772472,0.320225,194.505,0.771552,0.854749,0.843049
21,735,0.896599,0.0557823,0.310204,192.588,0.783898,0.810811,0.844828
22,703,0.899004,0.0583215,0.327169,192.757,0.788793,0.775956,0.830508
23,701,0.895863,0.0798859,0.298146,195.292,0.800905,0.728814,0.849138
24,697,0.893831,0.0545194,0.288379,193.69,0.792035,0.972067,0.846154
25,698,0.898281,0.0744986,0.303725,194.116,0.803738,0.55814,0.871681
26,700,0.915714,0.0728571,0.308571,195.682,0.790179,0.819209,0.878505
27,705,0.904965,0.0695035,0.31773,196.694,0.745614,0.994118,0.830357
28,703,0.903272,0.0654339,0.302987,193.081,0.786667,0.971751,0.868421
29,708,0.902542,0.0677966,0.316384,193.137,0.785714,0.983957,0.88
30,711,0.890295,0.0604782,0.329114,194.287,0.790393,0.850829,0.840336
31,723,0.91148,0.06639,0.278008,193.354,0.761317,0.708108,0.860262
32,728,0.887363,0.0686813,0.28022,193.973,0.8,0.782609,0.843621
33,714,0.918768,0.0714286,0.329132,194.014,0.803493,0.755435,0.856522
34,724,0.896409,0.0690608,0.302486,193.15,0.774892,0.743017,0.829694
35,715,0.892308,0.0797203,0.314685,193.732,0.760684,0.623596,0.805195
36,726,0.88843,0.0716253,0.305785,195.117,0.796537,0.820652,0.824786
37,720,0.908333,0.0666667,0.305556,196.366,0.760331,0.98913,0.852814
38,705,0.906383,0.0553191,0.320567,195.255,0.809524,0.967914,0.867769
39,700,0.888571,0.0628571,0.328571,192.618,0.779736,0.694915,0.839827
40,701,0.898716,0.0713267,0.339515,193.823,0.78733,1,0.819383
41,743,0.90175,0.0726783,0.318977,193.768,0.729839,0.624309,0.873303
42,743,0.882907,0.0686406,0.288022,194.735,0.791489,0.672043,0.818548
43,725,0.902069,0.0744828,0.293793,196.137,0.764957,0.994413,0.838298
44,714,0.90056,0.0658263,0.334734,194.806,0.802632,0.836066,0.84188
45,709,0.899859,0.0705219,0.294781,194.408,0.798246,0.978022,0.859649
46,736,0.903533,0.0774457,0.30163,194.527,0.772727,0.68984,0.855263
47,828,0.910628,0.0603865,0.297101,194.947,0.657795,0.959538,0.772727
48,733,0.914052,0.0682128,0.28513,192.902,0.731915,0.831395,0.653992
49,724,0.900552,0.0662983,0.314917,194.199,0.729167,0.64,0.842553
50,718,0.908078,0.0612813,0.330084,194.392,0.770213,0.883978,0.875
51,715,0.888112,0.0685315,0.303497,194.481,0.811404,0.940541,0.859574
52,734,0.885559,0.0653951,0.303815,193.73,0.74359,0.586207,0.837719
53,707,0.902405,0.0735502,0.315417,195.356,0.793103,0.994565,0.850427
