image_number,evaluation_1,evaluation_2_1,evaluation_2_2,evaluation_2_3,evaluation_3,evaluation_4,evaluation_5,evaluation_6
1,702,0.896011,0.0726496,0.290598,398.986,0.767806,0.714286,0.767705
2,710,0.9,0.0830986,0.290141,405.161,0.743662,0.831439,0.746439
3,704,0.894886,0.0596591,0.291193,395.506,0.776989,0.879342,0.756338
4,718,0.891365,0.0710306,0.296657,412.595,0.764624,0.965392,0.759943
5,711,0.886076,0.0801688,0.293952,413.129,0.772152,0.934426,0.738162
6,719,0.908206,0.0681502,0.297636,400.285,0.746871,0.73743,0.739803
7,721,0.891817,0.0776699,0.289875,391.545,0.743412,0.977612,0.738526
8,721,0.891817,0.073509,0.302358,388.642,0.762829,0.794545,0.760055
9,702,0.877493,0.0826211,0.297721,375.655,0.767806,0.966605,0.754508
10,724,0.893646,0.0718232,0.279006,366.475,0.75,0.977901,0.754986
11,708,0.899718,0.0706215,0.316384,363.745,0.783898,0.771171,0.763812
12,700,0.911429,0.0685714,0.287143,370.127,0.768571,0.931227,0.762712
13,719,0.891516,0.0639777,0.300417,364.072,0.757997,0.891743,0.76
14,705,0.889362,0.0780142,0.320567,361.392,0.765957,0.748148,0.748261
15,724,0.892265,0.0676796,0.305249,366.627,0.758287,0.970856,0.763121
16,699,0.892704,0.0729614,0.30329,365.04,0.7897,0.969203,0.737569
17,710,0.894366,0.0690141,0.319718,364.044,0.767606,0.910092,0.782546
18,720,0.890278,0.0736111,0.279167,363.955,0.759722,0.789762,0.776056
19,703,0.894737,0.0725462,0.311522,360.637,0.778094,0.978062,0.733333
20,712,0.904494,0.0772472,0.320225,360.07,0.764045,0.783088,0.772404
21,735,0.896599,0.0557823,0.310204,363.163,0.759184,0.976703,0.775281
22,703,0.899004,0.0583215,0.327169,360.008,0.769559,0.972274,0.727891
23,701,0.895863,0.0798859,0.298146,362.537,0.757489,0.885122,0.756757
24,697,0.893831,0.0545194,0.288379,363.952,0.753228,0.937143,0.761769
25,698,0.898281,0.0744986,0.303725,363.041,0.775072,0.977819,0.764706
26,700,0.915714,0.0728571,0.308571,369.219,0.771429,0.712963,0.762178
27,705,0.904965,0.0695035,0.31773,359.963,0.729078,0.924125,0.715714
28,703,0.903272,0.0654339,0.302987,360.131,0.733997,0.924419,0.699291
29,708,0.902542,0.0677966,0.316384,357.725,0.731638,0.793436,0.715505
30,711,0.890295,0.0604782,0.329114,357.908,0.776371,0.974638,0.776836
31,723,0.91148,0.06639,0.278008,368.084,0.764869,0.844485,0.753868
32,728,0.887363,0.0686813,0.28022,364.444,0.76511,0.978456,0.770401
33,714,0.918768,0.0714286,0.329132,362.164,0.77591,0.990975,0.769231
34,724,0.896409,0.0690608,0.302486,359.099,0.755525,0.669104,0.764706
35,715,0.892308,0.0797203,0.314685,360.868,0.755245,0.942593,0.73895
36,726,0.88843,0.0716253,0.305785,362.231,0.77135,0.858929,0.786014
37,720,0.908333,0.0666667,0.305556,365.293,0.784722,0.982301,0.767218
38,705,0.906383,0.0553191,0.320567,363.911,0.777305,0.906934,0.752778
39,700,0.888571,0.0628571,0.328571,368.78,0.765714,0.983209,0.750355
40,701,0.898716,0.0713267,0.339515,399.782,0.778887,0.908425,0.767143
41,743,0.90175,0.0726783,0.318977,380.512,0.73755,0.708029,0.767475
42,743,0.882907,0.0686406,0.288022,382.496,0.751009,0.874552,0.745626
43,725,0.902069,0.0744828,0.293793,389.713,0.772414,0.651786,0.746972
44,714,0.90056,0.0658263,0.334734,383.534,0.784314,0.866071,0.764138
45,709,0.899859,0.0705219,0.294781,381.123,0.784203,0.922662,0.792717
46,736,0.903533,0.0774457,0.30163,382.206,0.758152,0.9319,0.763047
47,828,0.910628,0.0603865,0.297101,386.396,0.614734,0.719057,0.661685
48,733,0.914052,0.0682128,0.28513,387.358,0.676671,0.627016,0.567633
49,724,0.900552,0.0662983,0.314917,382.902,0.732044,0.971698,0.703956
50,718,0.908078,0.0612813,0.330084,397.151,0.749304,0.802974,0.744475
51,715,0.888112,0.0685315,0.303497,398.236,0.762238,0.972477,0.740947
52,734,0.885559,0.0653951,0.303815,392.284,0.734332,0.903525,0.763636
53,707,0.902405,0.0735502,0.315417,398.461,0.768034,0.843462,0.716621
54,724,0.903315,0.0745856,0.320442,397.536,0.756906,0.970803,0.758133
55,727,0.895461,0.0701513,0.30674,395.702,0.741403,0.975881,0.754144
56,717,0.895397,0.0711297,0.327755,396.427,0.760112,0.985321,0.755158
57,729,0.90535,0.0672154,0.318244,395.231,0.746228,0.983456,0.746165
58,711,0.894515,0.0646976,0.31083,393.699,0.780591,0.821622,0.758573
59,730,0.919178,0.0643836,0.310959,393.332,0.735616,0.970205,0.735584
60,734,0.891008,0.0640327,0.320163,391.374,0.737057,0.96488,0.720548
61,713,0.900421,0.0659187,0.28892,394.845,0.736325,0.975238,0.717984
62,723,0.88935,0.0594744,0.28769,396.265,0.694329,0.669323,0.68864
63,733,0.911323,0.0600273,0.31105,396.485,0.665757,0.887295,0.672199
64,746,0.906166,0.0697051,0.310992,392.667,0.705094,0.895437,0.690314
65,751,0.909454,0.0665779,0.327563,395.157,0.679095,0.872549,0.683646
66,722,0.891967,0.0692521,0.307479,395.001,0.702216,0.976331,0.673768
67,745,0.912752,0.0657718,0.324832,402.315,0.665772,0.614919,0.623269
68,743,0.913863,0.0592194,0.329744,396.74,0.701211,0.884837,0.679195
69,724,0.907459,0.058011,0.334254,392.803,0.694751,0.715706,0.64603
70,722,0.907202,0.0581717,0.34072,393.403,0.645429,0.766094,0.607735
71,710,0.922535,0.0507042,0.329577,392.181,0.677465,0.746362,0.641274
72,706,0.912181,0.082153,0.335694,392.192,0.63881,0.687361,0.595775
73,735,0.914286,0.0979592,0.306122,386.887,0.621769,0.601751,0.603399
74,753,0.909695,0.0863214,0.334661,391.031,0.649402,0.638037,0.621769
75,730,0.910959,0.0739726,0.353425,389.58,0.589041,0.595349,0.513944
76,747,0.921017,0.064257,0.313253,386.189,0.57162,0.868852,0.528767
77,746,0.903485,0.075067,0.313673,389.882,0.605898,0.639381,0.511379
78,749,0.929239,0.0734312,0.320427,388.406,0.586115,0.569476,0.517426
79,744,0.90457,0.0672043,0.331989,401.612,0.602151,0.553571,0.520694
80,726,0.899449,0.0812672,0.31405,386.519,0.603306,0.748858,0.50672
81,716,0.905028,0.0670391,0.310056,385.017,0.599162,0.512821,0.53719
82,732,0.887978,0.0724044,0.342896,384.402,0.603825,0.81448,0.555866
83,707,0.902405,0.0848656,0.311174,383.864,0.598303,0.758865,0.502732
84,730,0.910959,0.0575342,0.345205,387.616,0.616438,0.713333,0.570014
85,715,0.917483,0.0699301,0.324476,385.773,0.65035,0.853763,0.554795
86,766,0.908616,0.0796345,0.309399,391.342,0.591384,0.783664,0.569231
87,720,0.923611,0.0694444,0.315278,386.051,0.648611,0.8394,0.537859
88,737,0.903664,0.0678426,0.347354,386.116,0.617368,0.714286,0.547222
89,707,0.912306,0.0749646,0.306931,384.419,0.585573,0.799517,0.530529
90,714,0.880952,0.0868347,0.32493,388.619,0.603641,0.740139,0.5686
91,691,0.920405,0.0824891,0.341534,391.305,0.632417,0.89016,0.543417
92,672,0.895833,0.0744048,0.269345,384.476,0.641369,0.700696,0.596237
93,749,0.921228,0.0947931,0.268358,387.655,0.582109,0.883028,0.574405
94,734,0.891008,0.0817439,0.3297,384.546,0.651226,0.587866,0.624833
95,711,0.912799,0.0632911,0.324895,388.06,0.632911,0.677778,0.56267
96,713,0.896213,0.0799439,0.349229,387.464,0.636746,0.905286,0.576653
97,703,0.928876,0.0753912,0.351351,390.814,0.588905,0.635266,0.478261
98,736,0.918478,0.076087,0.322011,388.726,0.596467,0.61959,0.539118
99,686,0.924198,0.0801749,0.345481,385.904,0.674927,0.634989,0.565217
100,706,0.909348,0.0708215,0.310198,386.242,0.627479,0.713318,0.584548
101,706,0.889518,0.0878187,0.314448,385.139,0.606232,0.705607,0.545326
102,707,0.895332,0.0792079,0.302687,388.049,0.613861,0.640553,0.531161
103,712,0.898876,0.0758427,0.287921,383.779,0.641854,0.693654,0.618105
104,707,0.902405,0.0721358,0.292786,384.866,0.62942,0.910112,0.561798
105,697,0.886657,0.0731707,0.348637,402.089,0.64132,0.615213,0.560113
106,705,0.883688,0.0595745,0.314894,384.188,0.605674,0.618267,0.546628
107,712,0.894663,0.0632022,0.31882,384.094,0.601124,0.563084,0.531915
108,700,0.885714,0.09,0.345714,393.478,0.64,0.870536,0.58427
109,663,0.906486,0.0829563,0.301659,382.89,0.659125,0.956522,0.587143
110,697,0.906743,0.0674319,0.314204,385.666,0.602582,0.707143,0.582202
111,686,0.876093,0.0685131,0.314869,383.706,0.664723,0.901316,0.608321
112,669,0.880419,0.0538117,0.310912,382.881,0.648729,0.917051,0.574344
113,656,0.881098,0.0625,0.332317,388.381,0.589939,0.906977,0.511211
114,638,0.894984,0.0705329,0.330721,380.601,0.586207,0.885027,0.471037
115,647,0.893354,0.0680062,0.33694,384.325,0.590417,0.636126,0.53605
116,650,0.895385,0.0661538,0.34,385.59,0.587692,0.772251,0.508501
117,631,0.896989,0.066561,0.326466,379.992,0.624406,0.812183,0.536923
118,656,0.910061,0.0533537,0.382622,392.013,0.606707,0.821608,0.557845
119,640,0.895312,0.0796875,0.326562,380.01,0.60625,0.863402,0.554878
120,667,0.889055,0.0674663,0.392804,386.603,0.596702,0.761307,0.554688
121,650,0.9,0.0615385,0.367692,381.003,0.630769,0.846341,0.587706
122,679,0.893962,0.0721649,0.371134,386.539,0.600884,0.872549,0.553846
123,678,0.89233,0.079646,0.315634,393.308,0.584071,0.790404,0.541973
124,663,0.901961,0.0693816,0.372549,384.41,0.615385,0.602941,0.523599
125,680,0.894118,0.0779412,0.335294,383.471,0.605882,0.592233,0.567119
126,694,0.897695,0.0878963,0.334294,383.123,0.596542,0.68599,0.529412
