image_number,evaluation_1,evaluation_2_1,evaluation_2_2,evaluation_2_3,evaluation_3,evaluation_4,evaluation_5,evaluation_6
1,702,0.896011,0.0726496,0.290598,219.437,0.653846,0.647059,0.701754
2,710,0.9,0.0830986,0.290141,221.983,0.555556,0.966667,0.634615
3,704,0.894886,0.0596591,0.291193,221.667,0.66,0.757576,0.703704
4,718,0.891365,0.0710306,0.296657,226.104,0.72093,0.709677,0.68
5,711,0.886076,0.0801688,0.293952,228.835,0.5,0.555556,0.651163
6,719,0.908206,0.0681502,0.297636,233.782,0.596491,0.735294,0.592593
7,721,0.891817,0.0776699,0.289875,229.62,0.68,0.823529,0.684211
8,721,0.891817,0.073509,0.302358,224.407,0.589286,0.909091,0.66
9,702,0.877493,0.0826211,0.297721,221.504,0.62,0.580645,0.517857
10,724,0.893646,0.0718232,0.279006,224.284,0.545455,0.666667,0.62
11,708,0.899718,0.0706215,0.316384,221.322,0.666667,0.852941,0.618182
12,700,0.911429,0.0685714,0.287143,221.784,0.611111,0.939394,0.607843
13,719,0.891516,0.0639777,0.300417,221.603,0.564516,0.885714,0.722222
14,705,0.889362,0.0780142,0.320567,221.715,0.784314,0.925,0.741935
15,724,0.892265,0.0676796,0.305249,221.234,0.648148,0.742857,0.666667
16,699,0.892704,0.0729614,0.30329,220.374,0.692308,0.777778,0.62963
17,710,0.894366,0.0690141,0.319718,219.259,0.603774,0.59375,0.615385
18,720,0.890278,0.0736111,0.279167,219.994,0.62963,0.794118,0.735849
19,703,0.894737,0.0725462,0.311522,219.745,0.679245,0.694444,0.722222
20,712,0.904494,0.0772472,0.320225,220.844,0.632653,0.516129,0.660377
21,735,0.896599,0.0557823,0.310204,221.611,0.6,0.606061,0.714286
22,703,0.899004,0.0583215,0.327169,222.147,0.59322,0.6,0.654545
23,701,0.895863,0.0798859,0.298146,224.908,0.574074,0.903226,0.559322
24,697,0.893831,0.0545194,0.288379,223.098,0.576923,0.833333,0.685185
25,698,0.898281,0.0744986,0.303725,224.479,0.647059,0.818182,0.673077
26,700,0.915714,0.0728571,0.308571,224.31,0.563636,0.612903,0.627451
27,705,0.904965,0.0695035,0.31773,224.879,0.654545,0.638889,0.690909
28,703,0.903272,0.0654339,0.302987,223.58,0.627119,0.486486,0.690909
29,708,0.902542,0.0677966,0.316384,223.478,0.672414,0.692308,0.661017
30,711,0.890295,0.0604782,0.329114,225,0.689655,0.85,0.775862
31,723,0.91148,0.06639,0.278008,220.844,0.655738,0.8,0.758621
32,728,0.887363,0.0686813,0.28022,226.808,0.770833,0.72973,0.639344
33,714,0.918768,0.0714286,0.329132,222.503,0.583333,0.571429,0.75
34,724,0.896409,0.0690608,0.302486,220.707,0.631579,0.916667,0.6
35,715,0.892308,0.0797203,0.314685,221.995,0.568966,0.757576,0.614035
36,726,0.88843,0.0716253,0.305785,223.478,0.745763,0.840909,0.672414
37,720,0.908333,0.0666667,0.305556,221.511,0.740741,0.7,0.694915
38,705,0.906383,0.0553191,0.320567,221.184,0.666667,0.722222,0.722222
39,700,0.888571,0.0628571,0.328571,217.792,0.578947,0.878788,0.574074
40,701,0.898716,0.0713267,0.339515,217.517,0.698113,0.675676,0.684211
41,743,0.90175,0.0726783,0.318977,217.398,0.576271,0.941176,0.622642
42,743,0.882907,0.0686406,0.288022,216.911,0.59322,0.828571,0.627119
43,725,0.902069,0.0744828,0.293793,211.944,0.616667,0.648649,0.677966
44,714,0.90056,0.0658263,0.334734,214.02,0.642857,0.666667,0.65
45,709,0.899859,0.0705219,0.294781,213.438,0.74,0.810811,0.678571
46,736,0.903533,0.0774457,0.30163,213.917,0.533333,0.75,0.6
47,828,0.910628,0.0603865,0.297101,219.121,0.444444,0.90625,0.533333
