image_number,evaluation_1,evaluation_2_1,evaluation_2_2,evaluation_2_3,evaluation_3,evaluation_4,evaluation_5,evaluation_6
1,702,0.896011,0.0726496,0.290598,227.078,0.764957,0.934823,0.83711
2,710,0.9,0.0830986,0.290141,229.011,0.715493,0.879921,0.77208
3,704,0.894886,0.0596591,0.291193,229.993,0.745739,0.961905,0.815493
4,718,0.891365,0.0710306,0.296657,237.225,0.718663,0.875969,0.776989
5,711,0.886076,0.0801688,0.293952,227.341,0.748242,0.953008,0.793872
6,719,0.908206,0.0681502,0.297636,224.433,0.734353,0.857955,0.78903
7,721,0.891817,0.0776699,0.289875,216.698,0.729542,0.775665,0.771905
8,721,0.891817,0.073509,0.302358,213.407,0.73509,0.645283,0.796117
9,702,0.877493,0.0826211,0.297721,212.503,0.759259,0.958724,0.800277
10,724,0.893646,0.0718232,0.279006,212.96,0.732044,0.969811,0.789174
11,708,0.899718,0.0706215,0.316384,212.611,0.751412,0.857143,0.794199
12,700,0.911429,0.0685714,0.287143,215.602,0.75,0.958095,0.810734
13,719,0.891516,0.0639777,0.300417,212.6,0.739917,0.81203,0.794286
14,705,0.889362,0.0780142,0.320567,213.455,0.737589,0.911538,0.784423
15,724,0.892265,0.0676796,0.305249,215.899,0.744475,0.972171,0.802837
16,699,0.892704,0.0729614,0.30329,213.862,0.755365,0.935606,0.792818
17,710,0.894366,0.0690141,0.319718,214.164,0.740845,0.703422,0.81402
18,720,0.890278,0.0736111,0.279167,226.493,0.730556,0.960076,0.822535
19,703,0.894737,0.0725462,0.311522,211.812,0.758179,0.883677,0.813889
20,712,0.904494,0.0772472,0.320225,214.365,0.747191,0.802632,0.812233
21,735,0.896599,0.0557823,0.310204,216.099,0.722449,0.841808,0.810393
22,703,0.899004,0.0583215,0.327169,217.316,0.733997,0.825581,0.783673
23,701,0.895863,0.0798859,0.298146,212.593,0.730385,0.964844,0.792319
24,697,0.893831,0.0545194,0.288379,210.772,0.748924,0.775862,0.803138
25,698,0.898281,0.0744986,0.303725,212.866,0.760745,0.879473,0.802009
26,700,0.915714,0.0728571,0.308571,213.062,0.755714,0.952741,0.783668
27,705,0.904965,0.0695035,0.31773,212.843,0.703546,0.643145,0.76
28,703,0.903272,0.0654339,0.302987,213.821,0.709815,0.887776,0.744681
29,708,0.902542,0.0677966,0.316384,214.523,0.718927,0.923379,0.780939
30,711,0.890295,0.0604782,0.329114,217.6,0.759494,0.783333,0.805085
31,723,0.91148,0.06639,0.278008,211.058,0.741355,0.962687,0.794655
32,728,0.887363,0.0686813,0.28022,215.655,0.756868,0.978221,0.82296
33,714,0.918768,0.0714286,0.329132,218.251,0.740896,0.807183,0.804945
34,724,0.896409,0.0690608,0.302486,217.974,0.734807,0.966165,0.792717
35,715,0.892308,0.0797203,0.314685,219.787,0.734266,0.96,0.763812
36,726,0.88843,0.0716253,0.305785,213.386,0.732782,0.75188,0.806993
37,720,0.908333,0.0666667,0.305556,214.815,0.763889,0.914545,0.815427
38,705,0.906383,0.0553191,0.320567,212.876,0.737589,0.965385,0.783333
39,700,0.888571,0.0628571,0.328571,214.016,0.745714,0.963602,0.809929
40,701,0.898716,0.0713267,0.339515,218.858,0.74465,0.944444,0.771429
41,743,0.90175,0.0726783,0.318977,225.063,0.722746,0.953445,0.815977
42,743,0.882907,0.0686406,0.288022,225.66,0.726783,0.931481,0.795424
43,725,0.902069,0.0744828,0.293793,233.545,0.742069,0.914498,0.780619
44,714,0.90056,0.0658263,0.334734,227.364,0.742297,0.798113,0.804138
45,709,0.899859,0.0705219,0.294781,225.891,0.758815,0.920074,0.796919
46,736,0.903533,0.0774457,0.30163,225.13,0.730978,0.957249,0.80536
47,828,0.910628,0.0603865,0.297101,230.918,0.595411,0.659229,0.695652
48,733,0.914052,0.0682128,0.28513,226.226,0.646658,0.894515,0.599034
49,724,0.900552,0.0662983,0.314917,228.639,0.712707,0.945736,0.765348
50,718,0.908078,0.0612813,0.330084,229.573,0.731198,0.946667,0.801105
51,715,0.888112,0.0685315,0.303497,225.429,0.724476,0.718147,0.78273
52,734,0.885559,0.0653951,0.303815,233.218,0.713896,0.959924,0.786014
53,707,0.902405,0.0735502,0.315417,232.055,0.74116,0.958015,0.762943
54,724,0.903315,0.0745856,0.320442,233.862,0.75,0.955801,0.820368
55,727,0.895461,0.0701513,0.30674,234.212,0.729023,0.962264,0.780387
56,717,0.895397,0.0711297,0.327755,231.796,0.740586,0.907721,0.782669
57,729,0.90535,0.0672154,0.318244,232.442,0.718793,0.975191,0.772664
58,711,0.894515,0.0646976,0.31083,231.671,0.742616,0.958333,0.794239
59,730,0.919178,0.0643836,0.310959,229.507,0.708219,0.94971,0.773558
60,734,0.891008,0.0640327,0.320163,234.329,0.708447,0.951923,0.764384
61,713,0.900421,0.0659187,0.28892,228.726,0.718093,0.955078,0.768392
62,723,0.88935,0.0594744,0.28769,233.985,0.658368,0.80042,0.719495
63,733,0.911323,0.0600273,0.31105,232.094,0.654843,0.895833,0.720609
64,746,0.906166,0.0697051,0.310992,234.912,0.671582,0.776447,0.761255
65,751,0.909454,0.0665779,0.327563,232.469,0.663116,0.781124,0.733244
66,722,0.891967,0.0692521,0.307479,238.284,0.689751,0.941767,0.754993
67,745,0.912752,0.0657718,0.324832,232.06,0.637584,0.806316,0.700831
68,743,0.913863,0.0592194,0.329744,233.49,0.685061,0.935167,0.707383
69,724,0.907459,0.058011,0.334254,235.134,0.671271,0.798354,0.713324
70,722,0.907202,0.0581717,0.34072,233.88,0.620499,0.6875,0.709945
71,710,0.922535,0.0507042,0.329577,234.018,0.653521,0.653017,0.689751
72,706,0.912181,0.082153,0.335694,229.854,0.601983,0.856471,0.667606
73,735,0.914286,0.0979592,0.306122,230.632,0.598639,0.879545,0.691218
74,753,0.909695,0.0863214,0.334661,233.047,0.620186,0.663812,0.697959
75,730,0.910959,0.0739726,0.353425,229.464,0.59726,0.53211,0.625498
76,747,0.921017,0.064257,0.313253,233.483,0.582329,0.533333,0.643836
77,746,0.903485,0.075067,0.313673,233.978,0.587131,0.815068,0.607764
78,749,0.929239,0.0734312,0.320427,234.263,0.583445,0.620137,0.619303
79,744,0.90457,0.0672043,0.331989,232.876,0.580645,0.606481,0.623498
80,726,0.899449,0.0812672,0.31405,230.499,0.585399,0.842353,0.606183
81,716,0.905028,0.0670391,0.310056,229.288,0.582402,0.652278,0.644628
82,732,0.887978,0.0724044,0.342896,231.874,0.577869,0.650118,0.666201
