image_number,evaluation_1,evaluation_2_1,evaluation_2_2,evaluation_2_3,evaluation_3,evaluation_4,evaluation_5,evaluation_6
1,702,0.896011,0.0726496,0.290598,208.853,0.696581,0.629857,0.674221
2,710,0.9,0.0830986,0.290141,207.431,0.670423,0.855042,0.641026
3,704,0.894886,0.0596591,0.291193,207.676,0.697443,0.832994,0.687324
4,718,0.891365,0.0710306,0.296657,224.662,0.694986,0.773547,0.660511
5,711,0.886076,0.0801688,0.293952,210.778,0.697609,0.959677,0.654596
6,719,0.908206,0.0681502,0.297636,224.433,0.689847,0.959677,0.680731
7,721,0.891817,0.0776699,0.289875,235.518,0.683773,0.955375,0.652295
8,721,0.891817,0.073509,0.302358,225.369,0.693481,0.696,0.675451
9,702,0.877493,0.0826211,0.297721,243.121,0.690883,0.96701,0.668516
10,724,0.893646,0.0718232,0.279006,277.111,0.691989,0.96008,0.676638
11,708,0.899718,0.0706215,0.316384,234.357,0.70339,0.678715,0.633978
12,700,0.911429,0.0685714,0.287143,299.807,0.708571,0.631048,0.696328
13,719,0.891516,0.0639777,0.300417,315.828,0.685675,0.939148,0.67
14,705,0.889362,0.0780142,0.320567,224.005,0.712057,0.954183,0.662031
15,724,0.892265,0.0676796,0.305249,226.912,0.703039,0.819253,0.685106
16,699,0.892704,0.0729614,0.30329,219.559,0.705293,0.864097,0.664365
17,710,0.894366,0.0690141,0.319718,227.458,0.708451,0.966203,0.676681
18,720,0.890278,0.0736111,0.279167,232.818,0.698611,0.831014,0.650704
19,703,0.894737,0.0725462,0.311522,227.053,0.685633,0.958506,0.65
20,712,0.904494,0.0772472,0.320225,222.755,0.69382,0.965587,0.671408
21,735,0.896599,0.0557823,0.310204,224.751,0.685714,0.956349,0.674157
22,703,0.899004,0.0583215,0.327169,223.482,0.694168,0.836066,0.638095
23,701,0.895863,0.0798859,0.298146,223.092,0.681883,0.962343,0.665718
24,697,0.893831,0.0545194,0.288379,222.221,0.705882,0.719512,0.680456
25,698,0.898281,0.0744986,0.303725,224.959,0.702006,0.944898,0.667145
26,700,0.915714,0.0728571,0.308571,230.553,0.701429,0.959267,0.680516
27,705,0.904965,0.0695035,0.31773,225.742,0.696454,0.826884,0.635714
28,703,0.903272,0.0654339,0.302987,233.718,0.655761,0.774403,0.629787
29,708,0.902542,0.0677966,0.316384,237.741,0.683616,0.863636,0.634424
30,711,0.890295,0.0604782,0.329114,293.835,0.682138,0.938144,0.65678
31,723,0.91148,0.06639,0.278008,214.896,0.695712,0.940358,0.66948
32,728,0.887363,0.0686813,0.28022,297.808,0.693681,0.922772,0.659751
33,714,0.918768,0.0714286,0.329132,212.219,0.690476,0.89858,0.660714
34,724,0.896409,0.0690608,0.302486,208.116,0.687845,0.951807,0.673669
35,715,0.892308,0.0797203,0.314685,208.281,0.697902,0.655311,0.642265
36,726,0.88843,0.0716253,0.305785,209.837,0.701102,0.628684,0.66993
37,720,0.908333,0.0666667,0.305556,208.801,0.706944,0.958743,0.672176
38,705,0.906383,0.0553191,0.320567,208.402,0.687943,0.954639,0.658333
39,700,0.888571,0.0628571,0.328571,203.37,0.704286,0.951318,0.662411
40,701,0.898716,0.0713267,0.339515,206.398,0.689016,0.94617,0.674286
41,743,0.90175,0.0726783,0.318977,209.089,0.672948,0.946,0.677603
42,743,0.882907,0.0686406,0.288022,220.434,0.670256,0.953815,0.644684
43,725,0.902069,0.0744828,0.293793,209.147,0.692414,0.954183,0.648721
44,714,0.90056,0.0658263,0.334734,208.049,0.701681,0.946108,0.664828
45,709,0.899859,0.0705219,0.294781,210.687,0.696756,0.773279,0.67507
46,736,0.903533,0.0774457,0.30163,208.048,0.664402,0.707566,0.64598
47,828,0.910628,0.0603865,0.297101,209.607,0.557971,0.909091,0.552989
48,733,0.914052,0.0682128,0.28513,215.482,0.624829,0.733624,0.516908
49,724,0.900552,0.0662983,0.314917,208.988,0.686464,0.919517,0.628922
50,718,0.908078,0.0612813,0.330084,209.997,0.70195,0.876984,0.683702
51,715,0.888112,0.0685315,0.303497,208.267,0.681119,0.753593,0.630919
52,734,0.885559,0.0653951,0.303815,204.772,0.66485,0.944672,0.655944
53,707,0.902405,0.0735502,0.315417,208.059,0.691655,0.893661,0.629428
54,724,0.903315,0.0745856,0.320442,209.601,0.696133,0.777778,0.687412
55,727,0.895461,0.0701513,0.30674,209.452,0.682256,0.8125,0.649171
56,717,0.895397,0.0711297,0.327755,212.449,0.693166,0.925553,0.647868
57,729,0.90535,0.0672154,0.318244,210.763,0.663923,0.929752,0.656904
58,711,0.894515,0.0646976,0.31083,208.633,0.706048,0.938247,0.652949
59,730,0.919178,0.0643836,0.310959,211.585,0.663014,0.900826,0.64557
60,734,0.891008,0.0640327,0.320163,206.048,0.647139,0.804211,0.606849
61,713,0.900421,0.0659187,0.28892,205.526,0.673212,0.94375,0.634877
62,723,0.88935,0.0594744,0.28769,209.404,0.621024,0.66147,0.573633
63,733,0.911323,0.0600273,0.31105,204.034,0.627558,0.906522,0.587828
64,746,0.906166,0.0697051,0.310992,210.014,0.643432,0.88125,0.582538
65,751,0.909454,0.0665779,0.327563,210.608,0.636485,0.82636,0.563003
66,722,0.891967,0.0692521,0.307479,208.118,0.639889,0.865801,0.592543
67,745,0.912752,0.0657718,0.324832,207.967,0.587919,0.6621,0.520776
68,743,0.913863,0.0592194,0.329744,211.201,0.64603,0.83125,0.58255
69,724,0.907459,0.058011,0.334254,228.261,0.618785,0.647321,0.56393
70,722,0.907202,0.0581717,0.34072,211.956,0.578947,0.674641,0.517956
71,710,0.922535,0.0507042,0.329577,209.838,0.601408,0.857143,0.520776
72,706,0.912181,0.082153,0.335694,207.385,0.600567,0.841981,0.519718
73,735,0.914286,0.0979592,0.306122,211.979,0.560544,0.854369,0.487252
74,753,0.909695,0.0863214,0.334661,209.875,0.580345,0.842105,0.511565
75,730,0.910959,0.0739726,0.353425,209.499,0.547945,0.5625,0.413015
76,747,0.921017,0.064257,0.313253,207.611,0.526104,0.641221,0.393151
77,746,0.903485,0.075067,0.313673,211.189,0.525469,0.637755,0.401606
78,749,0.929239,0.0734312,0.320427,205.744,0.556742,0.736211,0.469169
79,744,0.90457,0.0672043,0.331989,209.423,0.541667,0.704715,0.423231
80,726,0.899449,0.0812672,0.31405,207.399,0.545455,0.681818,0.395161
81,716,0.905028,0.0670391,0.310056,218.497,0.548883,0.715013,0.429752
82,732,0.887978,0.0724044,0.342896,206.84,0.556011,0.695332,0.47905
83,707,0.902405,0.0848656,0.311174,208.351,0.550212,0.655527,0.424863
84,730,0.910959,0.0575342,0.345205,206.858,0.532877,0.511568,0.466761
85,715,0.917483,0.0699301,0.324476,203.13,0.566434,0.649383,0.453425
86,766,0.908616,0.0796345,0.309399,210.798,0.513055,0.847328,0.443357
87,720,0.923611,0.0694444,0.315278,207.827,0.6,0.62037,0.455614
88,737,0.903664,0.0678426,0.347354,212.85,0.550882,0.593596,0.448611
89,707,0.912306,0.0749646,0.306931,208.645,0.536068,0.612137,0.434193
90,714,0.880952,0.0868347,0.32493,206.767,0.55042,0.531807,0.46959
91,691,0.920405,0.0824891,0.341534,203.909,0.552822,0.777487,0.427171
92,672,0.895833,0.0744048,0.269345,203.897,0.580357,0.820513,0.47178
93,749,0.921228,0.0947931,0.268358,208.942,0.497997,0.729223,0.456845
94,734,0.891008,0.0817439,0.3297,209.616,0.585831,0.693023,0.496662
95,711,0.912799,0.0632911,0.324895,208.261,0.561181,0.864662,0.452316
96,713,0.896213,0.0799439,0.349229,206.956,0.541374,0.743523,0.468354
97,703,0.928876,0.0753912,0.351351,207.83,0.523471,0.519022,0.385694
98,736,0.918478,0.076087,0.322011,202.502,0.52038,0.610966,0.452347
99,686,0.924198,0.0801749,0.345481,206.567,0.584548,0.773067,0.459239
100,706,0.909348,0.0708215,0.310198,206.8,0.545326,0.703896,0.492711
101,706,0.889518,0.0878187,0.314448,210.818,0.543909,0.638021,0.468839
102,707,0.895332,0.0792079,0.302687,208.249,0.541726,0.62141,0.456091
103,712,0.898876,0.0758427,0.287921,214.342,0.55618,0.861111,0.45686
104,707,0.902405,0.0721358,0.292786,208.514,0.544554,0.561039,0.488764
105,697,0.886657,0.0731707,0.348637,209.181,0.545194,0.665789,0.439887
106,705,0.883688,0.0595745,0.314894,207.675,0.526241,0.673854,0.436155
107,712,0.894663,0.0632022,0.31882,205.693,0.535112,0.566929,0.460993
108,700,0.885714,0.09,0.345714,209.44,0.564286,0.605063,0.453652
109,663,0.906486,0.0829563,0.301659,200.469,0.597285,0.89899,0.491429
110,697,0.906743,0.0674319,0.314204,213.315,0.54089,0.761273,0.482655
111,686,0.876093,0.0685131,0.314869,208.465,0.599125,0.542579,0.516499
112,669,0.880419,0.0538117,0.310912,203.491,0.573991,0.6875,0.472303
113,656,0.881098,0.0625,0.332317,206.102,0.521341,0.769006,0.406577
114,638,0.894984,0.0705329,0.330721,204.123,0.534483,0.568915,0.394817
115,647,0.893354,0.0680062,0.33694,204.912,0.502318,0.689231,0.42163
116,650,0.895385,0.0661538,0.34,201.583,0.510769,0.831325,0.429675
117,631,0.896989,0.066561,0.326466,203.907,0.551506,0.721264,0.458462
118,656,0.910061,0.0533537,0.382622,204.957,0.539634,0.813559,0.431062
119,640,0.895312,0.0796875,0.326562,199.747,0.53125,0.826471,0.414634
120,667,0.889055,0.0674663,0.392804,204.286,0.52024,0.62536,0.442188
121,650,0.9,0.0615385,0.367692,200.173,0.536923,0.644699,0.427286
122,679,0.893962,0.0721649,0.371134,204.729,0.539028,0.587432,0.446154
