image_number,evaluation_1,evaluation_2_1,evaluation_2_2,evaluation_2_3,evaluation_3,evaluation_4,evaluation_5,evaluation_6
1,1037,0.860174,0.045323,0.347155,1.34904,0.867647,0.988701,0.910377
2,1068,0.854869,0.0486891,0.335206,1.46385,0.793578,0.988439,0.901961
3,1068,0.846442,0.0421348,0.340824,1.44571,0.872038,0.98913,0.876147
4,1083,0.834718,0.0470914,0.353647,1.4107,0.853081,0.994444,0.900474
5,1047,0.846227,0.0515759,0.357211,1.51366,0.836538,1,0.890995
6,1052,0.846008,0.0494297,0.334601,1.46903,0.841346,0.982857,0.894231
7,1066,0.829268,0.0478424,0.344278,1.79186,0.858537,0.994318,0.903846
8,1083,0.839335,0.043398,0.348107,1.55627,0.847926,1,0.926829
9,1059,0.839471,0.0443815,0.34372,2.10479,0.869565,0.994444,0.884793
10,1059,0.85458,0.0472144,0.344665,1.40185,0.861244,1,0.898551
11,1048,0.846374,0.0448473,0.34542,1.38021,0.87619,0.994565,0.909091
12,1043,0.863854,0.0393097,0.343241,1.36219,0.864078,0.994382,0.909524
13,1058,0.869565,0.0444234,0.355388,1.51221,0.836449,0.994413,0.951456
14,1046,0.851816,0.0449331,0.3413,1.48081,0.850962,0.988701,0.883178
15,1066,0.840525,0.0403377,0.340525,1.5801,0.841121,0.994444,0.899038
16,1043,0.863854,0.0441035,0.344199,1.46976,0.825243,0.988235,0.929907
17,1043,0.85139,0.0402685,0.362416,1.33995,0.864078,0.988764,0.88835
18,1066,0.84334,0.0450281,0.349906,1.53841,0.843602,0.988764,0.898058
19,1037,0.858245,0.0462874,0.380906,1.84949,0.876238,0.99435,0.905213
20,1052,0.846958,0.0446768,0.358365,1.36759,0.856459,0.994413,0.90099
21,1095,0.868493,0.0447489,0.330594,1.90208,0.845794,0.98895,0.92823
22,1066,0.834897,0.0412758,0.32833,1.45798,0.859813,0.98913,0.88785
23,1032,0.846899,0.0503876,0.356589,2.50093,0.881773,1,0.925234
24,1056,0.845644,0.0359848,0.359848,1.29983,0.836634,1,0.935961
25,1023,0.84653,0.0469208,0.358749,1.40166,0.887179,0.99422,0.920792
26,1068,0.870787,0.0496255,0.363296,1.39253,0.806452,0.988571,0.912821
27,1058,0.858223,0.0500945,0.373346,1.4622,0.838863,0.988701,0.907834
28,1030,0.85534,0.0485437,0.358252,1.35086,0.818182,0.982456,0.895735
29,1056,0.846591,0.0473485,0.357955,1.50394,0.844037,0.983696,0.894737
30,1046,0.840344,0.0391969,0.357553,1.72404,0.85446,1,0.889908
31,1065,0.866667,0.0403756,0.364319,1.37335,0.834081,0.994624,0.924883
32,1081,0.847364,0.0462535,0.355227,1.42609,0.855204,0.994709,0.919283
33,1079,0.86469,0.0370714,0.37164,1.38631,0.892019,1,0.932127
34,1082,0.853974,0.0499076,0.350277,1.44539,0.84878,0.988506,0.877934
35,1068,0.85206,0.0477528,0.34176,1.57826,0.818182,0.988889,0.936585
36,1070,0.843925,0.0457944,0.363551,1.38818,0.87963,0.994737,0.890909
37,1072,0.85541,0.0447761,0.347015,1.43468,0.841629,0.994624,0.944444
38,1053,0.851852,0.037037,0.357075,1.32405,0.886256,0.994652,0.923077
39,1066,0.82833,0.0422139,0.36773,1.34891,0.858491,0.994505,0.895735
40,1064,0.857143,0.0432331,0.371241,1.58576,0.849515,0.994286,0.891509
41,1093,0.842635,0.0512351,0.350412,1.32193,0.801802,0.994382,0.907767
