image_number,evaluation_1,evaluation_2_1,evaluation_2_2,evaluation_2_3,evaluation_3,evaluation_4,evaluation_5,evaluation_6
1,1037,0.860174,0.045323,0.347155,220.668,0.812135,0.991379,0.789535
2,1068,0.854869,0.0486891,0.335206,227.734,0.775114,0.989691,0.77713
3,1068,0.846442,0.0421348,0.340824,209.708,0.789954,0.988439,0.77968
4,1083,0.834718,0.0470914,0.353647,211.399,0.780022,0.991367,0.776256
5,1047,0.846227,0.0515759,0.357211,217.537,0.811995,0.994318,0.781145
6,1052,0.846008,0.0494297,0.334601,221.911,0.800461,0.988473,0.775087
7,1066,0.829268,0.0478424,0.344278,207.147,0.784667,0.985632,0.7797
8,1083,0.839335,0.043398,0.348107,219.609,0.792683,0.986014,0.781285
9,1059,0.839471,0.0443815,0.34372,217.046,0.816724,0.991585,0.773836
10,1059,0.85458,0.0472144,0.344665,212.492,0.799092,0.991477,0.78236
11,1048,0.846374,0.0448473,0.34542,204.013,0.808362,0.989943,0.778661
12,1043,0.863854,0.0393097,0.343241,204.542,0.813737,0.982833,0.786295
13,1058,0.869565,0.0444234,0.355388,205.293,0.789354,0.992826,0.792782
14,1046,0.851816,0.0449331,0.3413,206.318,0.813364,0.988669,0.789354
15,1066,0.840525,0.0403377,0.340525,204.023,0.816535,0.983356,0.797235
16,1043,0.863854,0.0441035,0.344199,204.158,0.824766,0.984419,0.775764
17,1043,0.85139,0.0402685,0.362416,206.306,0.821759,0.990141,0.806075
18,1066,0.84334,0.0450281,0.349906,208.74,0.78733,0.992816,0.793981
19,1037,0.858245,0.0462874,0.380906,232.612,0.80533,0.992806,0.779412
20,1052,0.846958,0.0446768,0.358365,213.251,0.798387,0.987013,0.784473
21,1095,0.868493,0.0447489,0.330594,204.642,0.793987,0.973352,0.794931
22,1066,0.834897,0.0412758,0.32833,210.278,0.812428,0.981586,0.757238
23,1032,0.846899,0.0503876,0.356589,206.562,0.794664,0.988321,0.775604
24,1056,0.845644,0.0359848,0.359848,205.464,0.791715,0.989826,0.783063
25,1023,0.84653,0.0469208,0.358749,206.496,0.811765,0.986957,0.783659
26,1068,0.870787,0.0496255,0.363296,207.034,0.789593,0.944126,0.790588
27,1058,0.858223,0.0500945,0.373346,207.394,0.796804,0.992837,0.766968
28,1030,0.85534,0.0485437,0.358252,208.278,0.775963,0.98797,0.744292
29,1056,0.846591,0.0473485,0.357955,206.759,0.7687,0.980539,0.737456
30,1046,0.840344,0.0391969,0.357553,205.178,0.801394,0.992754,0.775604
31,1065,0.866667,0.0403756,0.364319,206.083,0.793578,0.986994,0.773519
32,1081,0.847364,0.0462535,0.355227,205.841,0.784598,0.991465,0.791284
33,1079,0.86469,0.0370714,0.37164,207.245,0.820829,0.99045,0.795759
34,1082,0.853974,0.0499076,0.350277,204.783,0.803167,0.985915,0.788354
35,1068,0.85206,0.0477528,0.34176,203.982,0.816837,0.983287,0.790724
36,1070,0.843925,0.0457944,0.363551,204.692,0.812005,0.986053,0.803185
37,1072,0.85541,0.0447761,0.347015,205.531,0.820862,0.997238,0.810872
38,1053,0.851852,0.037037,0.357075,206,0.817031,0.98169,0.791383
39,1066,0.82833,0.0422139,0.36773,208.43,0.789838,0.989766,0.771001
40,1064,0.857143,0.0432331,0.371241,204.433,0.80137,0.991453,0.792148
41,1093,0.842635,0.0512351,0.350412,206.365,0.772277,0.988604,0.780822
42,1095,0.844749,0.0493151,0.36347,206.109,0.789934,0.987535,0.784378
43,1046,0.862333,0.042065,0.362333,204.563,0.825342,0.988935,0.76477
44,1056,0.852273,0.0397727,0.375,207.594,0.794725,0.989899,0.776256
45,1061,0.828464,0.0452403,0.350613,205.738,0.802059,0.988588,0.798165
46,1081,0.851064,0.0416281,0.344126,206.679,0.791805,0.986014,0.796339
47,1181,0.862828,0.0414903,0.364945,207.131,0.689474,0.966412,0.678848
48,1073,0.857409,0.0438024,0.325256,205.3,0.748591,0.980422,0.669474
49,1081,0.849214,0.0471785,0.376503,205.692,0.789944,0.98727,0.76212
50,1080,0.862963,0.0453704,0.360185,204.414,0.802247,0.978992,0.781006
51,1082,0.85305,0.0462107,0.349353,206.634,0.78683,0.992908,0.774157
