image_number,evaluation_1,evaluation_2_1,evaluation_2_2,evaluation_2_3,evaluation_3,evaluation_4,evaluation_5,evaluation_6
1,1037,0.860174,0.045323,0.347155,29.4362,0.835586,0.991914,0.824834
2,1068,0.854869,0.0486891,0.335206,30.1237,0.782328,0.99449,0.817568
3,1068,0.846442,0.0421348,0.340824,35.5325,0.850679,0.989362,0.8125
4,1083,0.834718,0.0470914,0.353647,32.3902,0.800857,0.997326,0.848416
5,1047,0.846227,0.0515759,0.357211,33.3785,0.845475,0.989556,0.837259
6,1052,0.846008,0.0494297,0.334601,35.2222,0.830735,0.989276,0.810155
7,1066,0.829268,0.0478424,0.344278,36.0987,0.813853,1,0.839644
8,1083,0.839335,0.043398,0.348107,34.7245,0.853132,0.98481,0.841991
9,1059,0.839471,0.0443815,0.34372,34.2189,0.847007,0.992147,0.825054
10,1059,0.85458,0.0472144,0.344665,36.0797,0.840708,0.992105,0.838137
11,1048,0.846374,0.0448473,0.34542,34.8226,0.832244,0.992147,0.845133
12,1043,0.863854,0.0393097,0.343241,33.0075,0.845291,0.997347,0.825708
13,1058,0.869565,0.0444234,0.355388,35.3322,0.806034,0.991979,0.834081
14,1046,0.851816,0.0449331,0.3413,32.2711,0.847682,0.992188,0.823276
15,1066,0.840525,0.0403377,0.340525,34.0265,0.820513,0.997396,0.847682
16,1043,0.863854,0.0441035,0.344199,32.7835,0.853333,0.989583,0.818376
17,1043,0.85139,0.0402685,0.362416,32.958,0.83878,0.987013,0.853333
18,1066,0.84334,0.0450281,0.349906,32.4422,0.828571,0.994695,0.840959
19,1037,0.858245,0.0462874,0.380906,31.0694,0.85,0.997326,0.821978
20,1052,0.846958,0.0446768,0.358365,32.5878,0.827051,0.986595,0.838636
21,1095,0.868493,0.0447489,0.330594,31.3589,0.825328,0.992063,0.844789
22,1066,0.834897,0.0412758,0.32833,32.5098,0.821978,0.983957,0.812227
23,1032,0.846899,0.0503876,0.356589,32.0058,0.840807,0.994667,0.83956
24,1056,0.845644,0.0359848,0.359848,32.0661,0.832589,0.986595,0.836323
25,1023,0.84653,0.0469208,0.358749,31.4838,0.85034,0.997333,0.848214
26,1068,0.870787,0.0496255,0.363296,32.5364,0.822894,0.997375,0.870748
27,1058,0.858223,0.0500945,0.373346,32.4488,0.845316,0.989691,0.840173
28,1030,0.85534,0.0485437,0.358252,31.5349,0.814159,0.975543,0.793028
29,1056,0.846591,0.0473485,0.357955,31.2997,0.791304,0.986264,0.811947
30,1046,0.840344,0.0391969,0.357553,31.6965,0.828194,0.992021,0.826087
31,1065,0.866667,0.0403756,0.364319,32.006,0.808917,0.992126,0.848018
32,1081,0.847364,0.0462535,0.355227,32.3642,0.827292,0.994845,0.838641
33,1079,0.86469,0.0370714,0.37164,33.8983,0.856838,0.995012,0.855011
34,1082,0.853974,0.0499076,0.350277,34.278,0.837719,0.992147,0.83547
35,1068,0.85206,0.0477528,0.34176,33.4796,0.813596,0.989218,0.813596
36,1070,0.843925,0.0457944,0.363551,34.5259,0.83617,0.989822,0.85307
37,1072,0.85541,0.0447761,0.347015,32.0632,0.829832,0.992405,0.840426
38,1053,0.851852,0.037037,0.357075,32.0187,0.853933,0.997368,0.813025
39,1066,0.82833,0.0422139,0.36773,31.6905,0.807018,0.980978,0.820225
40,1064,0.857143,0.0432331,0.371241,32.6076,0.825221,0.989276,0.824561
41,1093,0.842635,0.0512351,0.350412,31.3491,0.791322,0.986945,0.838496
42,1095,0.844749,0.0493151,0.36347,30.9525,0.82881,0.982368,0.807851
43,1046,0.862333,0.042065,0.362333,31.3431,0.843882,0.9825,0.824635
44,1056,0.852273,0.0397727,0.375,30.7966,0.844828,0.982143,0.835443
45,1061,0.828464,0.0452403,0.350613,30.6921,0.853007,0.992167,0.836207
46,1081,0.851064,0.0416281,0.344126,32.2892,0.800847,0.994709,0.855234
47,1181,0.862828,0.0414903,0.364945,31.0254,0.701403,0.965714,0.724576
48,1073,0.857409,0.0438024,0.325256,31.9341,0.752599,0.977901,0.717435
49,1081,0.849214,0.0471785,0.376503,30.8633,0.816456,0.992248,0.819127
50,1080,0.862963,0.0453704,0.360185,31.7395,0.812766,0.984293,0.829114
51,1082,0.85305,0.0462107,0.349353,30.8345,0.809322,0.984293,0.802128
52,1081,0.843663,0.039778,0.366327,30.5804,0.800416,0.981818,0.815678
53,1070,0.852336,0.0495327,0.364486,31.6157,0.814499,0.984293,0.794179
54,1093,0.850869,0.0466606,0.357731,31.5603,0.820896,0.981818,0.829424
55,1071,0.855275,0.0401494,0.356676,31.6417,0.83913,0.981865,0.831557
56,1085,0.83318,0.0423963,0.352995,30.9983,0.797895,0.994723,0.821739
57,1065,0.846009,0.0469484,0.35493,30.6558,0.832609,0.997389,0.835789
58,1068,0.84176,0.0402622,0.351124,31.0019,0.787879,0.997253,0.791304
59,1048,0.860687,0.0458015,0.344466,31.2281,0.793548,0.99458,0.805195
60,1094,0.848263,0.0447898,0.361974,33.2548,0.794606,0.984334,0.819355
61,1077,0.856082,0.0473538,0.351903,32.5237,0.825902,0.982005,0.798755
62,1087,0.855566,0.0395584,0.366145,31.8632,0.792812,0.981333,0.781316
63,1082,0.853974,0.0443623,0.372458,31.8357,0.770042,0.978082,0.769556
64,1077,0.846797,0.0575673,0.367688,31.4008,0.794118,0.986772,0.803797
65,1110,0.859459,0.0504505,0.373874,31.3831,0.766529,0.991914,0.77521
66,1058,0.856333,0.0529301,0.379962,31.2995,0.805195,0.983871,0.789256
67,1092,0.858059,0.0503663,0.385531,31.5954,0.730223,0.977778,0.751082
68,1099,0.858963,0.0436761,0.376706,31.0473,0.796334,0.879795,0.801217
69,1083,0.867036,0.0489381,0.385965,31.2281,0.7827,0.981132,0.761711
70,1087,0.862006,0.050598,0.365225,32.2712,0.746269,0.991429,0.736287
71,1075,0.88093,0.0465116,0.397209,31.3254,0.769892,0.857542,0.750533
72,1065,0.838498,0.056338,0.361502,32.2446,0.740175,0.890855,0.698925
73,1103,0.862194,0.0643699,0.368994,30.7183,0.715812,0.952239,0.720524
74,1122,0.846702,0.0614973,0.378788,31.3255,0.741667,0.963483,0.75
75,1086,0.856354,0.0543278,0.399632,30.8382,0.663202,0.949843,0.629167
76,1073,0.877912,0.0456664,0.392358,32.5376,0.659044,0.92429,0.632017
77,1078,0.843228,0.0612245,0.374768,31.6419,0.676596,0.874214,0.654886
78,1085,0.880184,0.0718894,0.398157,31.2593,0.650505,0.89441,0.634043
79,1111,0.843384,0.0531053,0.387039,31.9435,0.662551,0.822981,0.59596
80,1066,0.860225,0.0600375,0.384615,32.8469,0.64375,0.935275,0.619342
81,1068,0.844569,0.0589888,0.366105,32.5863,0.666667,0.949686,0.633333
82,1075,0.842791,0.0576744,0.39814,32.0843,0.683333,0.862805,0.626834
83,1051,0.845861,0.0618459,0.383444,31.7288,0.701493,0.920973,0.641667
84,1084,0.843173,0.0535055,0.379151,31.7796,0.673387,0.97006,0.680171
85,1060,0.860377,0.054717,0.387736,31.7259,0.739407,0.977077,0.689516
86,1077,0.834726,0.0557103,0.365831,32.9391,0.659363,0.912387,0.646186
87,1043,0.860978,0.0623202,0.356663,31.3677,0.692623,0.926036,0.645418
88,1044,0.838123,0.0574713,0.388889,32.8019,0.683544,0.854938,0.637295
89,1027,0.846154,0.0486855,0.375852,30.7099,0.715247,0.937304,0.647679
90,1027,0.816943,0.0632911,0.380721,32.3931,0.681435,0.854489,0.690583
91,1019,0.839058,0.0588813,0.360157,31.8871,0.697917,0.955224,0.670886
92,991,0.828456,0.0686176,0.387487,30.3882,0.718894,0.958333,0.6375
93,1080,0.835185,0.0731481,0.360185,31.7045,0.636727,0.943574,0.68894
94,1029,0.823129,0.0641399,0.375121,31.0429,0.725572,0.951289,0.670659
95,1015,0.842365,0.0660099,0.368473,32.1864,0.710021,0.885886,0.673597
96,1022,0.83953,0.0616438,0.383562,30.6624,0.705263,0.913433,0.654584
97,1010,0.872277,0.0574257,0.391089,31.5212,0.63125,0.841584,0.604211
98,1028,0.849222,0.0593385,0.393969,32.5491,0.631263,0.755556,0.629167
99,977,0.872057,0.0665302,0.401228,31.5761,0.734177,0.887931,0.701403
100,1000,0.848,0.05,0.361,32.4625,0.668016,0.787879,0.670886
101,1012,0.824111,0.0583004,0.380435,33.0436,0.702869,0.830904,0.661943
102,988,0.842105,0.0668016,0.375506,32.2189,0.706967,0.918841,0.655738
103,984,0.85061,0.0599593,0.373984,31.4666,0.73306,0.960784,0.696721
104,977,0.842375,0.0481064,0.389969,31.8621,0.720339,0.944118,0.675565
105,963,0.831776,0.0508827,0.410177,32.6486,0.700422,0.951807,0.677966
106,997,0.835507,0.0521565,0.375125,32.4715,0.685714,0.845238,0.64135
107,996,0.824297,0.0542169,0.384538,32.905,0.659184,0.907121,0.630612
108,995,0.840201,0.0623116,0.39598,31.2897,0.702869,0.93586,0.669388
109,973,0.830421,0.057554,0.402878,32.399,0.735656,0.97493,0.721311
110,990,0.826263,0.0535354,0.394949,31.0363,0.703782,0.904478,0.661885
111,999,0.813814,0.0590591,0.379379,33.2186,0.712551,0.963068,0.735294
112,951,0.845426,0.0515247,0.390116,31.0702,0.695198,0.957958,0.6417
113,939,0.830671,0.0532481,0.42066,33.2292,0.651064,0.924837,0.607516
114,923,0.840737,0.0617551,0.404117,32.3046,0.656587,0.871711,0.591489
115,918,0.820261,0.0555556,0.398693,31.6616,0.651163,0.954545,0.641469
116,945,0.833862,0.0571429,0.394709,32.3947,0.666667,0.932692,0.615222
117,902,0.837029,0.0509978,0.416851,31.4958,0.674833,0.848185,0.600427
118,938,0.831557,0.0533049,0.410448,31.4251,0.640592,0.943894,0.639198
119,910,0.828571,0.0626374,0.395604,31.7111,0.667387,0.880259,0.608879
120,939,0.842386,0.0617678,0.453674,31.3047,0.691992,0.964392,0.688985
121,914,0.846827,0.0634573,0.414661,31.9924,0.695833,0.964072,0.644764
122,949,0.81981,0.0653319,0.42255,33.5126,0.670611,0.961765,0.66875
123,944,0.834746,0.0677966,0.397246,31.9459,0.680761,0.934783,0.595661
124,930,0.822581,0.0666667,0.410753,31.7839,0.672878,0.913846,0.630021
125,946,0.825581,0.0549683,0.39852,32.1979,0.670732,0.960606,0.660455
126,941,0.820404,0.0669501,0.412327,32.0542,0.655602,0.914557,0.599593
127,948,0.857595,0.0506329,0.42616,32.0505,0.662651,0.80303,0.647303
128,949,0.851423,0.0590095,0.43098,32.4851,0.65587,0.916667,0.624498
129,929,0.850377,0.0613563,0.405813,32.4,0.672234,0.934783,0.643725
130,945,0.845503,0.0740741,0.391534,32.2272,0.6853,0.960725,0.688935
131,936,0.853632,0.0758547,0.405983,31.6501,0.704453,0.95977,0.6853
132,940,0.841489,0.0702128,0.387234,32.2648,0.688017,0.816817,0.637652
133,933,0.859593,0.056806,0.399786,32.4378,0.661885,0.916409,0.592975
134,933,0.849946,0.056806,0.433012,31.6834,0.667368,0.917981,0.592213
135,951,0.856993,0.0567823,0.423764,32.1645,0.648111,0.95092,0.606316
136,914,0.851204,0.0634573,0.400438,32.016,0.666667,0.894904,0.590457
137,954,0.834382,0.0534591,0.381551,32.5858,0.660643,0.841945,0.660297
138,934,0.828694,0.0503212,0.384368,32.5082,0.696538,0.80117,0.674699
139,898,0.848552,0.0523385,0.359688,32.27,0.716418,0.96131,0.641548
140,956,0.853556,0.0491632,0.387029,32.0979,0.637681,0.88961,0.637527
141,954,0.859539,0.0503145,0.393082,31.9752,0.666667,0.954819,0.6853
142,952,0.845588,0.0609244,0.385504,33.0678,0.685072,0.949254,0.634538
143,892,0.831839,0.0627803,0.381166,33.1999,0.704348,0.907407,0.635992
144,896,0.864955,0.0580357,0.397321,32.0292,0.679325,0.875776,0.63913
145,912,0.847588,0.0548246,0.378289,31.708,0.685106,0.937888,0.647679
146,917,0.849509,0.0545256,0.376227,31.779,0.680498,0.948171,0.651064
147,927,0.828479,0.0636462,0.390507,33.489,0.683778,0.921922,0.643154
148,937,0.851654,0.0629669,0.392743,32.0138,0.697531,0.902655,0.675565
149,963,0.843198,0.0581516,0.400831,31.8379,0.719008,0.922414,0.687243
150,930,0.856989,0.0645161,0.410753,31.9261,0.714286,0.797015,0.657025
151,919,0.847661,0.0554951,0.380849,31.3607,0.671579,0.931034,0.635394
152,899,0.855395,0.057842,0.403782,32.2396,0.707048,0.900312,0.635789
153,952,0.839286,0.0651261,0.380252,31.9405,0.682573,0.951368,0.700441
154,990,0.846465,0.0565657,0.370707,33.6121,0.687251,0.953623,0.70332
155,970,0.818557,0.0556701,0.381443,32.8064,0.704,0.846591,0.661355
156,966,0.855072,0.0548654,0.402692,33.0733,0.667355,0.931889,0.578
157,927,0.832794,0.0668824,0.384035,31.6052,0.719149,0.955621,0.659091
158,956,0.845188,0.0721757,0.403766,34.1996,0.736287,0.965616,0.734043
159,952,0.853992,0.0798319,0.389706,33.0713,0.717622,0.976331,0.681435
160,938,0.836887,0.0735608,0.41258,31.901,0.707006,0.960961,0.658174
161,968,0.847107,0.088843,0.428719,32.7708,0.670833,0.810559,0.639066
162,981,0.847095,0.0733945,0.398573,33.7,0.670707,0.909639,0.620833
163,977,0.86694,0.0685773,0.382805,32.2402,0.719124,0.955679,0.694949
164,929,0.846071,0.0785791,0.400431,32.8346,0.784188,0.831063,0.721116
165,948,0.827004,0.0770042,0.388186,31.3647,0.686722,0.688822,0.681624
166,994,0.837022,0.0694165,0.396378,33.1269,0.691552,0.798295,0.665975
167,963,0.838006,0.0539979,0.404984,32.6995,0.718367,0.832386,0.656189
