image_number,evaluation_1,evaluation_2_1,evaluation_2_2,evaluation_2_3,evaluation_3,evaluation_4,evaluation_5,evaluation_6
1,1037,0.860174,0.045323,0.347155,37.0698,0.84378,0.986286,0.91213
2,1068,0.854869,0.0486891,0.335206,43.0309,0.811798,0.994233,0.903568
3,1068,0.846442,0.0421348,0.340824,42.1579,0.832397,0.992126,0.881086
4,1083,0.834718,0.0470914,0.353647,45.6978,0.813481,0.99546,0.89794
5,1047,0.846227,0.0515759,0.357211,43.4872,0.843362,0.99094,0.89012
6,1052,0.846008,0.0494297,0.334601,63.798,0.822243,0.993064,0.897803
7,1066,0.829268,0.0478424,0.344278,49.0332,0.816135,0.987356,0.886882
8,1083,0.839335,0.043398,0.348107,41.9666,0.831948,0.982242,0.903377
9,1059,0.839471,0.0443815,0.34372,41.7654,0.835694,0.99322,0.891967
10,1059,0.85458,0.0472144,0.344665,36.7801,0.820585,0.993096,0.899906
11,1048,0.846374,0.0448473,0.34542,38.6125,0.829198,0.989643,0.901794
12,1043,0.863854,0.0393097,0.343241,42.3068,0.835091,0.995408,0.907443
13,1058,0.869565,0.0444234,0.355388,39.7808,0.819471,0.99654,0.905081
14,1046,0.851816,0.0449331,0.3413,40.5182,0.828872,0.991926,0.890359
15,1066,0.840525,0.0403377,0.340525,38.5025,0.819887,0.988558,0.907266
16,1043,0.863854,0.0441035,0.344199,40.7919,0.840844,0.990878,0.897749
17,1043,0.85139,0.0402685,0.362416,41.3668,0.844679,0.994325,0.917546
18,1066,0.84334,0.0450281,0.349906,39.1862,0.819887,0.994279,0.902205
19,1037,0.858245,0.0462874,0.380906,39.2083,0.846673,0.965831,0.900563
20,1052,0.846958,0.0446768,0.358365,37.9971,0.829848,0.986254,0.901639
21,1095,0.868493,0.0447489,0.330594,38.7647,0.811872,0.992126,0.901141
22,1066,0.834897,0.0412758,0.32833,42.3965,0.825516,0.9875,0.885845
23,1032,0.846899,0.0503876,0.356589,38.13,0.840116,0.99308,0.893058
24,1056,0.845644,0.0359848,0.359848,39.1846,0.8125,0.990676,0.890504
25,1023,0.84653,0.0469208,0.358749,38.5256,0.85435,0.988558,0.902462
26,1068,0.870787,0.0496255,0.363296,39.8999,0.820225,0.986301,0.910068
27,1058,0.858223,0.0500945,0.373346,39.6454,0.833648,0.987528,0.867978
28,1030,0.85534,0.0485437,0.358252,38.8323,0.828155,0.927315,0.847826
29,1056,0.846591,0.0473485,0.357955,39.0827,0.811553,0.989498,0.883495
30,1046,0.840344,0.0391969,0.357553,38.9634,0.834608,0.9874,0.892992
31,1065,0.866667,0.0403756,0.364319,38.7244,0.81784,0.991963,0.897706
32,1081,0.847364,0.0462535,0.355227,39.438,0.822387,0.992126,0.905164
33,1079,0.86469,0.0370714,0.37164,39.6387,0.840593,0.990077,0.899167
34,1082,0.853974,0.0499076,0.350277,41.5969,0.829945,0.994432,0.914736
35,1068,0.85206,0.0477528,0.34176,38.9045,0.840824,0.994432,0.904806
36,1070,0.843925,0.0457944,0.363551,40.1422,0.833645,0.992152,0.912921
37,1072,0.85541,0.0447761,0.347015,40.0184,0.847015,0.992291,0.909346
38,1053,0.851852,0.037037,0.357075,40.7377,0.843305,0.989865,0.901119
39,1066,0.82833,0.0422139,0.36773,38.0839,0.821764,0.989726,0.894587
40,1064,0.857143,0.0432331,0.371241,38.8956,0.823308,0.996575,0.893058
41,1093,0.842635,0.0512351,0.350412,38.015,0.799634,0.995423,0.884398
42,1095,0.844749,0.0493151,0.36347,38.7907,0.823744,0.993348,0.903019
43,1046,0.862333,0.042065,0.362333,37.9124,0.847992,0.992108,0.894064
