image_number,evaluation_1,evaluation_2_1,evaluation_2_2,evaluation_2_3,evaluation_3,evaluation_4,evaluation_5,evaluation_6
1,1037,0.860174,0.045323,0.347155,18.1755,0.741562,0.955787,0.706781
2,1068,0.854869,0.0486891,0.335206,18.3289,0.719101,0.950521,0.696239
3,1068,0.846442,0.0421348,0.340824,22.0759,0.728464,0.96144,0.707865
4,1083,0.834718,0.0470914,0.353647,24.6784,0.715605,0.965161,0.700375
5,1047,0.846227,0.0515759,0.357211,20.7598,0.73639,0.959792,0.67313
6,1052,0.846008,0.0494297,0.334601,21.3828,0.731939,0.954545,0.69723
7,1066,0.829268,0.0478424,0.344278,24.5429,0.712008,0.949934,0.684411
8,1083,0.839335,0.043398,0.348107,24.0363,0.716528,0.971649,0.69137
9,1059,0.839471,0.0443815,0.34372,21.7717,0.731822,0.948387,0.686057
10,1059,0.85458,0.0472144,0.344665,21.5571,0.741265,0.946497,0.697828
11,1048,0.846374,0.0448473,0.34542,18.86,0.73187,0.959583,0.687441
12,1043,0.863854,0.0393097,0.343241,20.7728,0.712368,0.969044,0.70229
13,1058,0.869565,0.0444234,0.355388,19.3042,0.719282,0.946124,0.694151
14,1046,0.851816,0.0449331,0.3413,21.1369,0.740918,0.966452,0.710775
15,1066,0.840525,0.0403377,0.340525,23.0179,0.743902,0.955864,0.711281
16,1043,0.863854,0.0441035,0.344199,20.0227,0.732502,0.959424,0.682927
17,1043,0.85139,0.0402685,0.362416,18.1841,0.74976,0.932225,0.70278
18,1066,0.84334,0.0450281,0.349906,19.2708,0.712946,0.956579,0.689358
19,1037,0.858245,0.0462874,0.380906,20.3281,0.718419,0.959732,0.681051
20,1052,0.846958,0.0446768,0.358365,21.2073,0.719582,0.944518,0.685632
21,1095,0.868493,0.0447489,0.330594,22.2186,0.715068,0.956577,0.685361
22,1066,0.834897,0.0412758,0.32833,23.3972,0.733583,0.94757,0.660274
23,1032,0.846899,0.0503876,0.356589,20.8275,0.728682,0.949468,0.659475
24,1056,0.845644,0.0359848,0.359848,20.9972,0.713068,0.958831,0.703488
25,1023,0.84653,0.0469208,0.358749,22.1259,0.745846,0.948886,0.674242
26,1068,0.870787,0.0496255,0.363296,22.4895,0.720974,0.949351,0.694037
27,1058,0.858223,0.0500945,0.373346,21.572,0.731569,0.95478,0.685393
28,1030,0.85534,0.0485437,0.358252,20.9643,0.716505,0.95122,0.661626
29,1056,0.846591,0.0473485,0.357955,20.7731,0.697917,0.951153,0.68835
30,1046,0.840344,0.0391969,0.357553,22.5864,0.739006,0.959897,0.701705
31,1065,0.866667,0.0403756,0.364319,20.2077,0.721127,0.94401,0.695985
32,1081,0.847364,0.0462535,0.355227,22.4759,0.714154,0.945596,0.673239
33,1079,0.86469,0.0370714,0.37164,21.4549,0.73772,0.95603,0.700278
34,1082,0.853974,0.0499076,0.350277,22.2183,0.715342,0.950904,0.681186
35,1068,0.85206,0.0477528,0.34176,19.1562,0.729401,0.943517,0.668207
36,1070,0.843925,0.0457944,0.363551,20.6047,0.747664,0.955,0.713483
37,1072,0.85541,0.0447761,0.347015,20.2205,0.733209,0.966921,0.7
38,1053,0.851852,0.037037,0.357075,21.2032,0.736942,0.962629,0.693097
39,1066,0.82833,0.0422139,0.36773,21.0537,0.712008,0.945982,0.677113
40,1064,0.857143,0.0432331,0.371241,19.669,0.734962,0.94757,0.689493
41,1093,0.842635,0.0512351,0.350412,20.2842,0.706313,0.971503,0.703947
42,1095,0.844749,0.0493151,0.36347,20.8156,0.72968,0.952441,0.700823
43,1046,0.862333,0.042065,0.362333,20.6317,0.75717,0.949495,0.673059
44,1056,0.852273,0.0397727,0.375,25.4745,0.724432,0.950327,0.691205
45,1061,0.828464,0.0452403,0.350613,21.2927,0.72196,0.955614,0.67803
46,1081,0.851064,0.0416281,0.344126,22.1946,0.704903,0.961942,0.692743
47,1181,0.862828,0.0414903,0.364945,23.4035,0.607959,0.933148,0.612396
48,1073,0.857409,0.0438024,0.325256,22.7264,0.682199,0.93306,0.573243
49,1081,0.849214,0.0471785,0.376503,23.4155,0.702128,0.957839,0.684063
50,1080,0.862963,0.0453704,0.360185,19.7761,0.701852,0.953826,0.659574
51,1082,0.85305,0.0462107,0.349353,20.9494,0.719039,0.956298,0.675
52,1081,0.843663,0.039778,0.366327,20.083,0.696577,0.954847,0.648799
53,1070,0.852336,0.0495327,0.364486,20.3065,0.71028,0.959211,0.6642
54,1093,0.850869,0.0466606,0.357731,20.0094,0.708143,0.95478,0.678505
55,1071,0.855275,0.0401494,0.356676,20.2665,0.723623,0.95871,0.678866
56,1085,0.83318,0.0423963,0.352995,20.2979,0.705069,0.94902,0.660131
57,1065,0.846009,0.0469484,0.35493,21.0912,0.71831,0.95817,0.688479
58,1068,0.84176,0.0402622,0.351124,21.4397,0.715356,0.946335,0.674178
