image_number,evaluation_1,evaluation_2_1,evaluation_2_2,evaluation_2_3,evaluation_3,evaluation_4,evaluation_5,evaluation_6
1,246,0.857724,0.0569106,0.703252,1.63903,0.972222,1,0.947368
2,246,0.910569,0.0528455,0.682927,1.52309,0.918919,1,0.944444
3,244,0.897541,0.0491803,0.696721,1.55087,0.972222,0.971429,0.972973
4,250,0.864,0.048,0.684,1.86123,0.8,1,0.972222
5,246,0.869919,0.0487805,0.719512,2.24551,0.974359,1,0.911111
6,238,0.903361,0.0462185,0.705882,1.55518,0.871795,1,0.923077
7,239,0.899582,0.0460251,0.723849,1.87563,0.880952,0.864865,0.948718
8,238,0.886555,0.0462185,0.714286,1.589,0.972973,0.972222,0.952381
9,250,0.884,0.06,0.712,1.71988,0.916667,1,0.891892
10,244,0.872951,0.0491803,0.72541,1.53591,0.897436,1,1
11,234,0.884615,0.0641026,0.730769,1.70593,0.860465,1,0.948718
12,238,0.852941,0.0378151,0.731092,1.72437,1,1,0.930233
13,240,0.895833,0.05,0.716667,2.18068,0.945946,0.971429,0.947368
14,248,0.903226,0.0362903,0.701613,1.58714,0.897436,0.971429,0.945946
15,241,0.900415,0.0580913,0.705394,2.00388,0.972973,0.944444,0.974359
16,242,0.900826,0.0495868,0.714876,1.58903,0.897436,0.942857,0.972973
17,239,0.895397,0.041841,0.702929,1.54875,0.921053,0.971429,0.897436
18,238,0.886555,0.0546218,0.735294,1.62369,0.857143,1,0.973684
19,244,0.864754,0.0491803,0.741803,1.95061,1,1,0.904762
20,245,0.897959,0.0408163,0.726531,1.62042,0.891892,0.969697,0.894737
21,241,0.883817,0.0497925,0.726141,1.58094,0.894737,0.970588,0.945946
22,246,0.886179,0.0569106,0.719512,2.16625,0.891892,1,0.868421
23,236,0.881356,0.0466102,0.716102,1.4749,0.868421,0.969697,0.918919
24,243,0.868313,0.0452675,0.695473,1.57789,0.972222,1,0.947368
25,244,0.872951,0.057377,0.713115,1.53263,0.923077,0.972222,1
26,246,0.882114,0.0447154,0.707317,1.47701,0.918919,0.970588,0.948718
27,251,0.85259,0.0358566,0.685259,1.7096,0.8,0.96875,0.864865
28,254,0.850394,0.0551181,0.712598,1.5014,0.795455,0.942857,0.875
29,261,0.869732,0.0421456,0.685824,1.58242,0.880952,0.972973,0.818182
30,236,0.902542,0.0423729,0.724576,1.53877,0.902439,0.972973,0.952381
31,247,0.894737,0.0323887,0.704453,1.59793,0.880952,1,0.926829
32,252,0.876984,0.0396825,0.702381,1.80872,0.888889,1,0.97619
33,239,0.874477,0.0376569,0.719665,1.74031,0.97619,0.97561,0.888889
34,243,0.897119,0.0493827,0.699588,1.62221,0.952381,0.975,0.97619
35,244,0.856557,0.0368852,0.729508,1.71061,0.904762,0.947368,0.904762
36,252,0.845238,0.0555556,0.678571,1.60973,0.888889,0.925,0.928571
37,250,0.864,0.036,0.712,1.97301,0.975,0.974359,0.866667
38,244,0.872951,0.0491803,0.72541,2.03742,0.904762,0.973684,0.975
39,248,0.862903,0.0564516,0.721774,1.76469,0.911111,1,0.97619
40,248,0.875,0.0564516,0.741935,2.06438,0.952381,1,0.955556
41,254,0.877953,0.0551181,0.73622,1.5978,0.833333,1,0.952381
42,247,0.862348,0.0404858,0.712551,1.98473,1,1,0.895833
43,249,0.859438,0.0522088,0.722892,1.51055,0.904762,1,0.930233
44,255,0.882353,0.0352941,0.701961,1.67675,0.891304,1,0.97619
45,240,0.879167,0.0458333,0.741667,1.4818,0.952381,1,0.913043
46,244,0.872951,0.045082,0.737705,2.33165,0.888889,1,0.952381
47,258,0.883721,0.0310078,0.72093,1.54451,0.883721,0.973684,0.844444
48,233,0.866953,0.0472103,0.751073,1.53583,0.880952,0.945946,0.883721
49,244,0.872951,0.0409836,0.717213,1.80049,0.860465,1,0.952381
50,247,0.8583,0.0445344,0.712551,1.55613,0.904762,1,0.930233
51,247,0.866397,0.048583,0.700405,1.70887,0.857143,1,0.904762
52,247,0.890688,0.0445344,0.716599,1.62966,0.880952,1,0.880952
53,252,0.904762,0.047619,0.718254,1.52062,0.97561,0.95,0.97619
54,250,0.904,0.048,0.708,1.65831,0.888889,0.975,1
55,243,0.893004,0.0576132,0.699588,2.11021,0.883721,1,0.844444
56,245,0.902041,0.0285714,0.710204,1.5363,0.925,1,0.906977
57,249,0.915663,0.0522088,0.690763,1.67618,0.883721,1,0.975
58,239,0.92887,0.0376569,0.719665,1.42773,0.948718,0.972973,0.930233
59,244,0.909836,0.0409836,0.72541,1.92686,0.906977,0.974359,1
60,244,0.864754,0.0491803,0.696721,1.67658,0.891304,0.95122,0.976744
61,250,0.844,0.048,0.728,1.88076,0.851064,0.925,0.913043
62,238,0.857143,0.0294118,0.739496,1.46318,0.948718,0.972973,0.829787
63,248,0.887097,0.0443548,0.697581,2.0983,0.8,0.944444,0.948718
64,254,0.858268,0.0433071,0.708661,1.74569,0.875,0.952381,0.933333
65,247,0.878543,0.0526316,0.704453,1.61451,0.891304,0.95122,0.875
66,231,0.891775,0.0606061,0.774892,2.11558,0.925,1,0.826087
67,248,0.842742,0.0524194,0.733871,1.48938,0.878049,0.944444,0.9
68,246,0.906504,0.0447154,0.743902,1.56471,0.816327,0.925,0.95122
69,249,0.875502,0.0401606,0.742972,1.50962,0.957447,0.977778,0.938776
70,242,0.909091,0.0413223,0.756198,1.54913,0.909091,0.975,0.87234
71,253,0.87747,0.0355731,0.731225,1.56537,0.851064,0.95,0.909091
72,235,0.880851,0.0297872,0.753191,1.47863,0.891892,0.909091,0.914894
73,236,0.877119,0.0466102,0.728814,1.86597,0.794872,0.870968,0.918919
74,251,0.85259,0.0438247,0.681275,1.47579,0.818182,0.777778,0.923077
75,259,0.903475,0.03861,0.725869,1.90684,0.711864,0.952381,0.954545
76,252,0.880952,0.0515873,0.72619,1.62979,0.933333,0.928571,0.762712
