image_number,evaluation_1,evaluation_2_1,evaluation_2_2,evaluation_2_3,evaluation_3,evaluation_4,evaluation_5,evaluation_6
1,246,0.857724,0.0569106,0.703252,201.51,0.884615,0.994565,0.891089
2,246,0.910569,0.0528455,0.682927,193.861,0.869565,0.994444,0.850962
3,244,0.897541,0.0491803,0.696721,187.539,0.892157,0.978022,0.845411
4,250,0.864,0.048,0.684,192.589,0.829384,0.994286,0.848039
5,246,0.869919,0.0487805,0.719512,192.343,0.893204,0.994565,0.85782
6,238,0.903361,0.0462185,0.705882,192.138,0.87,1,0.84466
7,239,0.899582,0.0460251,0.723849,192.513,0.860697,0.982659,0.82
8,238,0.886555,0.0462185,0.714286,188.616,0.872449,0.994152,0.835821
9,250,0.884,0.06,0.712,191.449,0.866029,0.983425,0.887755
10,244,0.872951,0.0491803,0.72541,191.997,0.905941,0.983607,0.851675
11,234,0.884615,0.0641026,0.730769,195.852,0.898477,1,0.861386
12,238,0.852941,0.0378151,0.731092,188.542,0.865672,0.988506,0.84264
13,240,0.895833,0.05,0.716667,189.742,0.90099,0.989011,0.890547
14,248,0.903226,0.0362903,0.701613,182.885,0.885714,0.994624,0.886139
15,241,0.900415,0.0580913,0.705394,181.746,0.863415,1,0.857143
16,242,0.900826,0.0495868,0.714876,179.593,0.889447,0.988701,0.834146
17,239,0.895397,0.041841,0.702929,179.084,0.858586,0.994118,0.834171
18,238,0.886555,0.0546218,0.735294,181.617,0.847291,1,0.848485
19,244,0.864754,0.0491803,0.741803,179.408,0.893401,0.994318,0.847291
20,245,0.897959,0.0408163,0.726531,179.08,0.851485,0.988372,0.857868
21,241,0.883817,0.0497925,0.726141,179.102,0.851485,1,0.846535
22,246,0.886179,0.0569106,0.719512,177.865,0.877451,1,0.861386
23,236,0.881356,0.0466102,0.716102,180.483,0.864322,0.994186,0.833333
24,243,0.868313,0.0452675,0.695473,181.764,0.871921,0.988701,0.864322
25,244,0.872951,0.057377,0.713115,183.105,0.895,0.994413,0.881773
26,246,0.882114,0.0447154,0.707317,184.402,0.845771,0.982353,0.83
27,251,0.85259,0.0358566,0.685259,182.832,0.792271,0.981707,0.781095
28,254,0.850394,0.0551181,0.712598,178.997,0.787736,0.964072,0.748792
29,261,0.869732,0.0421456,0.685824,182.727,0.830275,0.98895,0.816038
30,236,0.902542,0.0423729,0.724576,179.872,0.889447,0.988701,0.807339
31,247,0.894737,0.0323887,0.704453,184.796,0.84058,0.994253,0.859296
32,252,0.876984,0.0396825,0.702381,183.743,0.885714,1,0.879227
33,239,0.874477,0.0376569,0.719665,188.297,0.90099,1,0.842857
34,243,0.897119,0.0493827,0.699588,190.467,0.852941,0.988506,0.841584
35,244,0.856557,0.0368852,0.729508,191.105,0.843902,0.988439,0.823529
