image_number,evaluation_1,evaluation_2_1,evaluation_2_2,evaluation_2_3,evaluation_3,evaluation_4,evaluation_5,evaluation_6
1,246,0.857724,0.0569106,0.703252,36.6447,0.881356,0.990385,0.871795
2,246,0.910569,0.0528455,0.682927,31.5859,0.882353,0.990476,0.881356
3,244,0.897541,0.0491803,0.696721,31.2243,0.905983,1,0.882353
4,250,0.864,0.048,0.684,32.6041,0.850394,0.990741,0.91453
5,246,0.869919,0.0487805,0.719512,33.8407,0.886179,0.990826,0.850394
6,238,0.903361,0.0462185,0.705882,34.6059,0.845528,0.971154,0.869919
7,239,0.899582,0.0460251,0.723849,38.6877,0.850394,0.981481,0.861789
8,238,0.886555,0.0462185,0.714286,33.9493,0.898305,1,0.811024
9,250,0.884,0.06,0.712,34.3107,0.905983,0.990566,0.889831
10,244,0.872951,0.0491803,0.72541,35.9856,0.923729,0.990826,0.923077
11,234,0.884615,0.0641026,0.730769,34.3647,0.877049,1,0.898305
12,238,0.852941,0.0378151,0.731092,33.3774,0.916667,0.981818,0.852459
13,240,0.895833,0.05,0.716667,32.7748,0.9,1,0.908333
14,248,0.903226,0.0362903,0.701613,31.7647,0.867769,1,0.858333
15,241,0.900415,0.0580913,0.705394,33.6423,0.890756,0.990566,0.85124
16,242,0.900826,0.0495868,0.714876,33.0118,0.860656,0.990476,0.882353
17,239,0.895397,0.041841,0.702929,33.3222,0.892562,0.981481,0.885246
18,238,0.886555,0.0546218,0.735294,32.8508,0.915254,1,0.884298
19,244,0.864754,0.0491803,0.741803,32.4642,0.905983,0.990566,0.915254
20,245,0.897959,0.0408163,0.726531,32.8556,0.854839,1,0.888889
21,241,0.883817,0.0497925,0.726141,31.8149,0.905983,0.981132,0.854839
22,246,0.886179,0.0569106,0.719512,33.1919,0.889831,0.990476,0.871795
23,236,0.881356,0.0466102,0.716102,35.3975,0.876106,1,0.847458
24,243,0.868313,0.0452675,0.695473,34.1554,0.867769,0.980952,0.893805
25,244,0.872951,0.057377,0.713115,33.7152,0.90678,0.990654,0.892562
26,246,0.882114,0.0447154,0.707317,33.3035,0.875,0.971429,0.872881
27,251,0.85259,0.0358566,0.685259,37.19,0.860656,0.952381,0.875
28,254,0.850394,0.0551181,0.712598,39.7508,0.81746,0.961165,0.795082
29,261,0.869732,0.0421456,0.685824,35.302,0.856,0.962617,0.81746
30,236,0.902542,0.0423729,0.724576,35.3342,0.891667,1,0.832
31,247,0.894737,0.0323887,0.704453,34.2704,0.856,1,0.891667
32,252,0.876984,0.0396825,0.702381,34.0411,0.866142,1,0.888
33,239,0.874477,0.0376569,0.719665,32.9438,0.866142,1,0.858268
34,243,0.897119,0.0493827,0.699588,33.8024,0.88,0.972727,0.889764
35,244,0.856557,0.0368852,0.729508,33.8831,0.832,0.980769,0.816
36,252,0.845238,0.0555556,0.678571,34.6334,0.874016,0.972973,0.824
37,250,0.864,0.036,0.712,32.8142,0.9,0.990741,0.826772
38,244,0.872951,0.0491803,0.72541,30.9294,0.883333,1,0.875
39,248,0.862903,0.0564516,0.721774,31.9886,0.850394,1,0.908333
40,248,0.875,0.0564516,0.741935,31.9491,0.873016,0.981818,0.850394
41,254,0.877953,0.0551181,0.73622,32.2804,0.861538,0.991071,0.873016
42,247,0.862348,0.0404858,0.712551,32.5072,0.904,1,0.869231
43,249,0.859438,0.0522088,0.722892,31.4765,0.856,1,0.872
44,255,0.882353,0.0352941,0.701961,32.2055,0.891473,1,0.912
45,240,0.879167,0.0458333,0.741667,31.4744,0.92623,0.99115,0.875969
46,244,0.872951,0.045082,0.737705,32.2022,0.873016,0.990909,0.868852
47,258,0.883721,0.0310078,0.72093,30.2083,0.835938,0.990654,0.793651
48,233,0.866953,0.0472103,0.751073,32.0911,0.831933,0.989899,0.703125
49,244,0.872951,0.0409836,0.717213,32.6725,0.84375,0.990741,0.857143
50,247,0.8583,0.0445344,0.712551,32.5555,0.888889,0.982143,0.84375
51,247,0.866397,0.048583,0.700405,32.5271,0.869919,0.990654,0.833333
52,247,0.890688,0.0445344,0.716599,32.4078,0.833333,0.961905,0.813008
53,252,0.904762,0.047619,0.718254,31.389,0.856,0.990654,0.857143
54,250,0.904,0.048,0.708,31.0862,0.893443,0.972477,0.872
55,243,0.893004,0.0576132,0.699588,31.283,0.870968,0.990741,0.860656
56,245,0.902041,0.0285714,0.710204,32.2933,0.834646,0.981132,0.83871
57,249,0.915663,0.0522088,0.690763,33.2966,0.893443,0.981651,0.826772
58,239,0.92887,0.0376569,0.719665,31.3114,0.881356,0.990385,0.860656
59,244,0.909836,0.0409836,0.72541,32.8122,0.856,0.971963,0.90678
60,244,0.864754,0.0491803,0.696721,31.6396,0.864,0.990741,0.856
61,250,0.844,0.048,0.728,31.8662,0.848,0.971698,0.832
62,238,0.857143,0.0294118,0.739496,31.4949,0.888889,0.980769,0.824
63,248,0.887097,0.0443548,0.697581,32.0423,0.84,0.990476,0.863248
64,254,0.858268,0.0433071,0.708661,31.7376,0.850746,1,0.864
65,247,0.878543,0.0526316,0.704453,32.7242,0.853659,1,0.753731
66,231,0.891775,0.0606061,0.774892,31.9401,0.892562,0.990741,0.813008
67,248,0.842742,0.0524194,0.733871,32.4154,0.83871,0.942308,0.818182
68,246,0.906504,0.0447154,0.743902,30.6019,0.824427,0.972222,0.814516
69,249,0.875502,0.0401606,0.742972,31.9689,0.867188,0.990991,0.824427
70,242,0.909091,0.0413223,0.756198,32.5576,0.846154,0.963636,0.859375
71,253,0.87747,0.0355731,0.731225,32.4286,0.817518,0.964286,0.807692
72,235,0.880851,0.0297872,0.753191,31.9483,0.844262,0.990291,0.759124
73,236,0.877119,0.0466102,0.728814,33.3947,0.806202,0.913462,0.786885
74,251,0.85259,0.0438247,0.681275,31.2878,0.82963,0.991071,0.821705
75,259,0.903475,0.03861,0.725869,30.8348,0.706294,0.950495,0.659259
76,252,0.880952,0.0515873,0.72619,30.6019,0.782946,0.970297,0.65035
77,269,0.743494,0.0594796,0.698885,30.4946,0.683099,0.793814,0.682171
78,255,0.894118,0.0431373,0.713725,30.7464,0.762963,0.76699,0.640845
79,256,0.929688,0.03125,0.699219,31.7601,0.744,0.946237,0.6
80,247,0.88664,0.0364372,0.728745,32.1248,0.75,0.969697,0.72
81,227,0.920705,0.0484581,0.713656,33.7725,0.896552,0.903846,0.742424
82,256,0.90625,0.046875,0.730469,31.3084,0.686131,0.968085,0.75
83,253,0.928854,0.0316206,0.786561,31.4266,0.753731,0.930693,0.737226
84,260,0.938462,0.0423077,0.723077,30.231,0.778626,0.95098,0.716418
85,253,0.916996,0.0355731,0.727273,31.7143,0.766423,0.952381,0.70229
86,245,0.906122,0.0326531,0.710204,33.107,0.738806,0.919192,0.686131
87,236,0.949153,0.0508475,0.775424,31.1104,0.75,0.870968,0.634328
88,233,0.888412,0.0429185,0.738197,32.4167,0.762712,0.955556,0.677419
89,241,0.941909,0.0373444,0.742739,31.3857,0.674419,0.793103,0.711864
90,235,0.86383,0.0510638,0.73617,31.8732,0.801653,0.917526,0.736434
91,236,0.889831,0.0423729,0.762712,32.2107,0.781513,0.870968,0.710744
92,232,0.939655,0.0301724,0.767241,31.696,0.796748,0.938776,0.764706
93,235,0.885106,0.0297872,0.72766,31.0992,0.768,0.927083,0.731707
94,233,0.914163,0.0472103,0.763948,32.7871,0.761905,0.947917,0.704
95,243,0.893004,0.0452675,0.716049,30.7809,0.726619,0.891089,0.738095
96,232,0.896552,0.0301724,0.741379,31.3377,0.80315,0.960784,0.647482
97,227,0.885463,0.030837,0.740088,32.2244,0.713115,0.850575,0.614173
98,212,0.919811,0.0283019,0.825472,31.5054,0.710526,0.716049,0.647541
99,229,0.842795,0.0393013,0.733624,31.2164,0.776923,0.762376,0.824561
100,195,0.887179,0.0358974,0.74359,31.36,0.837838,0.83871,0.669231
101,194,0.845361,0.0360825,0.778351,30.8591,0.794643,0.786517,0.747748
102,219,0.794521,0.0502283,0.69863,32.656,0.714286,0.7,0.75
103,206,0.912621,0.0485437,0.723301,32.9573,0.837838,0.978495,0.714286
104,210,0.87619,0.052381,0.733333,31.7984,0.688,1,0.720721
105,218,0.889908,0.0275229,0.761468,34.3698,0.798319,0.957895,0.72
106,189,0.888889,0.0740741,0.772487,31.0566,0.781818,0.767442,0.655462
107,205,0.853659,0.0390244,0.712195,33.1779,0.682927,0.952381,0.727273
108,215,0.87907,0.0372093,0.669767,32.7623,0.758065,0.893617,0.747967
109,209,0.899522,0.0382775,0.703349,31.6079,0.809917,0.928571,0.782258
110,220,0.895455,0.0227273,0.731818,32.3169,0.768,0.84375,0.694215
