image_number,evaluation_1,evaluation_2_1,evaluation_2_2,evaluation_2_3,evaluation_3,evaluation_4,evaluation_5,evaluation_6
1,246,0.857724,0.0569106,0.703252,5.45567,0.910569,0.982143,0.917695
2,246,0.910569,0.0528455,0.682927,6.63432,0.910569,0.973214,0.922764
3,244,0.897541,0.0491803,0.696721,5.64409,0.934426,0.969298,0.918699
4,250,0.864,0.048,0.684,7.06871,0.904,0.964602,0.922131
5,246,0.869919,0.0487805,0.719512,8.094,0.914634,0.973333,0.908
6,238,0.903361,0.0462185,0.705882,7.85615,0.89916,0.976636,0.886179
7,239,0.899582,0.0460251,0.723849,7.77245,0.899582,0.981395,0.894958
8,238,0.886555,0.0462185,0.714286,6.42074,0.907563,0.976852,0.916318
9,250,0.884,0.06,0.712,5.72155,0.876,0.977169,0.94958
10,244,0.872951,0.0491803,0.72541,7.55727,0.942623,0.978261,0.928
11,234,0.884615,0.0641026,0.730769,7.3832,0.92735,0.981567,0.913934
12,238,0.852941,0.0378151,0.731092,9.57914,0.894958,0.985915,0.901709
13,240,0.895833,0.05,0.716667,7.32291,0.904167,0.976959,0.915966
14,248,0.903226,0.0362903,0.701613,9.67601,0.907258,0.982222,0.954167
15,241,0.900415,0.0580913,0.705394,5.86795,0.93361,0.977778,0.915323
16,242,0.900826,0.0495868,0.714876,5.78512,0.904959,0.986301,0.917012
17,239,0.895397,0.041841,0.702929,7.23066,0.90795,0.976959,0.892562
18,238,0.886555,0.0546218,0.735294,7.31837,0.903361,0.976744,0.924686
19,244,0.864754,0.0491803,0.741803,6.92708,0.901639,0.981818,0.928571
20,245,0.897959,0.0408163,0.726531,7.99127,0.897959,0.977273,0.897541
21,241,0.883817,0.0497925,0.726141,6.16058,0.912863,0.963636,0.930612
22,246,0.886179,0.0569106,0.719512,6.61693,0.926829,0.97807,0.921162
23,236,0.881356,0.0466102,0.716102,8.9986,0.915254,0.986111,0.906504
24,243,0.868313,0.0452675,0.695473,5.6002,0.893004,0.976959,0.923729
25,244,0.872951,0.057377,0.713115,7.12867,0.918033,0.982143,0.934156
26,246,0.882114,0.0447154,0.707317,5.87835,0.910569,0.973214,0.92623
27,251,0.85259,0.0358566,0.685259,7.94833,0.87251,0.972603,0.898374
28,254,0.850394,0.0551181,0.712598,7.11518,0.88189,0.959821,0.89243
29,261,0.869732,0.0421456,0.685824,7.66054,0.888889,0.974138,0.913386
30,236,0.902542,0.0423729,0.724576,8.01297,0.940678,0.977477,0.89272
