image_number,evaluation_1,evaluation_2_1,evaluation_2_2,evaluation_2_3,evaluation_3,evaluation_4,evaluation_5,evaluation_6
1,246,0.857724,0.0569106,0.703252,4.17913,0.747967,0.961957,0.740741
2,246,0.910569,0.0528455,0.682927,3.4625,0.743902,0.939891,0.695122
3,244,0.897541,0.0491803,0.696721,5.14723,0.745902,0.961538,0.699187
4,250,0.864,0.048,0.684,3.72358,0.696,0.931034,0.688525
5,246,0.869919,0.0487805,0.719512,4.99205,0.747967,0.929348,0.7
6,238,0.903361,0.0462185,0.705882,4.05962,0.743697,0.943503,0.711382
7,239,0.899582,0.0460251,0.723849,5.76779,0.698745,0.97006,0.680672
8,238,0.886555,0.0462185,0.714286,4.63712,0.722689,0.947674,0.719665
9,250,0.884,0.06,0.712,3.79516,0.696,0.942529,0.718487
10,244,0.872951,0.0491803,0.72541,3.86395,0.77459,0.957672,0.744
11,234,0.884615,0.0641026,0.730769,3.96024,0.773504,0.961326,0.717213
12,238,0.852941,0.0378151,0.731092,4.21889,0.726891,0.953757,0.688034
13,240,0.895833,0.05,0.716667,4.15328,0.7375,0.966102,0.718487
14,248,0.903226,0.0362903,0.701613,4.20678,0.709677,0.948864,0.733333
15,241,0.900415,0.0580913,0.705394,4.39145,0.755187,0.950549,0.758065
16,242,0.900826,0.0495868,0.714876,5.11202,0.760331,0.929348,0.738589
17,239,0.895397,0.041841,0.702929,3.80458,0.740586,0.966102,0.714876
18,238,0.886555,0.0546218,0.735294,3.65308,0.714286,0.941176,0.719665
19,244,0.864754,0.0491803,0.741803,3.7702,0.72541,0.971751,0.731092
20,245,0.897959,0.0408163,0.726531,4.74027,0.742857,0.956044,0.733607
21,241,0.883817,0.0497925,0.726141,6.20325,0.759336,0.945355,0.702041
22,246,0.886179,0.0569106,0.719512,4.59861,0.780488,0.947917,0.763485
23,236,0.881356,0.0466102,0.716102,4.15956,0.75,0.937853,0.691057
24,243,0.868313,0.0452675,0.695473,3.63756,0.72428,0.960227,0.724576
25,244,0.872951,0.057377,0.713115,4.6398,0.75,0.945355,0.740741
26,246,0.882114,0.0447154,0.707317,4.40566,0.735772,0.955801,0.737705
27,251,0.85259,0.0358566,0.685259,4.28447,0.717131,0.922222,0.691057
28,254,0.850394,0.0551181,0.712598,4.31925,0.720472,0.879781,0.665339
29,261,0.869732,0.0421456,0.685824,4.71753,0.704981,0.934783,0.688976
30,236,0.902542,0.0423729,0.724576,4.27153,0.728814,0.94186,0.681992
31,247,0.894737,0.0323887,0.704453,4.98886,0.757085,0.941176,0.745763
32,252,0.876984,0.0396825,0.702381,4.25147,0.757937,0.95288,0.740891
33,239,0.874477,0.0376569,0.719665,3.94963,0.761506,0.934066,0.706349
34,243,0.897119,0.0493827,0.699588,4.43494,0.720165,0.897143,0.698745
35,244,0.856557,0.0368852,0.729508,4.01669,0.704918,0.94186,0.679012
36,252,0.845238,0.0555556,0.678571,5.69097,0.686508,0.965318,0.692623
37,250,0.864,0.036,0.712,4.48791,0.736,0.951087,0.690476
38,244,0.872951,0.0491803,0.72541,4.09579,0.758197,0.978378,0.736
39,248,0.862903,0.0564516,0.721774,4.45855,0.733871,0.956044,0.741803
40,248,0.875,0.0564516,0.741935,5.35444,0.762097,0.952381,0.745968
41,254,0.877953,0.0551181,0.73622,4.69586,0.724409,0.956522,0.721774
42,247,0.862348,0.0404858,0.712551,4.32937,0.748988,0.962162,0.681102
43,249,0.859438,0.0522088,0.722892,4.51217,0.763052,0.963158,0.736842
44,255,0.882353,0.0352941,0.701961,4.36577,0.764706,0.958974,0.763052
45,240,0.879167,0.0458333,0.741667,4.58827,0.791667,0.952632,0.737255
46,244,0.872951,0.045082,0.737705,5.35207,0.745902,0.967033,0.7375
47,258,0.883721,0.0310078,0.72093,4.25591,0.647287,0.886228,0.622951
48,233,0.866953,0.0472103,0.751073,3.88427,0.695279,0.888889,0.624031
49,244,0.872951,0.0409836,0.717213,4.92185,0.709016,0.930636,0.738197
50,247,0.8583,0.0445344,0.712551,4.35939,0.688259,0.947059,0.696721
51,247,0.866397,0.048583,0.700405,5.06504,0.728745,0.922222,0.696356
52,247,0.890688,0.0445344,0.716599,3.87807,0.684211,0.905325,0.668016
53,252,0.904762,0.047619,0.718254,3.83976,0.690476,0.965517,0.704453
