image_number,evaluation_1,evaluation_2_1,evaluation_2_2,evaluation_2_3,evaluation_3,evaluation_4,evaluation_5,evaluation_6
1,69,0.405797,0,0.333333,3.03623,0.898551,1,0.941176
2,70,0.4,0.0142857,0.314286,3.13373,0.828571,1,0.942029
3,70,0.414286,0,0.371429,3.41841,0.828571,1,0.9
4,66,0.318182,0.0151515,0.348485,3.02407,0.863636,0.982456,0.871429
5,66,0.409091,0,0.30303,3.03444,0.848485,0.982143,0.893939
6,72,0.416667,0,0.388889,3.17612,0.875,0.984127,0.984848
7,60,0.383333,0,0.366667,4.04458,0.966667,0.965517,0.875
8,66,0.318182,0,0.333333,2.9922,0.833333,0.981818,0.916667
9,65,0.369231,0.0153846,0.353846,4.54011,0.846154,1,0.878788
10,65,0.4,0,0.338462,3.79472,0.8,1,0.861538
11,67,0.38806,0,0.373134,3.05713,0.791045,0.981132,0.907692
12,58,0.362069,0,0.327586,2.87356,0.810345,1,0.80597
13,69,0.391304,0,0.405797,2.87365,0.710145,1,0.87931
14,68,0.323529,0,0.323529,2.82413,0.838235,0.982456,0.869565
15,68,0.382353,0,0.338235,2.8933,0.852941,0.982759,0.911765
16,64,0.40625,0,0.265625,3.16252,0.875,1,0.955882
17,67,0.328358,0.0149254,0.373134,4.35016,0.850746,0.964912,0.859375
18,64,0.375,0.015625,0.40625,3.71001,0.9375,0.966667,0.910448
19,71,0.394366,0,0.338028,3.0741,0.830986,1,0.984375
20,66,0.363636,0,0.348485,2.93053,0.893939,0.983051,0.901408
21,64,0.390625,0.015625,0.359375,3.02359,0.90625,1,0.969697
22,68,0.338235,0.0147059,0.382353,2.79617,0.823529,0.982143,0.90625
23,69,0.333333,0.0144928,0.333333,3.63333,0.826087,1,0.882353
24,72,0.388889,0,0.305556,2.95388,0.833333,0.983333,0.927536
25,65,0.384615,0.0153846,0.246154,3.5901,0.923077,0.983333,0.902778
26,62,0.419355,0,0.33871,3.05086,0.822581,0.980392,0.830769
27,79,0.329114,0,0.35443,3.63839,0.632911,0.98,0.854839
28,69,0.376812,0,0.333333,2.76548,0.782609,1,0.78481
29,73,0.39726,0,0.452055,2.74902,0.767123,1,0.869565
30,73,0.465753,0,0.30137,3.19752,0.808219,0.983051,0.808219
31,77,0.298701,0,0.363636,3.07353,0.779221,0.983333,0.835616
32,71,0.380282,0,0.352113,8.63928,0.816901,0.982759,0.844156
33,81,0.308642,0,0.283951,2.76913,0.728395,0.983051,0.873239
34,66,0.30303,0,0.363636,3.63083,0.863636,1,0.802469
35,79,0.303797,0,0.341772,2.71209,0.746835,1,0.909091
36,73,0.383562,0,0.410959,2.6409,0.849315,0.983871,0.822785
37,66,0.333333,0,0.363636,3.66446,0.893939,0.983051,0.876712
38,70,0.285714,0,0.357143,3.44426,0.771429,1,0.833333
39,73,0.383562,0.0136986,0.369863,2.98992,0.808219,1,0.942857
40,70,0.371429,0,0.371429,2.85417,0.814286,1,0.849315
41,76,0.315789,0.0131579,0.328947,3.15224,0.763158,0.965517,0.842857
42,74,0.378378,0.0135135,0.337838,2.91492,0.837838,1,0.828947
43,74,0.391892,0,0.351351,3.33906,0.810811,1,0.932432
44,65,0.307692,0.0153846,0.338462,2.5966,0.861538,0.982143,0.810811
45,76,0.302632,0,0.368421,3.00181,0.723684,1,0.892308
46,70,0.357143,0,0.4,2.62856,0.857143,1,0.894737
47,73,0.328767,0,0.315068,3.19965,0.753425,0.963636,0.771429
48,63,0.349206,0,0.396825,2.66349,0.777778,0.959184,0.712329
49,67,0.358209,0.0149254,0.38806,2.95294,0.761194,1,0.873016
50,66,0.409091,0,0.318182,3.07597,0.863636,0.982456,0.910448
51,72,0.333333,0.0138889,0.361111,3.42072,0.75,1,0.848485
52,69,0.42029,0,0.304348,2.9708,0.797101,0.981818,0.833333
53,70,0.328571,0,0.442857,3.03277,0.8,1,0.84058
54,65,0.353846,0,0.384615,2.73779,0.876923,0.982456,0.871429
55,74,0.324324,0,0.364865,2.67931,0.810811,1,0.969231
56,73,0.369863,0,0.39726,3.58042,0.835616,0.983607,0.878378
57,68,0.308824,0,0.308824,2.63603,0.882353,0.966667,0.890411
58,70,0.314286,0,0.371429,3.00745,0.771429,1,0.897059
59,66,0.333333,0.0151515,0.393939,3.07481,0.80303,1,0.771429
60,70,0.4,0,0.342857,3.11502,0.771429,0.981481,0.848485
61,70,0.385714,0,0.457143,2.74015,0.842857,0.966102,0.9
62,64,0.359375,0,0.375,3.49431,0.890625,0.982456,0.857143
63,67,0.41791,0.0149254,0.462687,2.81962,0.776119,0.980769,0.875
64,72,0.375,0,0.319444,2.77934,0.819444,0.983051,0.910448
65,67,0.343284,0,0.298507,2.9072,0.820896,0.981818,0.819444
66,66,0.348485,0.0151515,0.363636,2.85946,0.818182,1,0.80597
67,77,0.38961,0.025974,0.350649,3.03817,0.701299,0.962963,0.863636
68,74,0.445946,0.027027,0.459459,2.82262,0.837838,0.967742,0.779221
69,76,0.328947,0.0263158,0.328947,2.76028,0.763158,1,0.864865
70,72,0.375,0.0277778,0.444444,3.64688,0.75,1,0.789474
71,75,0.32,0.0266667,0.36,2.79734,0.706667,0.811321,0.763889
72,73,0.383562,0.0273973,0.39726,2.75581,0.753425,0.963636,0.813333
73,74,0.405405,0.0135135,0.364865,3.64241,0.716216,0.943396,0.780822
74,81,0.320988,0.0246914,0.382716,2.74693,0.728395,0.966102,0.851351
75,73,0.383562,0.0273973,0.424658,3.12236,0.767123,0.964286,0.753086
76,84,0.392857,0.0238095,0.404762,2.88664,0.619048,0.980769,0.780822
77,78,0.333333,0,0.269231,2.9899,0.74359,0.913793,0.761905
78,80,0.425,0,0.3625,3.19792,0.7125,0.929825,0.75641
79,80,0.4,0,0.3625,2.76067,0.7,0.946429,0.7875
80,82,0.317073,0,0.390244,3.17071,0.731707,0.966667,0.75
81,73,0.424658,0,0.369863,3.63102,0.780822,0.982456,0.756098
82,79,0.35443,0,0.278481,2.80165,0.696203,1,0.794521
83,70,0.342857,0,0.357143,2.93547,0.771429,0.925926,0.78481
84,77,0.25974,0,0.285714,3.14515,0.688312,0.924528,0.8
85,73,0.287671,0,0.30137,2.93473,0.712329,0.980769,0.727273
86,76,0.276316,0,0.276316,2.98545,0.710526,0.925926,0.863014
87,75,0.32,0,0.36,2.93954,0.733333,0.963636,0.789474
88,74,0.310811,0,0.27027,2.74232,0.743243,0.872727,0.72
89,66,0.287879,0,0.30303,2.989,0.757576,0.92,0.72973
90,72,0.375,0,0.222222,2.85631,0.666667,0.9375,0.80303
91,67,0.343284,0,0.268657,3.55007,0.671642,0.844444,0.708333
92,75,0.346667,0,0.36,2.92377,0.693333,0.846154,0.80597
93,76,0.355263,0,0.210526,2.77014,0.671053,0.960784,0.786667
94,75,0.346667,0,0.28,2.75826,0.733333,0.981818,0.815789
95,80,0.2625,0,0.325,2.94551,0.7375,0.932203,0.84
96,67,0.402985,0,0.402985,3.56451,0.80597,0.851852,0.825
97,74,0.310811,0,0.445946,2.83616,0.662162,0.795918,0.701493
98,76,0.368421,0,0.394737,3.16554,0.684211,0.769231,0.77027
99,70,0.3,0,0.328571,2.7161,0.771429,0.833333,0.789474
100,72,0.236111,0,0.208333,2.67773,0.708333,0.862745,0.8
101,73,0.219178,0,0.260274,2.80697,0.739726,0.777778,0.833333
102,73,0.30137,0,0.410959,2.79693,0.657534,0.958333,0.69863
103,74,0.283784,0,0.337838,2.73957,0.72973,0.962963,0.794521
104,67,0.268657,0,0.283582,2.74647,0.761194,0.941176,0.743243
105,67,0.328358,0,0.41791,2.61665,0.701493,0.914894,0.746269
106,72,0.361111,0,0.236111,3.13785,0.638889,0.978261,0.80597
107,69,0.333333,0,0.289855,3.20598,0.695652,0.854167,0.666667
108,66,0.287879,0,0.348485,2.69264,0.666667,0.886364,0.695652
109,61,0.360656,0,0.262295,2.6565,0.754098,1,0.787879
110,67,0.328358,0,0.208955,2.91271,0.686567,0.934783,0.770492
111,70,0.414286,0,0.3,2.73576,0.728571,0.960784,0.80597
112,68,0.426471,0,0.294118,3.12352,0.735294,1,0.785714
113,70,0.385714,0,0.357143,2.84751,0.685714,0.916667,0.720588
114,62,0.354839,0,0.370968,2.65328,0.741935,0.804348,0.671429
115,81,0.345679,0,0.333333,3.47478,0.567901,0.956522,0.709677
116,71,0.43662,0,0.408451,3.23386,0.732394,0.980769,0.728395
117,65,0.292308,0,0.384615,2.786,0.692308,0.911111,0.690141
118,77,0.285714,0,0.38961,2.98558,0.662338,0.960784,0.753846
119,70,0.371429,0,0.442857,2.75515,0.785714,0.963636,0.753247
120,78,0.307692,0,0.423077,3.61307,0.653846,0.960784,0.742857
121,81,0.333333,0,0.444444,2.95924,0.716049,0.896552,0.717949
122,76,0.328947,0,0.473684,3.21152,0.763158,0.827586,0.740741
123,78,0.307692,0,0.371795,3.39555,0.615385,0.979167,0.697368
124,77,0.363636,0,0.428571,3.43441,0.675325,0.788462,0.679487
125,80,0.2625,0,0.4,3.03276,0.675,0.925926,0.753247
126,71,0.394366,0,0.408451,3.47117,0.788732,0.910714,0.725
127,78,0.333333,0,0.320513,2.74629,0.666667,0.903846,0.732394
128,81,0.296296,0,0.419753,4.40581,0.654321,0.90566,0.74359
129,84,0.333333,0,0.333333,2.84803,0.678571,0.807018,0.716049
130,80,0.325,0,0.35,3.01865,0.7125,0.964912,0.77381
131,74,0.324324,0,0.405405,2.86441,0.716216,0.943396,0.725
132,69,0.405797,0,0.449275,2.94905,0.73913,0.960784,0.702703
133,71,0.338028,0,0.450704,2.84174,0.71831,0.882353,0.768116
134,77,0.363636,0,0.467532,3.47918,0.662338,0.901961,0.788732
135,76,0.223684,0,0.434211,2.68669,0.75,0.947368,0.792208
136,78,0.307692,0,0.346154,3.74781,0.679487,0.962264,0.776316
137,75,0.373333,0,0.453333,3.46904,0.746667,0.928571,0.717949
138,79,0.291139,0,0.405063,2.97781,0.683544,0.814815,0.786667
139,73,0.328767,0,0.39726,3.18848,0.69863,0.980392,0.696203
140,70,0.371429,0,0.285714,3.73095,0.742857,0.903846,0.753425
141,71,0.239437,0,0.267606,3.62988,0.704225,0.94,0.785714
142,67,0.358209,0,0.373134,2.72802,0.716418,0.895833,0.704225
143,70,0.4,0,0.328571,3.51178,0.7,0.877551,0.731343
144,82,0.390244,0,0.414634,2.89755,0.634146,0.903846,0.742857
145,68,0.294118,0,0.323529,2.94314,0.838235,0.894737,0.743902
146,74,0.378378,0,0.378378,2.96238,0.756757,0.964286,0.808824
147,70,0.357143,0,0.357143,3.2373,0.8,0.892857,0.689189
148,71,0.323944,0,0.464789,3.39631,0.690141,0.897959,0.771429
149,76,0.302632,0,0.421053,2.78805,0.710526,0.925926,0.802817
150,73,0.30137,0,0.424658,3.02411,0.753425,0.963636,0.763158
151,72,0.402778,0,0.319444,2.91126,0.722222,0.942308,0.726027
152,74,0.310811,0,0.405405,4.35194,0.716216,0.886792,0.666667
153,74,0.324324,0,0.405405,3.07708,0.689189,0.803922,0.72973
154,76,0.368421,0,0.315789,3.65213,0.723684,0.963636,0.77027
155,70,0.371429,0.0142857,0.342857,2.86549,0.728571,1,0.697368
156,73,0.383562,0,0.383562,3.24165,0.69863,0.921569,0.742857
157,72,0.333333,0,0.375,2.8981,0.722222,0.961538,0.753425
158,78,0.410256,0,0.358974,3.28632,0.679487,0.886792,0.777778
159,83,0.39759,0,0.313253,3.46819,0.686747,0.929825,0.75641
160,79,0.468354,0,0.303797,3.17409,0.746835,0.745763,0.771084
161,77,0.38961,0,0.38961,2.95361,0.753247,0.982759,0.746835
162,81,0.419753,0,0.432099,3.37614,0.679012,0.909091,0.792208
163,73,0.465753,0,0.287671,4.06408,0.753425,0.890909,0.691358
164,78,0.410256,0,0.333333,4.55062,0.769231,0.933333,0.890411
165,70,0.442857,0,0.414286,5.02586,0.785714,0.872727,0.769231
166,85,0.458824,0,0.435294,3.33146,0.694118,0.864407,0.8
167,80,0.375,0,0.4125,3.13143,0.7375,0.932203,0.788235
168,80,0.45,0,0.45,3.48494,0.75,0.816667,0.75
169,75,0.346667,0,0.36,3.0854,0.746667,0.803571,0.7625
170,76,0.342105,0,0.407895,3.21067,0.776316,0.79661,0.853333
171,69,0.434783,0.0144928,0.333333,3.6387,0.797101,0.818182,0.736842
172,62,0.451613,0,0.370968,3.10779,0.790323,0.836735,0.73913
173,61,0.393443,0,0.442623,3.47488,0.688525,0.857143,0.677419
174,63,0.365079,0,0.412698,2.74816,0.730159,0.847826,0.770492
175,75,0.4,0,0.28,3.52322,0.613333,0.782609,0.714286
176,84,0.452381,0,0.392857,2.84853,0.702381,0.932203,0.813333
177,64,0.453125,0,0.375,2.86051,0.828125,0.886792,0.678571
178,67,0.537313,0,0.38806,2.76941,0.746269,0.92,0.75
179,60,0.483333,0.0166667,0.4,4.11993,0.8,0.854167,0.716418
180,76,0.460526,0.0131579,0.421053,3.12067,0.644737,0.755102,0.766667
181,64,0.5,0,0.34375,3.54536,0.796875,0.823529,0.723684
182,72,0.444444,0,0.361111,3.17903,0.666667,0.833333,0.71875
183,71,0.478873,0,0.338028,2.75014,0.676056,0.729167,0.708333
184,67,0.477612,0.0149254,0.343284,2.91766,0.701493,0.659574,0.647887
185,57,0.45614,0,0.403509,2.68323,0.719298,0.829268,0.58209
186,63,0.428571,0,0.444444,2.93603,0.587302,0.891892,0.666667
187,66,0.515152,0,0.393939,3.32516,0.621212,0.756098,0.634921
188,73,0.506849,0.0136986,0.232877,3.20703,0.657534,0.895833,0.787879
189,58,0.517241,0,0.396552,3.33914,0.724138,0.857143,0.684932
190,63,0.444444,0.031746,0.380952,2.64527,0.650794,0.853659,0.706897
191,69,0.521739,0.0434783,0.449275,3.11086,0.681159,0.829787,0.730159
192,78,0.435897,0.0128205,0.371795,3.28554,0.628205,0.897959,0.710145
193,73,0.493151,0.0136986,0.383562,2.85219,0.753425,0.981818,0.794872
194,63,0.47619,0.015873,0.349206,3.00594,0.809524,0.705882,0.767123
195,75,0.426667,0.0133333,0.253333,2.7616,0.586667,0.818182,0.698413
196,70,0.385714,0.0142857,0.342857,2.97861,0.642857,0.711111,0.573333
197,68,0.338235,0.0147059,0.191176,2.9214,0.602941,0.780488,0.642857
198,68,0.426471,0,0.264706,2.7434,0.588235,0.9,0.573529
199,67,0.492537,0.0149254,0.343284,3.33983,0.686567,0.76087,0.588235
200,65,0.369231,0.0153846,0.307692,3.0745,0.661538,0.674419,0.58209
201,68,0.455882,0.0147059,0.205882,2.75646,0.558824,0.763158,0.492308
202,57,0.438596,0,0.298246,2.66901,0.649123,0.675676,0.529412
203,65,0.461538,0,0.384615,2.89165,0.584615,0.736842,0.666667
204,49,0.489796,0.0204082,0.408163,3.21157,0.755102,0.810811,0.615385
205,59,0.355932,0.0169492,0.40678,2.58727,0.627119,0.783784,0.755102
206,58,0.310345,0.0172414,0.448276,2.66513,0.689655,0.75,0.694915
207,59,0.474576,0.0169492,0.508475,3.29377,0.644068,0.684211,0.62069
208,59,0.440678,0,0.423729,2.61966,0.59322,0.742857,0.508475
209,64,0.453125,0,0.5625,2.91569,0.5625,0.694444,0.542373
210,51,0.529412,0,0.490196,3.07242,0.784314,0.825,0.6875
211,63,0.507937,0,0.492063,2.8238,0.634921,0.75,0.745098
212,62,0.483871,0,0.403226,2.6189,0.693548,0.72093,0.68254
213,54,0.444444,0.0185185,0.388889,3.60187,0.796296,0.790698,0.677419
214,66,0.590909,0.030303,0.484848,2.64763,0.606061,0.775,0.703704
215,47,0.489362,0.0212766,0.510638,3.06368,0.829787,0.74359,0.590909
216,62,0.5,0.016129,0.483871,2.8911,0.612903,0.736842,0.765957
217,64,0.4375,0,0.34375,2.58037,0.6875,0.795455,0.725806
218,62,0.451613,0.016129,0.354839,2.58077,0.693548,0.767442,0.6875
219,61,0.459016,0,0.42623,2.65733,0.672131,0.780488,0.725806
220,57,0.421053,0,0.385965,2.57916,0.736842,0.880952,0.737705
221,55,0.418182,0.0181818,0.4,2.86635,0.818182,0.977778,0.877193
222,58,0.517241,0,0.431034,2.63059,0.775862,0.977778,0.836364
223,66,0.409091,0.0151515,0.287879,2.67666,0.712121,0.93617,0.793103
224,66,0.515152,0.0151515,0.5,2.71226,0.69697,0.978261,0.757576
225,54,0.518519,0.0185185,0.425926,2.93193,0.759259,0.95122,0.772727
226,62,0.451613,0.0322581,0.419355,3.40885,0.693548,0.906977,0.777778
227,58,0.551724,0,0.431034,2.59245,0.706897,0.97561,0.725806
228,58,0.431034,0.0344828,0.413793,3.84992,0.706897,0.829268,0.62069
229,72,0.430556,0.0277778,0.458333,2.67925,0.611111,0.931818,0.775862
230,69,0.362319,0,0.376812,2.72621,0.710145,0.897959,0.736111
231,73,0.438356,0,0.342466,3.14739,0.712329,0.826923,0.73913
232,69,0.391304,0,0.362319,3.1729,0.724638,0.94,0.671233
233,58,0.482759,0,0.413793,2.58858,0.827586,0.875,0.768116
234,64,0.515625,0.015625,0.34375,3.2632,0.734375,0.851064,0.862069
235,60,0.466667,0,0.316667,3.33023,0.816667,0.918367,0.78125
236,67,0.358209,0.0149254,0.328358,2.95799,0.671642,0.888889,0.766667
237,56,0.5,0,0.535714,2.89043,0.767857,1,0.716418
238,62,0.5,0,0.403226,2.64076,0.693548,0.930233,0.839286
239,62,0.387097,0,0.322581,2.88228,0.725806,0.866667,0.693548
240,68,0.426471,0.0147059,0.279412,3.00333,0.691176,0.829787,0.806452
241,73,0.342466,0,0.39726,2.80059,0.712329,0.846154,0.735294
242,80,0.4125,0,0.325,3.00102,0.725,0.862069,0.849315
243,63,0.47619,0,0.333333,2.77799,0.857143,1,0.6875
244,64,0.515625,0,0.359375,2.76961,0.703125,0.955556,0.746032
245,65,0.446154,0,0.353846,2.93681,0.738462,0.9375,0.78125
246,69,0.463768,0,0.275362,5.03734,0.724638,0.92,0.769231
247,66,0.439394,0,0.333333,3.28009,0.833333,0.945455,0.84058
248,77,0.545455,0,0.337662,3.13416,0.714286,0.963636,0.848485
249,62,0.435484,0,0.225806,3.02599,0.774194,0.9375,0.714286
250,68,0.485294,0,0.294118,3.06533,0.676471,0.847826,0.774194
251,66,0.545455,0,0.348485,3.17637,0.69697,0.934783,0.764706
252,58,0.568966,0,0.362069,2.73032,0.844828,0.959184,0.80303
253,56,0.482143,0,0.392857,3.37096,0.75,0.880952,0.793103
254,70,0.514286,0,0.371429,3.49452,0.671429,0.87234,0.839286
