image_number,evaluation_1,evaluation_2_1,evaluation_2_2,evaluation_2_3,evaluation_3,evaluation_4,evaluation_5,evaluation_6
1,603,0.87728,0.144279,0.706468,2.3136,0.904762,0.960526,0.913043
2,576,0.897569,0.154514,0.729167,2.24061,0.795699,0.932432,0.892857
3,578,0.887543,0.141869,0.717993,2.49626,0.865169,0.987013,0.827957
4,588,0.858844,0.14966,0.702381,2.23568,0.888889,0.9875,0.955056
5,590,0.862712,0.140678,0.725424,2.45268,0.897727,0.987342,0.955556
6,572,0.914336,0.13986,0.704545,2.3527,0.863636,0.960526,0.886364
7,588,0.908163,0.156463,0.719388,2.29516,0.852273,0.973333,0.863636
8,566,0.874558,0.130742,0.715548,2.13436,0.902439,0.972973,0.897727
9,589,0.882852,0.14601,0.709677,2.26073,0.797753,0.971831,0.865854
10,582,0.886598,0.147766,0.71134,2.3108,0.860465,0.959459,0.853933
11,581,0.891566,0.156627,0.712565,2.45811,0.776596,0.972603,0.883721
12,562,0.877224,0.156584,0.720641,2.30319,0.916667,0.948052,0.904255
13,587,0.890971,0.141397,0.703578,2.4097,0.808989,0.944444,0.892857
14,586,0.894198,0.150171,0.715017,2.40902,0.876404,0.961538,0.921348
15,569,0.899824,0.14587,0.711775,2.48535,0.811765,0.971014,0.808989
16,567,0.895944,0.165785,0.73545,2.68469,0.876543,0.971831,0.870588
17,573,0.883072,0.13438,0.701571,2.12845,0.821429,1,0.876543
18,593,0.888702,0.136594,0.716695,2.4714,0.831461,0.972973,0.916667
19,575,0.892174,0.147826,0.735652,1.87079,0.857143,1,0.831461
20,593,0.868465,0.13828,0.701518,2.45819,0.836957,0.987013,0.904762
21,577,0.883882,0.149047,0.724437,2.46991,0.898876,0.9875,0.902174
22,603,0.872305,0.150912,0.696517,2.50823,0.831579,0.924051,0.876404
23,578,0.885813,0.150519,0.695502,1.90091,0.905882,0.922078,0.789474
24,572,0.902098,0.13986,0.723776,2.46041,0.762887,0.932432,0.929412
25,570,0.914035,0.150877,0.722807,2.36824,0.91358,0.959459,0.845361
26,582,0.883162,0.156357,0.706186,2.47368,0.76087,0.985714,0.876543
27,571,0.882662,0.140105,0.725044,2.25631,0.809524,0.955882,0.804348
28,587,0.892675,0.165247,0.717206,1.90908,0.813953,0.928571,0.833333
29,580,0.9,0.153448,0.732759,2.12958,0.860465,0.932432,0.872093
30,589,0.879457,0.157895,0.72326,2.79288,0.833333,0.9625,0.906977
31,601,0.881864,0.166389,0.712146,2.26092,0.909091,0.85,0.864583
32,597,0.877722,0.150754,0.718593,2.5085,0.829545,0.890411,0.852273
33,580,0.875862,0.165517,0.722414,2.42193,0.808989,0.930556,0.897727
34,592,0.881757,0.133446,0.716216,1.95826,0.85,0.970588,0.775281
35,583,0.888508,0.149228,0.732419,2.60667,0.767442,0.954545,0.8125
36,597,0.872697,0.128978,0.696817,3.28197,0.787234,1,0.918605
37,589,0.881154,0.144312,0.709677,2.07937,0.852273,0.96,0.808511
38,588,0.869048,0.170068,0.712585,2.02376,0.808989,0.958333,0.840909
39,584,0.881849,0.155822,0.707192,2.35682,0.862069,0.96,0.820225
40,591,0.871404,0.15736,0.724196,2.31284,0.813187,0.986486,0.896552
41,612,0.874183,0.135621,0.728758,2.28805,0.833333,0.946667,0.846154
42,567,0.881834,0.146384,0.749559,2.23986,0.872093,0.973333,0.911111
43,601,0.873544,0.143095,0.712146,2.7682,0.782609,0.958333,0.837209
44,602,0.906977,0.172757,0.754153,2.68631,0.814433,0.962025,0.869565
45,577,0.904679,0.152513,0.745234,2.04477,0.879518,0.986301,0.845361
46,592,0.893581,0.140203,0.743243,2.79136,0.804348,1,0.891566
47,616,0.899351,0.141234,0.762987,2.42658,0.833333,0.933333,0.826087
48,603,0.893864,0.144279,0.737977,2.27983,0.852273,0.933333,0.8
49,600,0.893333,0.175,0.738333,2.35463,0.862069,0.96,0.897727
50,585,0.895726,0.147009,0.723077,2.03836,0.819277,0.970588,0.862069
51,577,0.883882,0.155979,0.69844,2.75168,0.8375,0.955224,0.807229
52,597,0.882747,0.149079,0.675042,2.71304,0.784091,0.971014,0.8625
53,583,0.881647,0.152659,0.73928,2.38761,0.816092,0.943662,0.840909
54,599,0.8798,0.15192,0.746244,1.94778,0.802326,0.971014,0.816092
55,590,0.905085,0.142373,0.761017,2.27654,0.825581,1,0.883721
56,592,0.89527,0.163851,0.773649,2.36327,0.8,0.955882,0.802326
57,602,0.883721,0.139535,0.740864,1.95602,0.818182,0.986111,0.894118
58,586,0.894198,0.156997,0.767918,2.24776,0.858824,0.986301,0.875
59,598,0.891304,0.152174,0.752508,2.20597,0.804348,0.972973,0.882353
60,583,0.890223,0.173242,0.763293,2.46677,0.852632,0.950617,0.923913
61,590,0.883051,0.137288,0.777966,2.34414,0.875,0.974026,0.873684
62,609,0.850575,0.155993,0.722496,2.21919,0.827586,0.944444,0.886364
63,593,0.903879,0.160202,0.762226,2.41848,0.761364,0.940299,0.793103
64,576,0.895833,0.15625,0.788194,2.49707,0.891566,0.932432,0.818182
65,575,0.906087,0.156522,0.76,2.2091,0.880952,0.945946,0.951807
66,598,0.862876,0.14214,0.749164,2.30006,0.845238,0.943662,0.880952
