image_number,evaluation_1,evaluation_2_1,evaluation_2_2,evaluation_2_3,evaluation_3,evaluation_4,evaluation_5,evaluation_6
1,603,0.87728,0.144279,0.706468,215.192,0.704104,0.966258,0.667406
2,576,0.897569,0.154514,0.729167,217.06,0.710526,0.935185,0.632829
3,578,0.887543,0.141869,0.717993,200.182,0.726477,0.939759,0.66886
4,588,0.858844,0.14966,0.702381,210.615,0.712743,0.939394,0.649891
5,590,0.862712,0.140678,0.725424,212.411,0.704989,0.963077,0.643629
6,572,0.914336,0.13986,0.704545,219.284,0.732584,0.96319,0.67462
7,588,0.908163,0.156463,0.719388,198.678,0.708333,0.95356,0.68764
8,566,0.874558,0.130742,0.715548,193.002,0.725,0.959248,0.655702
9,589,0.882852,0.14601,0.709677,192.227,0.702174,0.947368,0.665909
10,582,0.886598,0.147766,0.71134,192.784,0.709251,0.956522,0.671739
11,581,0.891566,0.156627,0.712565,194.43,0.720879,0.929878,0.662996
12,562,0.877224,0.156584,0.720641,193.438,0.746067,0.945783,0.657143
13,587,0.890971,0.141397,0.703578,197.861,0.716738,0.964072,0.68764
14,586,0.894198,0.150171,0.715017,193.169,0.733189,0.95858,0.658798
15,569,0.899824,0.14587,0.711775,193.423,0.714932,0.952532,0.616052
16,567,0.895944,0.165785,0.73545,192.972,0.711061,0.939683,0.647059
17,573,0.883072,0.13438,0.701571,191.48,0.705357,0.943038,0.647856
18,593,0.888702,0.136594,0.716695,196.533,0.67094,0.949045,0.642857
19,575,0.892174,0.147826,0.735652,195.533,0.713004,0.971698,0.649573
20,593,0.868465,0.13828,0.701518,198.61,0.704497,0.93617,0.679372
21,577,0.883882,0.149047,0.724437,192.54,0.754425,0.947214,0.657388
22,603,0.872305,0.150912,0.696517,186.049,0.694093,0.957447,0.661504
23,578,0.885813,0.150519,0.695502,180.737,0.731707,0.960606,0.635021
24,572,0.902098,0.13986,0.723776,181.223,0.721239,0.941718,0.660754
25,570,0.914035,0.150877,0.722807,183.083,0.713318,0.946203,0.628319
26,582,0.883162,0.156357,0.706186,182.795,0.679912,0.948052,0.645598
27,571,0.882662,0.140105,0.725044,180.107,0.674779,0.947541,0.600442
28,587,0.892675,0.165247,0.717206,183.346,0.665944,0.95114,0.623894
29,580,0.9,0.153448,0.732759,181.76,0.682819,0.951613,0.613883
30,589,0.879457,0.157895,0.72326,180.509,0.711538,0.963964,0.665198
31,601,0.881864,0.166389,0.712146,183.259,0.711253,0.961194,0.647436
32,597,0.877722,0.150754,0.718593,182.155,0.688421,0.969419,0.626327
33,580,0.875862,0.165517,0.722414,184.117,0.735683,0.937126,0.644211
34,592,0.881757,0.133446,0.716216,182.035,0.707265,0.954683,0.662996
35,583,0.888508,0.149228,0.732419,182.316,0.700873,0.956386,0.632479
36,597,0.872697,0.128978,0.696817,182.736,0.710359,0.940476,0.676856
37,589,0.881154,0.144312,0.709677,179.827,0.704989,0.916923,0.61945
38,588,0.869048,0.170068,0.712585,188.968,0.696774,0.959877,0.650759
39,584,0.881849,0.155822,0.707192,187.992,0.697826,0.934579,0.63871
40,591,0.871404,0.15736,0.724196,186.647,0.709052,0.924012,0.641304
41,612,0.874183,0.135621,0.728758,182.149,0.691511,0.964072,0.659483
42,567,0.881834,0.146384,0.749559,180.415,0.751678,0.949405,0.650104
43,601,0.873544,0.143095,0.712146,179.69,0.698947,0.963855,0.693512
44,602,0.906977,0.172757,0.754153,179.899,0.72766,0.900585,0.673684
45,577,0.904679,0.152513,0.745234,183.576,0.754505,0.976119,0.674468
46,592,0.893581,0.140203,0.743243,180.739,0.700214,0.960245,0.689189
47,616,0.899351,0.141234,0.762987,184.453,0.652542,0.918831,0.595289
48,603,0.893864,0.144279,0.737977,183.865,0.668076,0.924051,0.572034
49,600,0.893333,0.175,0.738333,181.72,0.707368,0.943452,0.642706
50,585,0.895726,0.147009,0.723077,183.248,0.707424,0.938272,0.621053
51,577,0.883882,0.155979,0.69844,181.267,0.702222,0.939873,0.613537
52,597,0.882747,0.149079,0.675042,184.744,0.678723,0.937304,0.635556
53,583,0.881647,0.152659,0.73928,180.567,0.718681,0.954128,0.648936
54,599,0.8798,0.15192,0.746244,181.287,0.67735,0.9653,0.641758
55,590,0.905085,0.142373,0.761017,181.508,0.723769,0.928994,0.647436
56,592,0.89527,0.163851,0.773649,180.955,0.700214,0.954128,0.640257
57,602,0.883721,0.139535,0.740864,182.813,0.710084,0.943787,0.685225
58,586,0.894198,0.156997,0.767918,184.942,0.733624,0.940476,0.630252
59,598,0.891304,0.152174,0.752508,184.371,0.703625,0.939394,0.637555
60,583,0.890223,0.173242,0.763293,182.685,0.748908,0.915452,0.626866
61,590,0.883051,0.137288,0.777966,182.665,0.697624,0.931889,0.626638
