image_number,evaluation_1,evaluation_2_1,evaluation_2_2,evaluation_2_3,evaluation_3,evaluation_4,evaluation_5,evaluation_6
1,603,0.87728,0.144279,0.706468,34.3218,0.793578,0.971098,0.755656
2,576,0.897569,0.154514,0.729167,33.2623,0.794643,0.94382,0.766055
3,578,0.887543,0.141869,0.717993,37.8415,0.842342,0.967914,0.794643
4,588,0.858844,0.14966,0.702381,32.8141,0.798165,0.977011,0.761261
5,590,0.862712,0.140678,0.725424,37.4525,0.805556,0.965517,0.766055
6,572,0.914336,0.13986,0.704545,34.2768,0.819905,0.947977,0.75
7,588,0.908163,0.156463,0.719388,33.1535,0.775701,0.987952,0.777251
8,566,0.874558,0.130742,0.715548,33.0325,0.796117,0.993902,0.742991
9,589,0.882852,0.14601,0.709677,32.4105,0.773148,0.982036,0.757282
10,582,0.886598,0.147766,0.71134,31.8855,0.800926,0.953757,0.75
11,581,0.891566,0.156627,0.712565,31.723,0.797235,0.982659,0.805556
12,562,0.877224,0.156584,0.720641,29.9904,0.866972,0.968254,0.820276
13,587,0.890971,0.141397,0.703578,30.2397,0.826484,0.961326,0.770642
14,586,0.894198,0.150171,0.715017,29.4168,0.84507,0.977778,0.794521
15,569,0.899824,0.14587,0.711775,31.716,0.813725,0.957831,0.751174
16,567,0.895944,0.165785,0.73545,31.4645,0.789474,0.975758,0.77451
17,573,0.883072,0.13438,0.701571,31.331,0.811594,0.988095,0.799043
18,593,0.888702,0.136594,0.716695,31.9138,0.75463,0.981595,0.7343
19,575,0.892174,0.147826,0.735652,31.7547,0.796296,0.965116,0.75463
20,593,0.868465,0.13828,0.701518,30.8768,0.786364,0.947977,0.768519
21,577,0.883882,0.149047,0.724437,30.4965,0.839623,0.966292,0.740909
22,603,0.872305,0.150912,0.696517,30.9584,0.775785,0.959538,0.768868
23,578,0.885813,0.150519,0.695502,30.9761,0.795455,0.948571,0.748879
24,572,0.902098,0.13986,0.723776,33.066,0.802752,0.965714,0.772727
25,570,0.914035,0.150877,0.722807,31.3849,0.850746,0.97076,0.752294
26,582,0.883162,0.156357,0.706186,31.74,0.751152,0.957055,0.766169
27,571,0.882662,0.140105,0.725044,30.8145,0.770642,0.916667,0.705069
28,587,0.892675,0.165247,0.717206,29.0653,0.748837,0.962733,0.715596
29,580,0.9,0.153448,0.732759,29.3501,0.804545,0.977401,0.786047
30,589,0.879457,0.157895,0.72326,31.4271,0.802632,0.961749,0.804545
31,601,0.881864,0.166389,0.712146,30.9523,0.809091,0.960674,0.754386
32,597,0.877722,0.150754,0.718593,31.3896,0.756757,0.940476,0.718182
33,580,0.875862,0.165517,0.722414,30.1246,0.7713,0.953488,0.743243
34,592,0.881757,0.133446,0.716216,29.7952,0.81106,0.982955,0.780269
35,583,0.888508,0.149228,0.732419,30.7361,0.775229,0.946746,0.737327
36,597,0.872697,0.128978,0.696817,30.9434,0.807175,0.961111,0.807339
37,589,0.881154,0.144312,0.709677,30.4721,0.779817,0.958824,0.726457
38,588,0.869048,0.170068,0.712585,30.4529,0.783186,0.971751,0.761468
39,584,0.881849,0.155822,0.707192,30.9001,0.820276,0.977528,0.747788
40,591,0.871404,0.15736,0.724196,30.3422,0.791111,0.977528,0.788018
41,612,0.874183,0.135621,0.728758,30.1442,0.772152,0.978142,0.786667
42,567,0.881834,0.146384,0.749559,30.5453,0.851675,0.960674,0.725738
43,601,0.873544,0.143095,0.712146,29.8993,0.767544,0.954286,0.77512
44,602,0.906977,0.172757,0.754153,30.2241,0.785088,0.972067,0.745614
45,577,0.904679,0.152513,0.745234,30.1375,0.849057,0.988889,0.79386
46,592,0.893581,0.140203,0.743243,31.1655,0.78125,0.988571,0.783019
47,616,0.899351,0.141234,0.762987,29.9276,0.736364,0.932099,0.691964
48,603,0.893864,0.144279,0.737977,29.8716,0.731278,0.963855,0.704545
49,600,0.893333,0.175,0.738333,29.2087,0.772926,0.99435,0.76652
50,585,0.895726,0.147009,0.723077,31.5214,0.768889,0.947977,0.724891
51,577,0.883882,0.155979,0.69844,30.5472,0.837321,0.925714,0.711111
52,597,0.882747,0.149079,0.675042,29.245,0.7713,0.959302,0.746411
53,583,0.881647,0.152659,0.73928,30.1626,0.812785,0.955056,0.757848
54,599,0.8798,0.15192,0.746244,30.5317,0.755556,0.958824,0.744292
55,590,0.905085,0.142373,0.761017,30.5319,0.780269,0.95977,0.764444
56,592,0.89527,0.163851,0.773649,30.9579,0.789238,0.982955,0.793722
57,602,0.883721,0.139535,0.740864,31.1161,0.820628,0.967213,0.766816
58,586,0.894198,0.156997,0.767918,30.4084,0.833333,0.955556,0.757848
59,598,0.891304,0.152174,0.752508,29.3971,0.773333,0.948276,0.773148
60,583,0.890223,0.173242,0.763293,29.4626,0.786667,0.943503,0.768889
61,590,0.883051,0.137288,0.777966,30.4747,0.806452,0.937143,0.728889
62,609,0.850575,0.155993,0.722496,29.5317,0.73991,0.957576,0.732719
63,593,0.903879,0.160202,0.762226,29.4014,0.751111,0.923077,0.713004
64,576,0.895833,0.15625,0.788194,29.2166,0.791667,0.959064,0.728889
65,575,0.906087,0.156522,0.76,30.1181,0.803828,0.964286,0.74537
66,598,0.862876,0.14214,0.749164,29.5661,0.740741,0.96875,0.712919
67,596,0.822148,0.14094,0.706376,30.6725,0.747748,0.939759,0.703704
68,593,0.890388,0.168634,0.74199,29.8706,0.810427,0.959064,0.738739
69,609,0.881773,0.139573,0.732348,30.1335,0.703196,0.928571,0.696682
70,575,0.907826,0.156522,0.72,30.5697,0.751196,0.866242,0.6621
71,593,0.858347,0.139966,0.72344,30.1408,0.747748,0.807229,0.717703
72,570,0.898246,0.161404,0.754386,29.6407,0.75,0.950617,0.689189
73,586,0.885666,0.158703,0.721843,30.1085,0.734597,0.935484,0.675926
74,570,0.863158,0.15614,0.733333,30.6354,0.741463,0.894737,0.682464
75,589,0.864177,0.156197,0.704584,32.6306,0.6,0.844444,0.57561
76,584,0.914384,0.169521,0.748288,29.5608,0.642534,0.676056,0.582222
77,569,0.852373,0.140598,0.755712,30.4143,0.701835,0.869281,0.615385
78,603,0.893864,0.174129,0.708126,31.1721,0.634361,0.631944,0.568807
79,596,0.864094,0.151007,0.704698,30.175,0.657895,0.813333,0.585903
80,597,0.876047,0.162479,0.656616,29.3227,0.695067,0.812903,0.596491
81,583,0.881647,0.173242,0.680961,30.7444,0.673913,0.883871,0.600897
82,588,0.896259,0.144558,0.692177,30.5461,0.760369,0.872727,0.6
83,574,0.905923,0.162021,0.740418,30.1029,0.705357,0.791139,0.672811
84,579,0.903282,0.15544,0.75475,30.1429,0.715596,0.897436,0.602679
85,600,0.911667,0.15,0.766667,30.6719,0.662338,0.915033,0.642202
86,580,0.889655,0.148276,0.768966,29.0854,0.656109,0.786207,0.575758
87,573,0.900524,0.17103,0.750436,29.4276,0.641148,0.880597,0.561086
88,549,0.923497,0.154827,0.748634,30.1775,0.665,0.684211,0.535885
89,604,0.889073,0.162252,0.731788,29.964,0.634703,0.884892,0.63
90,568,0.908451,0.140845,0.705986,30.3386,0.730769,0.782895,0.634703
91,563,0.905861,0.179396,0.730018,29.7587,0.676056,0.826389,0.639423
92,588,0.889456,0.158163,0.707483,29.6309,0.689815,0.838926,0.610329
93,574,0.912892,0.156794,0.716028,30.207,0.666667,0.842466,0.606481
94,570,0.894737,0.163158,0.719298,30.9843,0.676991,0.816993,0.60274
95,577,0.896014,0.175043,0.733102,30.4045,0.740909,0.871166,0.654867
96,564,0.881206,0.159574,0.687943,30.4741,0.709091,0.891026,0.636364
