image_number,evaluation_1,evaluation_2_1,evaluation_2_2,evaluation_2_3,evaluation_3,evaluation_4,evaluation_5,evaluation_6
1,603,0.87728,0.144279,0.706468,12.9003,0.825871,0.939759,0.847341
2,576,0.897569,0.154514,0.729167,11.2417,0.842014,0.942268,0.81592
3,578,0.887543,0.141869,0.717993,13.3428,0.842561,0.950719,0.840278
4,588,0.858844,0.14966,0.702381,12.8203,0.828231,0.948665,0.846021
5,590,0.862712,0.140678,0.725424,13.5316,0.833898,0.928862,0.821429
6,572,0.914336,0.13986,0.704545,12.4866,0.839161,0.95625,0.832203
7,588,0.908163,0.156463,0.719388,16.4742,0.816327,0.952083,0.847902
8,566,0.874558,0.130742,0.715548,12.2745,0.848057,0.922917,0.818027
9,589,0.882852,0.14601,0.709677,12.5527,0.814941,0.84375,0.85159
10,582,0.886598,0.147766,0.71134,12.3407,0.853952,0.943662,0.825127
11,581,0.891566,0.156627,0.712565,12.0378,0.83821,0.932238,0.821306
12,562,0.877224,0.156584,0.720641,11.0618,0.859431,0.933747,0.824441
13,587,0.890971,0.141397,0.703578,13.8681,0.834753,0.942857,0.864769
14,586,0.894198,0.150171,0.715017,11.8533,0.837884,0.949084,0.822828
15,569,0.899824,0.14587,0.711775,10.7,0.836555,0.947479,0.817406
16,567,0.895944,0.165785,0.73545,10.7881,0.839506,0.920168,0.824253
17,573,0.883072,0.13438,0.701571,11.5723,0.834206,0.910042,0.821869
18,593,0.888702,0.136594,0.716695,11.5302,0.812816,0.950207,0.835951
19,575,0.892174,0.147826,0.735652,11.0543,0.848696,0.930328,0.822934
20,593,0.868465,0.13828,0.701518,11.2855,0.839798,0.937751,0.850435
21,577,0.883882,0.149047,0.724437,12.206,0.866551,0.942,0.849916
22,603,0.872305,0.150912,0.696517,13.3201,0.832504,0.934263,0.847487
23,578,0.885813,0.150519,0.695502,12.5075,0.83218,0.945946,0.791045
24,572,0.902098,0.13986,0.723776,11.1571,0.809441,0.928726,0.813149
25,570,0.914035,0.150877,0.722807,11.1718,0.812281,0.939525,0.821678
26,582,0.883162,0.156357,0.706186,14.4876,0.819588,0.937107,0.833333
27,571,0.882662,0.140105,0.725044,12.2531,0.823117,0.853191,0.802405
28,587,0.892675,0.165247,0.717206,13.2459,0.812606,0.926625,0.810858
29,580,0.9,0.153448,0.732759,11.1478,0.834483,0.93595,0.816014
30,589,0.879457,0.157895,0.72326,11.7045,0.826825,0.944559,0.839655
31,601,0.881864,0.166389,0.712146,12.0248,0.830283,0.937876,0.837012
32,597,0.877722,0.150754,0.718593,12.0024,0.839196,0.94012,0.821963
33,580,0.875862,0.165517,0.722414,11.5293,0.844828,0.932653,0.809045
34,592,0.881757,0.133446,0.716216,13.9076,0.819257,0.938144,0.824138
35,583,0.888508,0.149228,0.732419,12.3454,0.850772,0.925403,0.826014
36,597,0.872697,0.128978,0.696817,11.5623,0.830821,0.798387,0.859348
37,589,0.881154,0.144312,0.709677,13.5041,0.835314,0.943089,0.815745
38,588,0.869048,0.170068,0.712585,11.433,0.819728,0.950207,0.82343
39,584,0.881849,0.155822,0.707192,11.4328,0.828767,0.911157,0.823129
40,591,0.871404,0.15736,0.724196,19.2291,0.830795,0.953157,0.828767
41,612,0.874183,0.135621,0.728758,12.0048,0.821895,0.942346,0.852792
42,567,0.881834,0.146384,0.749559,12.1069,0.865961,0.947047,0.800654
43,601,0.873544,0.143095,0.712146,13.9977,0.810316,0.965092,0.858907
44,602,0.906977,0.172757,0.754153,11.5887,0.835548,0.940358,0.818636
45,577,0.904679,0.152513,0.745234,12.3398,0.861352,0.94165,0.822259
46,592,0.893581,0.140203,0.743243,11.7007,0.831081,0.939024,0.854419
47,616,0.899351,0.141234,0.762987,12.7613,0.782468,0.948133,0.787162
48,603,0.893864,0.144279,0.737977,11.8385,0.792703,0.956067,0.751623
49,600,0.893333,0.175,0.738333,11.8754,0.82,0.934959,0.802653
50,585,0.895726,0.147009,0.723077,12.153,0.85641,0.94012,0.826667
51,577,0.883882,0.155979,0.69844,12.1674,0.838821,0.907025,0.825641
52,597,0.882747,0.149079,0.675042,11.8276,0.81407,0.716049,0.845754
53,583,0.881647,0.152659,0.73928,11.1603,0.843911,0.932927,0.815745
54,599,0.8798,0.15192,0.746244,13.3147,0.816361,0.932515,0.819897
55,590,0.905085,0.142373,0.761017,11.2945,0.840678,0.919355,0.829716
56,592,0.89527,0.163851,0.773649,11.5658,0.831081,0.924797,0.840678
57,602,0.883721,0.139535,0.740864,11.258,0.842193,0.822485,0.846284
58,586,0.894198,0.156997,0.767918,11.7663,0.860068,0.890873,0.835548
59,598,0.891304,0.152174,0.752508,11.3014,0.816054,0.797131,0.8157
60,583,0.890223,0.173242,0.763293,10.9846,0.845626,0.93712,0.832776
61,590,0.883051,0.137288,0.777966,11.4601,0.825424,0.942505,0.828473
62,609,0.850575,0.155993,0.722496,12.1556,0.811166,0.898785,0.832203
63,593,0.903879,0.160202,0.762226,11.2586,0.794266,0.938429,0.802956
64,576,0.895833,0.15625,0.788194,10.8637,0.836806,0.923237,0.826307
65,575,0.906087,0.156522,0.76,11.0036,0.833043,0.933194,0.824653
66,598,0.862876,0.14214,0.749164,13.0787,0.79097,0.904863,0.834783
67,596,0.822148,0.14094,0.706376,12.3188,0.803691,0.864301,0.807692
68,593,0.890388,0.168634,0.74199,11.8157,0.807757,0.926931,0.817114
69,609,0.881773,0.139573,0.732348,11.4274,0.781609,0.953782,0.79258
70,575,0.907826,0.156522,0.72,10.7088,0.82087,0.908898,0.779967
71,593,0.858347,0.139966,0.72344,11.2045,0.785835,0.896996,0.808696
72,570,0.898246,0.161404,0.754386,11.2197,0.808772,0.887202,0.790894
73,586,0.885666,0.158703,0.721843,10.9025,0.786689,0.796095,0.803509
74,570,0.863158,0.15614,0.733333,10.2797,0.803509,0.895197,0.766212
75,589,0.864177,0.156197,0.704584,10.6527,0.726655,0.600467,0.719298
76,584,0.914384,0.169521,0.748288,12.0659,0.787671,0.808696,0.765705
77,569,0.852373,0.140598,0.755712,11.6405,0.794376,0.679204,0.72774
