image_number,evaluation_1,evaluation_2_1,evaluation_2_2,evaluation_2_3,evaluation_3,evaluation_4,evaluation_5,evaluation_6
1,603,0.87728,0.144279,0.706468,9.13346,0.570481,0.825581,0.535163
2,576,0.897569,0.154514,0.729167,9.77657,0.614583,0.844633,0.525705
3,578,0.887543,0.141869,0.717993,10.8428,0.603806,0.825215,0.545139
4,588,0.858844,0.14966,0.702381,11.0666,0.579932,0.859238,0.531142
5,590,0.862712,0.140678,0.725424,10.6459,0.569492,0.815476,0.508503
6,572,0.914336,0.13986,0.704545,10.1374,0.585664,0.883582,0.532203
7,588,0.908163,0.156463,0.719388,14.9464,0.569728,0.838806,0.520979
8,566,0.874558,0.130742,0.715548,11.6954,0.570671,0.848297,0.517007
9,589,0.882852,0.14601,0.709677,12.0785,0.584041,0.857558,0.54947
10,582,0.886598,0.147766,0.71134,12.4709,0.613402,0.834734,0.521222
11,581,0.891566,0.156627,0.712565,11.424,0.592083,0.828488,0.546392
12,562,0.877224,0.156584,0.720641,9.74595,0.624555,0.834758,0.526678
13,587,0.890971,0.141397,0.703578,8.35078,0.592845,0.821839,0.567616
14,586,0.894198,0.150171,0.715017,12.8873,0.583618,0.809942,0.522998
15,569,0.899824,0.14587,0.711775,9.75489,0.594025,0.83432,0.517065
16,567,0.895944,0.165785,0.73545,7.98286,0.592593,0.842262,0.54833
17,573,0.883072,0.13438,0.701571,10.1923,0.556719,0.824451,0.5097
18,593,0.888702,0.136594,0.716695,9.07893,0.561551,0.78979,0.467714
19,575,0.892174,0.147826,0.735652,8.30101,0.603478,0.827089,0.521079
20,593,0.868465,0.13828,0.701518,11.1357,0.591906,0.820513,0.518261
21,577,0.883882,0.149047,0.724437,8.2845,0.627383,0.820442,0.543002
22,603,0.872305,0.150912,0.696517,10.6736,0.595357,0.818942,0.526863
23,578,0.885813,0.150519,0.695502,8.33005,0.583045,0.839763,0.500829
24,572,0.902098,0.13986,0.723776,9.26215,0.596154,0.809384,0.515571
25,570,0.914035,0.150877,0.722807,11.4456,0.601754,0.827988,0.536713
26,582,0.883162,0.156357,0.706186,9.97695,0.580756,0.828402,0.524561
27,571,0.882662,0.140105,0.725044,8.39862,0.579685,0.809668,0.47079
28,587,0.892675,0.165247,0.717206,8.41165,0.55707,0.810398,0.488616
29,580,0.9,0.153448,0.732759,10.0578,0.551724,0.80625,0.487223
30,589,0.879457,0.157895,0.72326,8.39922,0.59253,0.839542,0.52931
31,601,0.881864,0.166389,0.712146,9.76285,0.59401,0.834734,0.528014
32,597,0.877722,0.150754,0.718593,11.0537,0.59464,0.805634,0.522463
33,580,0.875862,0.165517,0.722414,8.23192,0.582759,0.85503,0.524288
34,592,0.881757,0.133446,0.716216,9.34686,0.567568,0.845238,0.527586
35,583,0.888508,0.149228,0.732419,8.39672,0.593482,0.809249,0.516892
36,597,0.872697,0.128978,0.696817,11.1595,0.572864,0.842105,0.530017
37,589,0.881154,0.144312,0.709677,8.17892,0.570458,0.827381,0.500838
38,588,0.869048,0.170068,0.712585,10.574,0.576531,0.831858,0.511036
39,584,0.881849,0.155822,0.707192,8.45267,0.563356,0.826748,0.491497
40,591,0.871404,0.15736,0.724196,8.99352,0.605753,0.826816,0.547945
41,612,0.874183,0.135621,0.728758,10.0128,0.568627,0.841954,0.524535
42,567,0.881834,0.146384,0.749559,8.55716,0.636684,0.814404,0.531046
43,601,0.873544,0.143095,0.712146,10.5378,0.587354,0.835694,0.530864
44,602,0.906977,0.172757,0.754153,8.4635,0.589701,0.833803,0.545757
45,577,0.904679,0.152513,0.745234,8.66641,0.629116,0.84022,0.54485
46,592,0.893581,0.140203,0.743243,8.35517,0.597973,0.853107,0.542461
47,616,0.899351,0.141234,0.762987,9.81605,0.530844,0.792049,0.478041
48,603,0.893864,0.144279,0.737977,10.2134,0.545605,0.796353,0.454545
49,600,0.893333,0.175,0.738333,8.5381,0.581667,0.82235,0.507463
50,585,0.895726,0.147009,0.723077,8.84671,0.584615,0.807018,0.493333
51,577,0.883882,0.155979,0.69844,10.2062,0.571924,0.809091,0.482051
52,597,0.882747,0.149079,0.675042,8.50063,0.569514,0.785294,0.500867
53,583,0.881647,0.152659,0.73928,11.0305,0.57976,0.83432,0.502513
54,599,0.8798,0.15192,0.746244,8.62868,0.559265,0.826866,0.506003
