image_number,evaluation_1,evaluation_2_1,evaluation_2_2,evaluation_2_3,evaluation_3,evaluation_4,evaluation_5,evaluation_6
1,395,0.794937,0.118987,0.594937,10.9157,0.597222,0.72093,0.545455
2,430,0.790698,0.109302,0.588372,14.2086,0.546875,0.971429,0.458333
3,385,0.802597,0.119481,0.620779,12.1535,0.5,0.666667,0.609375
4,410,0.792683,0.121951,0.592683,12.903,0.661972,0.93617,0.602564
5,420,0.790476,0.128571,0.609524,12.3111,0.569444,0.609756,0.549296
6,405,0.8,0.14321,0.590123,12.6361,0.554217,0.956522,0.569444
7,424,0.79717,0.101415,0.589623,15.0292,0.657895,0.9,0.53012
8,392,0.806122,0.122449,0.579082,12.3829,0.617647,0.928571,0.565789
9,423,0.801418,0.144208,0.583924,14.0312,0.60274,0.613636,0.588235
10,418,0.818182,0.141148,0.593301,13.6091,0.584416,0.777778,0.589041
11,407,0.813268,0.120393,0.628993,13.0296,0.628571,1,0.571429
12,404,0.79703,0.121287,0.643564,17.0014,0.518072,0.837209,0.557143
13,406,0.793103,0.133005,0.576355,11.3374,0.657534,0.979167,0.578313
14,438,0.796804,0.118721,0.605023,12.8138,0.55814,0.854167,0.534247
15,409,0.819071,0.132029,0.611247,11.9563,0.633803,0.8,0.569767
16,399,0.786967,0.100251,0.581454,13.0513,0.639344,0.974359,0.535211
17,393,0.854962,0.111959,0.62341,11.4091,0.550725,0.815789,0.557377
18,419,0.792363,0.112172,0.596659,11.9923,0.65625,0.714286,0.623188
19,417,0.796163,0.100719,0.604317,11.6217,0.602941,0.878049,0.59375
20,425,0.785882,0.141176,0.585882,13.8424,0.66129,0.902439,0.573529
21,404,0.804455,0.128713,0.611386,16.4605,0.594203,0.731707,0.548387
22,402,0.818408,0.114428,0.579602,13.4058,0.652174,0.666667,0.550725
23,423,0.787234,0.106383,0.56974,11.7784,0.6,0.866667,0.681159
24,396,0.808081,0.136364,0.643939,14.2181,0.643836,0.808511,0.56
25,421,0.748219,0.12114,0.586698,18.4207,0.6,0.688889,0.534247
26,404,0.811881,0.111386,0.60396,13.2716,0.643836,0.744681,0.573333
27,416,0.757212,0.108173,0.596154,15.684,0.661972,0.744681,0.671233
28,425,0.785882,0.112941,0.569412,14.0022,0.575342,0.809524,0.549296
29,391,0.769821,0.127877,0.603581,11.2297,0.544304,0.674419,0.589041
30,413,0.823245,0.130751,0.605327,12.8729,0.644737,0.918367,0.620253
31,413,0.835351,0.121065,0.622276,13.7662,0.578947,1,0.539474
32,393,0.78117,0.129771,0.592875,12.3121,0.594937,0.87234,0.578947
33,415,0.785542,0.0915663,0.595181,12.9646,0.607143,0.627451,0.556962
