image_number,evaluation_1,evaluation_2_1,evaluation_2_2,evaluation_2_3,evaluation_3,evaluation_4,evaluation_5,evaluation_6
1,395,0.794937,0.118987,0.594937,234.424,0.606349,0.712042,0.47561
2,430,0.790698,0.109302,0.588372,217.087,0.595166,0.959391,0.549206
3,385,0.802597,0.119481,0.620779,213.237,0.64527,0.942408,0.513595
4,410,0.792683,0.121951,0.592683,219.951,0.61465,0.937824,0.540541
5,420,0.790476,0.128571,0.609524,227.287,0.606154,0.86802,0.522293
6,405,0.8,0.14321,0.590123,215.378,0.630435,0.802956,0.526154
7,424,0.79717,0.101415,0.589623,216.945,0.643505,0.915493,0.571429
8,392,0.806122,0.122449,0.579082,210.984,0.682759,0.843434,0.510574
9,423,0.801418,0.144208,0.583924,209.023,0.59375,0.947368,0.544828
10,418,0.818182,0.141148,0.593301,210.854,0.599398,0.944724,0.571875
11,407,0.813268,0.120393,0.628993,208.706,0.649518,0.940594,0.51506
12,404,0.79703,0.121287,0.643564,209.211,0.581994,0.939227,0.514469
13,406,0.793103,0.133005,0.576355,212.701,0.614148,0.958115,0.549839
14,438,0.796804,0.118721,0.605023,212.203,0.612426,0.951691,0.543408
15,409,0.819071,0.132029,0.611247,187.377,0.674194,0.909091,0.56213
16,399,0.786967,0.100251,0.581454,187.549,0.625828,0.84127,0.541935
17,393,0.854962,0.111959,0.62341,191.988,0.615132,0.951872,0.543046
18,419,0.792363,0.112172,0.596659,213.167,0.590062,0.810526,0.496711
19,417,0.796163,0.100719,0.604317,218.764,0.61442,0.887755,0.540373
20,425,0.785882,0.141176,0.585882,213.141,0.619497,0.817259,0.526646
21,404,0.804455,0.128713,0.611386,207.206,0.616883,0.915789,0.534591
22,402,0.818408,0.114428,0.579602,210.234,0.637821,0.949749,0.577922
23,423,0.787234,0.106383,0.56974,208.872,0.638298,0.942857,0.573718
24,396,0.808081,0.136364,0.643939,208.41,0.654485,0.964467,0.513678
25,421,0.748219,0.12114,0.586698,211.509,0.580547,0.963351,0.551495
26,404,0.811881,0.111386,0.60396,208.186,0.640777,0.934343,0.510638
27,416,0.757212,0.108173,0.596154,209.258,0.594937,0.957447,0.527508
28,425,0.785882,0.112941,0.569412,213.442,0.580745,0.973262,0.518987
29,391,0.769821,0.127877,0.603581,210.612,0.603896,0.930108,0.487578
30,413,0.823245,0.130751,0.605327,213.699,0.617089,0.933333,0.532468
31,413,0.835351,0.121065,0.622276,218.584,0.638629,0.946341,0.547468
32,393,0.78117,0.129771,0.592875,210.682,0.666667,0.935,0.510903
33,415,0.785542,0.0915663,0.595181,208.903,0.589506,0.968586,0.573333
34,423,0.806147,0.125296,0.602837,209.634,0.625,0.805,0.521605
35,413,0.835351,0.118644,0.661017,212.804,0.632716,0.814634,0.534375
36,408,0.762255,0.142157,0.629902,209.953,0.617089,0.805128,0.527778
37,404,0.831683,0.128713,0.581683,208.409,0.639871,0.939698,0.522152
38,409,0.806846,0.117359,0.591687,210.608,0.655949,0.75,0.55627
39,414,0.782609,0.0797101,0.618357,207.593,0.573171,0.973404,0.549839
40,399,0.809524,0.137845,0.606516,223.727,0.63871,0.686869,0.503049
41,407,0.77887,0.127764,0.592138,212.617,0.633987,0.762887,0.548387
42,418,0.815789,0.107656,0.610048,212.22,0.631579,0.906863,0.545752
43,427,0.81733,0.0960187,0.594848,196.041,0.604863,0.788945,0.560372
44,450,0.771111,0.131111,0.6,213.602,0.602899,0.942308,0.559271
45,414,0.785024,0.125604,0.586957,214.469,0.66129,0.960976,0.542029
46,404,0.767327,0.153465,0.564356,211.691,0.583871,0.933702,0.519355
47,443,0.760722,0.103837,0.625282,209.704,0.53869,0.944751,0.470968
48,441,0.780045,0.126984,0.619048,213.004,0.594675,0.771144,0.508929
49,434,0.831797,0.126728,0.587558,211.933,0.613293,0.935961,0.502959
50,401,0.832918,0.119701,0.61596,212.615,0.620253,0.903061,0.510574
51,425,0.823529,0.0870588,0.590588,214.912,0.606061,0.925,0.528481
52,399,0.761905,0.110276,0.566416,212.021,0.624573,0.863388,0.481818
53,422,0.793839,0.111374,0.56872,213.692,0.6,0.802083,0.556314
54,397,0.803526,0.108312,0.579345,210.414,0.621795,0.948454,0.540625
55,429,0.806527,0.0979021,0.582751,213.311,0.597523,0.84456,0.487179
56,423,0.825059,0.132388,0.583924,213.147,0.637462,0.914692,0.544892
57,408,0.794118,0.137255,0.602941,215.904,0.637821,0.924623,0.537764
58,447,0.803132,0.118568,0.606264,212.249,0.592375,0.678218,0.570513
59,418,0.830144,0.136364,0.614833,213.656,0.623853,0.955882,0.536657
60,424,0.801887,0.132075,0.627358,217.31,0.6,0.830769,0.504587
61,414,0.81401,0.118357,0.608696,211.599,0.621451,0.883249,0.504615
62,406,0.810345,0.123153,0.603448,214.003,0.61039,0.930851,0.542587
63,416,0.795673,0.122596,0.649038,212.937,0.584375,0.775401,0.477273
64,396,0.818182,0.128788,0.60101,209.121,0.615132,0.909091,0.46875
65,422,0.7891,0.127962,0.606635,206.672,0.587156,0.942708,0.536184
66,402,0.788557,0.126866,0.626866,211.573,0.620915,0.926316,0.498471
67,424,0.792453,0.132075,0.613208,213.695,0.590504,0.899497,0.542484
68,409,0.801956,0.129584,0.660147,209.276,0.596923,0.85567,0.489614
69,396,0.770202,0.0782828,0.623737,209.791,0.582781,0.710227,0.436923
70,407,0.800983,0.0712531,0.638821,209.659,0.558442,0.825581,0.486755
71,417,0.767386,0.100719,0.59952,207.913,0.55836,0.920904,0.49026
72,423,0.839243,0.101655,0.626478,215.433,0.567485,0.875676,0.463722
73,399,0.804511,0.125313,0.631579,214.114,0.596026,0.722222,0.503067
74,388,0.804124,0.0953608,0.579897,208.988,0.594595,0.698864,0.52649
75,385,0.836364,0.132468,0.561039,210.107,0.506536,0.645161,0.35473
76,417,0.805755,0.129496,0.606715,213.982,0.487421,0.748387,0.392157
77,385,0.81039,0.101299,0.566234,208.842,0.532646,0.574194,0.389937
78,391,0.823529,0.13555,0.578005,209.493,0.518395,0.780645,0.398625
79,387,0.803618,0.124031,0.625323,213.712,0.505119,0.702703,0.384615
80,378,0.804233,0.116402,0.584656,211.943,0.52069,0.721854,0.395904
81,396,0.838384,0.138889,0.636364,210.44,0.550633,0.844828,0.486207
82,381,0.834646,0.133858,0.60105,211.189,0.564356,0.900585,0.458861
83,385,0.805195,0.132468,0.615584,210.01,0.454545,0.664286,0.379538
84,383,0.804178,0.0966057,0.584856,209.533,0.537162,0.867925,0.435065
85,369,0.794038,0.100271,0.617886,209.438,0.513423,0.836601,0.432432
86,374,0.858289,0.0882353,0.604278,210.733,0.537162,0.893082,0.456376
87,385,0.825974,0.116883,0.646753,210.91,0.5,0.76,0.422297
88,389,0.799486,0.113111,0.655527,210.346,0.5189,0.735099,0.433333
89,357,0.820728,0.123249,0.630252,211.325,0.541818,0.711409,0.446735
90,371,0.789757,0.126685,0.603774,211.137,0.511029,0.755396,0.414545
91,364,0.815934,0.0961538,0.587912,217.248,0.509225,0.652174,0.408088
92,376,0.781915,0.119681,0.664894,217.707,0.55477,0.853503,0.494465
93,366,0.789617,0.128415,0.606557,213.814,0.552347,0.843137,0.409894
94,371,0.849057,0.156334,0.633423,213.229,0.540351,0.883117,0.436823
95,375,0.810667,0.130667,0.629333,213.165,0.543554,0.839744,0.442105
96,376,0.859043,0.119681,0.609043,211.442,0.548736,0.822368,0.432056
97,362,0.765193,0.138122,0.640884,209.868,0.513109,0.759124,0.429603
98,379,0.783641,0.121372,0.596306,213.633,0.516245,0.615385,0.441948
99,369,0.818428,0.102981,0.634146,245.743,0.54417,0.837662,0.476534
100,397,0.790932,0.108312,0.644836,218.859,0.56229,0.598802,0.551237
101,403,0.823821,0.111663,0.64268,213.287,0.553459,0.647727,0.461279
