image_number,evaluation_1,evaluation_2_1,evaluation_2_2,evaluation_2_3,evaluation_3,evaluation_4,evaluation_5,evaluation_6
1,395,0.794937,0.118987,0.594937,49.1268,0.623529,0.943396,0.532609
2,430,0.790698,0.109302,0.588372,46.8252,0.594444,0.747664,0.535294
3,385,0.802597,0.119481,0.620779,46.5998,0.604651,0.980769,0.566667
4,410,0.792683,0.121951,0.592683,44.5062,0.596685,0.962963,0.546512
5,420,0.790476,0.128571,0.609524,44.8436,0.607527,0.761062,0.58011
6,405,0.8,0.14321,0.590123,50.7098,0.646739,0.739496,0.532258
7,424,0.79717,0.101415,0.589623,47.3043,0.646739,0.983193,0.548913
8,392,0.806122,0.122449,0.579082,45.8704,0.698113,0.963964,0.538043
9,423,0.801418,0.144208,0.583924,45.4014,0.609467,0.747573,0.597484
10,418,0.818182,0.141148,0.593301,42.1641,0.590164,0.962963,0.639053
11,407,0.813268,0.120393,0.628993,44.2733,0.617978,0.990909,0.535519
12,404,0.79703,0.121287,0.643564,43.0574,0.590164,0.953704,0.544944
13,406,0.793103,0.133005,0.576355,46.6682,0.660819,0.769912,0.562842
14,438,0.796804,0.118721,0.605023,44.0223,0.596939,0.726496,0.614035
15,409,0.819071,0.132029,0.611247,44.2128,0.701754,0.941667,0.581633
16,399,0.786967,0.100251,0.581454,42.9363,0.675,0.962963,0.567251
17,393,0.854962,0.111959,0.62341,40.8096,0.57377,0.72381,0.60625
18,419,0.792363,0.112172,0.596659,43.439,0.645349,0.954955,0.530055
19,417,0.796163,0.100719,0.604317,42.474,0.627778,0.778761,0.627907
20,425,0.785882,0.141176,0.585882,41.4053,0.642424,0.990566,0.522222
21,404,0.804455,0.128713,0.611386,41.4621,0.597633,0.990099,0.569697
22,402,0.818408,0.114428,0.579602,43.8373,0.652941,0.675676,0.60355
23,423,0.787234,0.106383,0.56974,44.0293,0.585106,0.972727,0.594118
24,396,0.808081,0.136364,0.643939,46.0673,0.658824,0.848214,0.537234
25,421,0.748219,0.12114,0.586698,45.9257,0.610811,0.876106,0.611765
