image_number,evaluation_1,evaluation_2_1,evaluation_2_2,evaluation_2_3,evaluation_3,evaluation_4,evaluation_5,evaluation_6
1,395,0.794937,0.118987,0.594937,33.9319,0.683544,0.937037,0.603248
2,430,0.790698,0.109302,0.588372,31.4545,0.632558,0.856618,0.693671
3,385,0.802597,0.119481,0.620779,31.4377,0.698701,0.899628,0.637209
4,410,0.792683,0.121951,0.592683,26.6727,0.67561,0.848375,0.724675
5,420,0.790476,0.128571,0.609524,28.6262,0.683333,0.902439,0.678049
6,405,0.8,0.14321,0.590123,34.0736,0.701235,0.876761,0.671429
7,424,0.79717,0.101415,0.589623,36.6146,0.698113,0.932432,0.701235
8,392,0.806122,0.122449,0.579082,27.75,0.727041,0.940351,0.679245
9,423,0.801418,0.144208,0.583924,27.2886,0.65721,0.94964,0.701531
10,418,0.818182,0.141148,0.593301,27.2148,0.669856,0.803571,0.65721
11,407,0.813268,0.120393,0.628993,28.7771,0.714988,0.893471,0.686603
12,404,0.79703,0.121287,0.643564,28.8987,0.663366,0.970149,0.670762
13,406,0.793103,0.133005,0.576355,29.4457,0.682266,0.967509,0.700495
14,438,0.796804,0.118721,0.605023,31.2811,0.675799,0.935811,0.719212
15,409,0.819071,0.132029,0.611247,29.3731,0.740831,0.920792,0.675799
16,399,0.786967,0.100251,0.581454,25.9038,0.684211,0.959707,0.669927
17,393,0.854962,0.111959,0.62341,31.1519,0.687023,0.918519,0.674185
18,419,0.792363,0.112172,0.596659,32.389,0.675418,0.95053,0.699746
19,417,0.796163,0.100719,0.604317,28.4945,0.671463,0.896429,0.658711
20,425,0.785882,0.141176,0.585882,27.5852,0.687059,0.767123,0.702638
21,404,0.804455,0.128713,0.611386,28.0643,0.700495,0.939929,0.675294
22,402,0.818408,0.114428,0.579602,27.8854,0.708955,0.929825,0.705446
23,423,0.787234,0.106383,0.56974,31.9916,0.699764,0.777027,0.711443
24,396,0.808081,0.136364,0.643939,27.0351,0.732323,0.955172,0.687943
25,421,0.748219,0.12114,0.586698,28.1834,0.665083,0.932143,0.691919
26,404,0.811881,0.111386,0.60396,34.8789,0.722772,0.869863,0.68171
27,416,0.757212,0.108173,0.596154,31.1648,0.665865,0.935018,0.660891
28,425,0.785882,0.112941,0.569412,29.5771,0.684706,0.831615,0.668269
29,391,0.769821,0.127877,0.603581,25.8386,0.685422,0.880597,0.614118
30,413,0.823245,0.130751,0.605327,26.9771,0.675545,0.741935,0.680307
31,413,0.835351,0.121065,0.622276,25.357,0.719128,0.905724,0.68523
32,393,0.78117,0.129771,0.592875,27.7161,0.709924,0.924731,0.644068
33,415,0.785542,0.0915663,0.595181,28.7644,0.672289,0.874552,0.709924
34,423,0.806147,0.125296,0.602837,29.9531,0.678487,0.853659,0.691566
35,413,0.835351,0.118644,0.661017,30.4621,0.699758,0.941176,0.664303
36,408,0.762255,0.142157,0.629902,28.0815,0.713235,0.945017,0.675545
37,404,0.831683,0.128713,0.581683,26.676,0.720297,0.896907,0.708333
38,409,0.806846,0.117359,0.591687,29.9844,0.733496,0.946667,0.715347
39,414,0.782609,0.0797101,0.618357,28.9247,0.688406,0.926316,0.674817
40,399,0.809524,0.137845,0.606516,29.8002,0.706767,0.91844,0.669082
41,407,0.77887,0.127764,0.592138,26.6157,0.665848,0.937269,0.676692
42,418,0.815789,0.107656,0.610048,27.8215,0.69378,0.8,0.697789
43,427,0.81733,0.0960187,0.594848,29.2457,0.681499,0.945017,0.691388
44,450,0.771111,0.131111,0.6,31.3754,0.671111,0.937086,0.681499
45,414,0.785024,0.125604,0.586957,25.8341,0.707729,0.969283,0.653333
46,404,0.767327,0.153465,0.564356,28.1148,0.655941,0.898113,0.625604
47,443,0.760722,0.103837,0.625282,29.707,0.602709,0.76779,0.658416
48,441,0.780045,0.126984,0.619048,26.4366,0.637188,0.86121,0.613995
49,434,0.831797,0.126728,0.587558,26.0151,0.675115,0.938567,0.662132
50,401,0.832918,0.119701,0.61596,26.7082,0.688279,0.855072,0.615207
51,425,0.823529,0.0870588,0.590588,27.2854,0.658824,0.917857,0.670823
52,399,0.761905,0.110276,0.566416,27.8458,0.671679,0.936567,0.621176
53,422,0.793839,0.111374,0.56872,31.527,0.654028,0.92029,0.679198
54,397,0.803526,0.108312,0.579345,27.1339,0.712846,0.918728,0.651659
55,429,0.806527,0.0979021,0.582751,28.1553,0.641026,0.945455,0.670025
56,423,0.825059,0.132388,0.583924,30.1394,0.690307,0.94863,0.687646
57,408,0.794118,0.137255,0.602941,28.0399,0.683824,0.967742,0.676123
58,447,0.803132,0.118568,0.606264,28.8741,0.653244,0.94863,0.705882
59,418,0.830144,0.136364,0.614833,26.4262,0.691388,0.955017,0.653244
60,424,0.801887,0.132075,0.627358,27.6848,0.669811,0.915493,0.660287
61,414,0.81401,0.118357,0.608696,25.1172,0.688406,0.894737,0.667453
