image_number,evaluation_1,evaluation_2_1,evaluation_2_2,evaluation_2_3,evaluation_3,evaluation_4,evaluation_5,evaluation_6
1,395,0.794937,0.118987,0.594937,13.9292,0.503797,0.768844,0.338747
2,430,0.790698,0.109302,0.588372,24.7506,0.488372,0.785714,0.374684
3,385,0.802597,0.119481,0.620779,17.6138,0.493506,0.778947,0.362791
4,410,0.792683,0.121951,0.592683,17.1984,0.465854,0.764398,0.322078
5,420,0.790476,0.128571,0.609524,16.9178,0.478571,0.761194,0.343902
6,405,0.8,0.14321,0.590123,20.9141,0.496296,0.706468,0.335714
7,424,0.79717,0.101415,0.589623,18.9193,0.485849,0.786408,0.385185
8,392,0.806122,0.122449,0.579082,17.9734,0.489796,0.802083,0.360849
9,423,0.801418,0.144208,0.583924,17.0229,0.489362,0.777778,0.395408
10,418,0.818182,0.141148,0.593301,16.3502,0.473684,0.772727,0.349882
11,407,0.813268,0.120393,0.628993,18.5492,0.4914,0.77,0.375598
12,404,0.79703,0.121287,0.643564,17.6462,0.472772,0.790576,0.380835
13,406,0.793103,0.133005,0.576355,21.5706,0.492611,0.815,0.403465
14,438,0.796804,0.118721,0.605023,17.8268,0.449772,0.746193,0.364532
15,409,0.819071,0.132029,0.611247,17.2595,0.501222,0.712195,0.360731
16,399,0.786967,0.100251,0.581454,16.4015,0.503759,0.79602,0.378973
17,393,0.854962,0.111959,0.62341,16.978,0.496183,0.774359,0.358396
18,419,0.792363,0.112172,0.596659,19.4632,0.451074,0.798942,0.346056
19,417,0.796163,0.100719,0.604317,18.7821,0.458034,0.743455,0.360382
20,425,0.785882,0.141176,0.585882,16.6894,0.48,0.759804,0.352518
21,404,0.804455,0.128713,0.611386,18.8068,0.467822,0.809524,0.362353
22,402,0.818408,0.114428,0.579602,17.275,0.472637,0.821053,0.363861
23,423,0.787234,0.106383,0.56974,17.1357,0.468085,0.813131,0.405473
24,396,0.808081,0.136364,0.643939,16.1443,0.5,0.838384,0.394799
25,421,0.748219,0.12114,0.586698,17.1577,0.47981,0.79703,0.376263
26,404,0.811881,0.111386,0.60396,19.7866,0.507426,0.785366,0.377672
27,416,0.757212,0.108173,0.596154,16.9688,0.449519,0.743316,0.346535
28,425,0.785882,0.112941,0.569412,19.2958,0.458824,0.805128,0.348558
29,391,0.769821,0.127877,0.603581,16.9291,0.462916,0.767956,0.336471
30,413,0.823245,0.130751,0.605327,15.8216,0.464891,0.807292,0.355499
31,413,0.835351,0.121065,0.622276,18.6104,0.460048,0.768421,0.365617
32,393,0.78117,0.129771,0.592875,19.0739,0.478372,0.803191,0.375303
33,415,0.785542,0.0915663,0.595181,18.3791,0.46988,0.805128,0.371501
34,423,0.806147,0.125296,0.602837,18.3032,0.465721,0.796954,0.354217
35,413,0.835351,0.118644,0.661017,17.3849,0.48184,0.824121,0.364066
36,408,0.762255,0.142157,0.629902,15.442,0.495098,0.772277,0.35109
37,404,0.831683,0.128713,0.581683,15.4349,0.470297,0.826316,0.365196
38,409,0.806846,0.117359,0.591687,14.7121,0.515892,0.78673,0.356436
39,414,0.782609,0.0797101,0.618357,18.29,0.463768,0.807292,0.352078
40,399,0.809524,0.137845,0.606516,16.2039,0.491228,0.770408,0.350242
41,407,0.77887,0.127764,0.592138,15.3352,0.481572,0.77551,0.411028
42,418,0.815789,0.107656,0.610048,17.1945,0.485646,0.704433,0.361179
43,427,0.81733,0.0960187,0.594848,16.0331,0.473068,0.782178,0.342105
44,450,0.771111,0.131111,0.6,16.7943,0.462222,0.697115,0.395785
45,414,0.785024,0.125604,0.586957,17.139,0.492754,0.769608,0.344444
46,404,0.767327,0.153465,0.564356,15.9151,0.435644,0.795455,0.316425
47,443,0.760722,0.103837,0.625282,19.5648,0.386005,0.707602,0.29703
48,441,0.780045,0.126984,0.619048,16.7183,0.444444,0.755102,0.31377
49,434,0.831797,0.126728,0.587558,19.7559,0.465438,0.722772,0.315193
50,401,0.832918,0.119701,0.61596,18.2854,0.526185,0.729858,0.343318
51,425,0.823529,0.0870588,0.590588,17.3398,0.475294,0.658416,0.371571
52,399,0.761905,0.110276,0.566416,19.1382,0.498747,0.713568,0.322353
53,422,0.793839,0.111374,0.56872,16.1614,0.452607,0.811518,0.390977
54,397,0.803526,0.108312,0.579345,16.2582,0.506297,0.756219,0.364929
55,429,0.806527,0.0979021,0.582751,16.0643,0.461538,0.737374,0.335013
56,423,0.825059,0.132388,0.583924,16.189,0.484634,0.702439,0.335664
57,408,0.794118,0.137255,0.602941,17.2587,0.497549,0.817734,0.368794
58,447,0.803132,0.118568,0.606264,15.6633,0.472036,0.753555,0.362745
59,418,0.830144,0.136364,0.614833,36.486,0.456938,0.774869,0.346756
60,424,0.801887,0.132075,0.627358,17.949,0.462264,0.688776,0.311005
61,414,0.81401,0.118357,0.608696,16.4149,0.466184,0.772021,0.313679
62,406,0.810345,0.123153,0.603448,17.7954,0.460591,0.754011,0.379227
63,416,0.795673,0.122596,0.649038,16.0467,0.442308,0.733696,0.315271
64,396,0.818182,0.128788,0.60101,16.484,0.474747,0.739362,0.307692
65,422,0.7891,0.127962,0.606635,16.4776,0.466825,0.64467,0.356061
66,402,0.788557,0.126866,0.626866,16.9612,0.462687,0.758065,0.327014
67,424,0.792453,0.132075,0.613208,17.585,0.424528,0.661111,0.310945
68,409,0.801956,0.129584,0.660147,15.6991,0.430318,0.784091,0.337264
69,396,0.770202,0.0782828,0.623737,17.4164,0.454545,0.694444,0.337408
70,407,0.800983,0.0712531,0.638821,16.8759,0.427518,0.735632,0.333333
71,417,0.767386,0.100719,0.59952,21.0027,0.42446,0.666667,0.314496
72,423,0.839243,0.101655,0.626478,16.5938,0.437352,0.648649,0.263789
73,399,0.804511,0.125313,0.631579,16.0023,0.43609,0.655172,0.316785
74,388,0.804124,0.0953608,0.579897,16.6112,0.42268,0.664634,0.310777
75,385,0.836364,0.132468,0.561039,14.9662,0.379221,0.458904,0.252577
76,417,0.805755,0.129496,0.606715,17.435,0.338129,0.503546,0.228571
77,385,0.81039,0.101299,0.566234,21.4001,0.381818,0.489796,0.215827
78,391,0.823529,0.13555,0.578005,16.554,0.424552,0.548193,0.288312
79,387,0.803618,0.124031,0.625323,16.4399,0.377261,0.520548,0.26087
80,378,0.804233,0.116402,0.584656,17.6279,0.37037,0.471429,0.186047
81,396,0.838384,0.138889,0.636364,16.8274,0.371212,0.537415,0.23545
82,381,0.834646,0.133858,0.60105,15.9354,0.383202,0.534247,0.227273
83,385,0.805195,0.132468,0.615584,16.8126,0.358442,0.413043,0.220472
84,383,0.804178,0.0966057,0.584856,19.1643,0.381201,0.636986,0.275325
85,369,0.794038,0.100271,0.617886,17.0153,0.390244,0.569444,0.214099
86,374,0.858289,0.0882353,0.604278,19.1891,0.390374,0.554795,0.230352
87,385,0.825974,0.116883,0.646753,18.29,0.381818,0.44898,0.26738
88,389,0.799486,0.113111,0.655527,14.869,0.383033,0.496644,0.228571
89,357,0.820728,0.123249,0.630252,15.9283,0.428571,0.594771,0.277635
90,371,0.789757,0.126685,0.603774,18.0892,0.382749,0.5,0.252101
91,364,0.815934,0.0961538,0.587912,15.9275,0.423077,0.493506,0.22372
92,376,0.781915,0.119681,0.664894,16.2188,0.401596,0.576159,0.288462
93,366,0.789617,0.128415,0.606557,18.1686,0.393443,0.652778,0.255319
94,371,0.849057,0.156334,0.633423,17.8924,0.398922,0.560811,0.243169
95,375,0.810667,0.130667,0.629333,18.7291,0.378667,0.56338,0.261456
96,376,0.859043,0.119681,0.609043,16.3491,0.351064,0.530303,0.226667
97,362,0.765193,0.138122,0.640884,16.5633,0.370166,0.447761,0.218085
98,379,0.783641,0.121372,0.596306,16.1898,0.379947,0.458333,0.209945
99,369,0.818428,0.102981,0.634146,15.5652,0.398374,0.619048,0.266491
100,397,0.790932,0.108312,0.644836,20.0223,0.390428,0.612903,0.295393
101,403,0.823821,0.111663,0.64268,15.7848,0.364764,0.47619,0.216625
102,367,0.784741,0.144414,0.640327,14.8832,0.408719,0.593333,0.233251
103,364,0.78022,0.115385,0.651099,15.4329,0.395604,0.6875,0.299728
104,341,0.818182,0.108504,0.627566,17.3862,0.428152,0.561644,0.263736
105,348,0.83908,0.106322,0.635057,16.6984,0.431034,0.526667,0.281525
106,369,0.823848,0.111111,0.579946,17.0768,0.401084,0.405405,0.287356
107,361,0.839335,0.119114,0.626039,15.3447,0.393352,0.485915,0.233062
108,346,0.806358,0.109827,0.66474,17.5015,0.395954,0.59854,0.271468
109,371,0.83558,0.126685,0.654987,18.0413,0.385445,0.58042,0.283237
110,347,0.804035,0.103746,0.616715,18.8987,0.391931,0.647059,0.239892
111,363,0.829201,0.134986,0.628099,17.5862,0.360882,0.687023,0.25072
112,379,0.799472,0.0949868,0.601583,15.9624,0.419525,0.584906,0.269972
113,364,0.802198,0.134615,0.612637,18.2133,0.370879,0.533333,0.221636
