image_number,evaluation_1,evaluation_2_1,evaluation_2_2,evaluation_2_3,evaluation_3,evaluation_4,evaluation_5,evaluation_6
1,527,0.658444,0.170778,0.647059,9.58719,0.827869,0.980198,0.862903
2,535,0.661682,0.164486,0.642991,12.0867,0.792,0.959596,0.803279
3,528,0.67803,0.164773,0.659091,13.7507,0.819672,0.95,0.888
4,530,0.643396,0.198113,0.650943,11.1636,0.768,0.916667,0.836066
5,525,0.660952,0.190476,0.659048,9.99316,0.792,0.959596,0.824
6,525,0.670476,0.20381,0.681905,12.5355,0.821429,0.717391,0.896
7,515,0.64466,0.207767,0.642718,11.3705,0.761905,0.979167,0.857143
8,528,0.642045,0.198864,0.640152,13.5792,0.825397,0.701923,0.857143
9,523,0.642447,0.191205,0.640535,10.3589,0.795455,0.971429,0.873016
10,528,0.666667,0.191288,0.643939,11.0723,0.872881,0.951456,0.871212
11,527,0.629981,0.220114,0.673624,10.3214,0.75188,0.89,0.872881
12,520,0.653846,0.198077,0.646154,9.37403,0.811024,0.854369,0.842105
13,523,0.665392,0.170172,0.67304,9.50823,0.83871,0.788462,0.874016
14,526,0.653992,0.188213,0.631179,9.82814,0.84,0.657143,0.919355
15,537,0.670391,0.197393,0.662942,9.99288,0.783582,0.819048,0.896
16,507,0.676529,0.189349,0.654832,8.89964,0.872881,0.990291,0.850746
17,525,0.647619,0.198095,0.689524,11.075,0.783582,0.980952,0.90678
18,540,0.659259,0.174074,0.668519,10.1057,0.856,0.981308,0.850746
19,536,0.643657,0.197761,0.690299,10.0857,0.772358,0.989474,0.856
20,531,0.6629,0.214689,0.655367,9.80468,0.816,0.676471,0.861789
21,526,0.665399,0.174905,0.663498,8.58597,0.813008,0.85,0.856
22,529,0.63327,0.20983,0.640832,9.35652,0.808333,0.979381,0.853659
23,523,0.680688,0.18738,0.690249,8.65559,0.831933,0.878788,0.883333
24,539,0.621521,0.198516,0.692022,11.2681,0.814516,0.960396,0.92437
25,530,0.669811,0.192453,0.673585,11.2078,0.775194,0.96,0.846774
26,528,0.659091,0.176136,0.640152,8.72669,0.804688,0.970874,0.868217
27,515,0.673786,0.201942,0.652427,8.4951,0.827273,0.747253,0.773438
28,528,0.647727,0.206439,0.672348,9.63419,0.722689,0.883721,0.827273
29,521,0.65643,0.214971,0.650672,9.48703,0.752066,0.923077,0.815126
30,521,0.658349,0.1881,0.658349,9.80043,0.8,0.967391,0.842975
31,518,0.65444,0.194981,0.642857,9.03995,0.756098,0.967742,0.904348
32,522,0.64751,0.216475,0.666667,10.5952,0.827869,0.792079,0.910569
33,540,0.675926,0.192593,0.659259,8.68133,0.830508,0.897959,0.868852
34,515,0.660194,0.190291,0.658252,10.9553,0.837838,0.752688,0.847458
35,529,0.638941,0.204159,0.671078,11.2031,0.781513,0.849462,0.900901
36,518,0.666023,0.179537,0.700772,9.08539,0.808696,0.731183,0.865546
37,561,0.641711,0.194296,0.643494,11.6141,0.747967,0.902174,0.86087
38,521,0.633397,0.199616,0.65643,8.49505,0.811966,0.978947,0.845528
39,541,0.661738,0.207024,0.624769,8.42476,0.782258,0.917526,0.880342
40,543,0.6593,0.206262,0.655617,9.03442,0.75,0.854167,0.846774
41,542,0.667897,0.204797,0.667897,9.44137,0.801653,0.969072,0.859375
42,545,0.697248,0.192661,0.636697,9.62512,0.788618,0.845361,0.826446
43,558,0.659498,0.195341,0.668459,8.92255,0.784,0.94898,0.861789
44,545,0.658716,0.234862,0.644037,9.42804,0.786885,1,0.808
45,565,0.654867,0.20885,0.669027,8.9481,0.787402,0.95,0.844262
46,540,0.642593,0.222222,0.67963,8.57781,0.793388,0.96875,0.834646
47,572,0.681818,0.190559,0.683566,10.0828,0.65942,0.626374,0.735537
48,527,0.685009,0.225806,0.673624,9.02573,0.779661,0.956522,0.804348
49,543,0.694291,0.195212,0.637201,8.88609,0.75,0.958333,0.855932
50,545,0.638532,0.212844,0.640367,11.3877,0.834783,0.666667,0.851562
51,524,0.645038,0.215649,0.650763,9.86596,0.789916,0.93617,0.895652
52,527,0.673624,0.178368,0.685009,10.3397,0.811966,0.768421,0.831933
53,523,0.634799,0.18738,0.674952,8.70994,0.817391,0.989362,0.846154
54,541,0.641405,0.182994,0.639556,11.0837,0.784615,0.843137,0.904348
55,540,0.662963,0.207407,0.675926,10.355,0.87931,0.794118,0.846154
56,525,0.64,0.192381,0.607619,8.37627,0.818966,0.947368,0.844828
57,544,0.634191,0.196691,0.669118,8.37898,0.786325,0.98913,0.853448
58,542,0.653137,0.195572,0.647601,8.8764,0.729508,1,0.803419
59,513,0.676413,0.181287,0.668616,12.2154,0.775862,0.733333,0.852459
60,513,0.647173,0.206628,0.633528,8.55936,0.773109,0.945652,0.862069
61,528,0.666667,0.1875,0.647727,9.36836,0.807018,0.695652,0.831933
62,516,0.639535,0.180233,0.684109,9.46544,0.732759,0.811765,0.798246
63,535,0.652336,0.192523,0.659813,8.97312,0.739496,0.806818,0.827586
64,510,0.64902,0.180392,0.678431,11.8994,0.769231,0.777778,0.806723
65,523,0.661568,0.196941,0.667304,9.33006,0.765217,0.829545,0.82906
66,528,0.676136,0.193182,0.640152,11.2379,0.741667,0.966292,0.869565
67,529,0.6862,0.181474,0.689981,9.89653,0.741935,0.793478,0.841667
68,551,0.658802,0.215971,0.635209,9.49455,0.740157,0.989362,0.862903
69,533,0.692308,0.193246,0.652908,11.2888,0.782258,0.907216,0.811024
70,502,0.631474,0.211155,0.639442,10.0038,0.726562,0.956989,0.879032
71,533,0.67167,0.172608,0.624765,9.70786,0.778689,0.852632,0.804688
72,539,0.671614,0.191095,0.641929,8.82229,0.739837,0.967033,0.868852
73,531,0.664783,0.195857,0.636535,8.75568,0.720721,0.6625,0.804878
74,531,0.696798,0.210923,0.630885,8.8063,0.691667,0.879518,0.810811
75,518,0.706564,0.202703,0.660232,9.96681,0.712963,0.675325,0.766667
76,531,0.651601,0.182674,0.632768,11.5861,0.583333,0.805195,0.722222
77,532,0.654135,0.161654,0.667293,9.57162,0.728814,0.895349,0.742424
78,519,0.674374,0.159923,0.676301,10.2171,0.65,0.74359,0.711864
79,561,0.663102,0.16934,0.618538,10.7304,0.593496,0.630137,0.666667
80,550,0.632727,0.174545,0.636364,9.28639,0.640351,0.534247,0.691057
81,523,0.699809,0.202677,0.634799,11.6662,0.714286,0.946667,0.754386
82,522,0.668582,0.226054,0.659004,8.30049,0.685185,0.878378,0.771429
83,549,0.653916,0.17122,0.673953,8.72119,0.625,0.857143,0.731481
84,548,0.702555,0.182482,0.691606,10.6701,0.672269,0.675,0.75
85,549,0.679417,0.180328,0.639344,10.7253,0.718182,0.810127,0.747899
86,573,0.678883,0.167539,0.642234,10.0361,0.669565,0.805195,0.763636
87,540,0.644444,0.207407,0.67037,8.96742,0.717949,0.880952,0.826087
88,524,0.646947,0.206107,0.671756,9.32065,0.8,0.9375,0.74359
89,527,0.677419,0.210626,0.662239,8.32563,0.652174,0.533333,0.79
90,512,0.679688,0.230469,0.644531,11.2466,0.72973,0.691358,0.756522
91,532,0.610902,0.210526,0.680451,8.74042,0.641026,0.573333,0.720721
92,502,0.625498,0.163347,0.641434,8.76114,0.731481,0.962025,0.846154
93,506,0.642292,0.193676,0.628458,12.6073,0.686441,0.740741,0.824074
94,531,0.65725,0.152542,0.642185,8.94974,0.805556,0.793103,0.762712
95,505,0.657426,0.176238,0.625743,11.0447,0.675439,0.714286,0.768519
96,533,0.651032,0.202627,0.65666,9.9203,0.692982,0.708861,0.850877
97,493,0.622718,0.166329,0.643002,8.48574,0.734694,0.902778,0.72807
98,504,0.623016,0.218254,0.630952,10.3874,0.631068,0.523077,0.693878
99,503,0.673956,0.15507,0.695825,9.58737,0.63964,0.591549,0.728155
100,524,0.671756,0.164122,0.641221,10.3889,0.747664,0.6875,0.783784
101,507,0.708087,0.17357,0.650888,10.2381,0.690265,0.602564,0.794393
102,513,0.662768,0.159844,0.678363,10.8735,0.678571,0.855263,0.769912
103,522,0.695402,0.191571,0.676245,11.0997,0.813084,0.632184,0.866071
104,490,0.702041,0.193878,0.708163,9.82385,0.731481,0.848101,0.831776
105,514,0.66537,0.184825,0.649805,8.72782,0.747664,0.7875,0.824074
106,507,0.637081,0.187377,0.637081,10.9719,0.679245,0.638889,0.803738
107,491,0.617108,0.199593,0.649695,9.75641,0.700935,0.56,0.764151
108,528,0.689394,0.195076,0.657197,9.00358,0.704762,0.918919,0.775701
109,524,0.648855,0.181298,0.681298,8.5433,0.718182,0.772152,0.8
110,517,0.696325,0.166344,0.676983,9.57065,0.633929,0.704225,0.790909
111,525,0.691429,0.192381,0.687619,9.98505,0.700935,0.893333,0.758929
112,509,0.67387,0.198428,0.6778,10.7985,0.699029,0.777778,0.719626
113,519,0.643545,0.210019,0.657033,8.51024,0.677966,0.7125,0.825243
114,520,0.636538,0.159615,0.642308,8.90139,0.712963,0.584416,0.779661
115,519,0.65896,0.175337,0.631985,8.56919,0.660714,0.797297,0.703704
116,512,0.666016,0.175781,0.65625,10.9328,0.728,0.835165,0.883929
117,510,0.654902,0.172549,0.621569,8.78601,0.761062,0.732558,0.792
118,487,0.613963,0.174538,0.622177,10.2689,0.743119,0.901235,0.778761
119,533,0.641651,0.161351,0.60788,12.0744,0.701754,0.7625,0.862385
120,511,0.65362,0.219178,0.632094,9.95205,0.705882,0.904762,0.815789
121,492,0.634146,0.170732,0.607724,11.6767,0.744898,0.684932,0.747899
122,487,0.667351,0.180698,0.638604,9.35036,0.733333,0.714286,0.795918
123,500,0.678,0.166,0.664,11.2158,0.666667,0.851351,0.809524
124,525,0.687619,0.190476,0.651429,9.20666,0.635593,0.693333,0.72973
125,515,0.638835,0.172816,0.621359,10.1439,0.690909,0.75,0.711864
126,507,0.641026,0.161736,0.642998,8.33692,0.657143,0.782609,0.672727
127,509,0.640472,0.188605,0.616896,9.13302,0.574074,0.483871,0.704762
128,492,0.689024,0.154472,0.642276,8.269,0.673469,0.636364,0.731481
129,468,0.66453,0.138889,0.600427,8.38298,0.616071,0.57971,0.806122
130,478,0.635983,0.146444,0.623431,10.8313,0.708738,0.739726,0.75
131,488,0.665984,0.172131,0.604508,8.34923,0.640351,0.726027,0.776699
132,480,0.683333,0.1625,0.63125,8.40466,0.742574,0.786667,0.763158
133,453,0.662252,0.187638,0.613687,7.79778,0.66,0.909091,0.742574
134,467,0.618844,0.179872,0.593148,9.56408,0.61,0.852459,0.75
135,471,0.649682,0.152866,0.617834,10.1515,0.632653,0.741935,0.78
136,467,0.62955,0.179872,0.591006,8.29492,0.673913,0.854839,0.734694
137,493,0.68357,0.176471,0.638945,8.84312,0.62,0.596774,0.706522
138,451,0.618625,0.217295,0.64745,8.9934,0.626263,0.693548,0.74
139,464,0.646552,0.161638,0.599138,8.78704,0.747253,0.632353,0.79798
140,475,0.698947,0.193684,0.572632,8.44748,0.649485,0.952381,0.791209
141,490,0.669388,0.173469,0.602041,9.08981,0.626168,0.686567,0.752577
142,440,0.654545,0.165909,0.6,10.6172,0.691489,0.646154,0.654206
143,441,0.666667,0.160998,0.634921,8.30192,0.622222,0.910714,0.744681
144,448,0.698661,0.1875,0.629464,9.09042,0.652174,0.816667,0.7
145,463,0.693305,0.161987,0.632829,10.1304,0.652174,0.816667,0.706522
146,457,0.669584,0.185996,0.619256,8.41282,0.652632,0.774194,0.695652
147,447,0.655481,0.163311,0.597315,8.66225,0.645833,0.693548,0.705263
148,459,0.684096,0.178649,0.590414,8.44714,0.659341,0.7,0.71875
149,476,0.665966,0.178571,0.647059,8.75152,0.708333,0.558824,0.725275
150,436,0.66055,0.199541,0.587156,8.24285,0.75,0.621212,0.760417
151,455,0.679121,0.208791,0.604396,8.99501,0.611111,0.621212,0.727273
152,475,0.688421,0.176842,0.581053,9.92396,0.695238,0.863014,0.777778
153,435,0.698851,0.17931,0.629885,7.89812,0.71134,0.681159,0.780952
154,429,0.641026,0.18648,0.629371,9.32705,0.654545,0.972222,0.793814
155,473,0.663848,0.186047,0.575053,10.734,0.71875,0.710145,0.681818
156,460,0.706522,0.21087,0.617391,8.38488,0.592593,0.6875,0.760417
157,469,0.637527,0.170576,0.588486,8.62374,0.761062,0.895349,0.851852
158,487,0.691992,0.190965,0.616016,24.4595,0.725664,0.707317,0.79646
159,475,0.694737,0.195789,0.64,9.86798,0.728155,0.613333,0.752212
160,446,0.686099,0.204036,0.647982,10.1364,0.68932,0.732394,0.757282
161,468,0.679487,0.202991,0.638889,9.23302,0.622449,0.770492,0.718447
162,461,0.726681,0.164859,0.655098,8.46025,0.579439,0.967742,0.734694
163,436,0.701835,0.169725,0.66055,8.18089,0.742857,0.705128,0.766355
164,428,0.679907,0.191589,0.665888,9.21243,0.755319,0.676056,0.828571
165,458,0.696507,0.174672,0.613537,11.1414,0.6,0.768116,0.734043
166,477,0.696017,0.190776,0.658281,8.60745,0.649573,0.565789,0.678261
167,428,0.672897,0.193925,0.665888,10.6702,0.721154,0.84,0.726496
168,480,0.689583,0.154167,0.591667,11.0936,0.666667,0.594595,0.75
169,487,0.665298,0.184805,0.640657,11.4817,0.642202,0.842857,0.702703
170,451,0.669623,0.186253,0.656319,8.29965,0.653061,0.59375,0.642202
171,456,0.66886,0.182018,0.649123,9.0256,0.663158,0.634921,0.714286
172,449,0.685969,0.175947,0.641425,7.92799,0.719101,0.8125,0.768421
173,472,0.686441,0.17161,0.673729,9.9239,0.548077,0.77193,0.764045
174,480,0.716667,0.197917,0.627083,9.03176,0.642202,0.6,0.711538
175,485,0.719588,0.173196,0.651546,8.40263,0.628866,0.606557,0.605505
176,479,0.724426,0.200418,0.676409,9.56253,0.663462,0.826087,0.742268
177,466,0.751073,0.139485,0.656652,10.669,0.66,0.939394,0.740385
178,472,0.705508,0.197034,0.633475,8.65858,0.65625,0.857143,0.71
179,463,0.656587,0.157667,0.62635,9.19304,0.632075,0.58209,0.791667
180,451,0.718404,0.16408,0.634146,10.5237,0.752381,0.683544,0.820755
181,457,0.746171,0.19256,0.630197,8.16665,0.693069,0.714286,0.771429
182,448,0.671875,0.178571,0.678571,8.08276,0.606061,0.583333,0.693069
183,442,0.69457,0.176471,0.660633,10.0376,0.645833,0.580645,0.666667
