image_number,evaluation_1,evaluation_2_1,evaluation_2_2,evaluation_2_3,evaluation_3,evaluation_4,evaluation_5,evaluation_6
1,527,0.658444,0.170778,0.647059,232.125,0.76,0.789474,0.811881
2,535,0.661682,0.164486,0.642991,222.883,0.815217,0.946667,0.8
3,528,0.67803,0.164773,0.659091,210.424,0.777778,0.948052,0.858696
4,530,0.643396,0.198113,0.650943,219.005,0.742574,0.92,0.79798
5,525,0.660952,0.190476,0.659048,222.078,0.75,0.958333,0.752475
6,525,0.670476,0.20381,0.681905,219.267,0.734043,0.855072,0.760417
7,515,0.64466,0.207767,0.642718,207.562,0.707071,0.9,0.755319
8,528,0.642045,0.198864,0.640152,202.444,0.782178,0.886076,0.787879
9,523,0.642447,0.191205,0.640535,204.838,0.806452,0.906667,0.792079
10,528,0.666667,0.191288,0.643939,205.185,0.747253,0.661765,0.752688
11,527,0.629981,0.220114,0.673624,202.751,0.663366,0.940299,0.813187
12,520,0.653846,0.198077,0.646154,200.149,0.737374,0.931507,0.762376
13,523,0.665392,0.170172,0.67304,204.711,0.752577,0.958904,0.737374
14,526,0.653992,0.188213,0.631179,203.834,0.794118,0.864198,0.814433
15,537,0.670391,0.197393,0.662942,203.963,0.79798,0.886076,0.794118
16,507,0.676529,0.189349,0.654832,204.12,0.795699,0.72973,0.818182
17,525,0.647619,0.198095,0.689524,208.411,0.711538,0.851351,0.817204
18,540,0.659259,0.174074,0.668519,204.498,0.743119,0.962963,0.759615
19,536,0.643657,0.197761,0.690299,204.414,0.836957,0.857143,0.816514
20,531,0.6629,0.214689,0.655367,205.3,0.731959,0.957746,0.804348
21,526,0.665399,0.174905,0.663498,204.591,0.788889,0.957746,0.804124
22,529,0.63327,0.20983,0.640832,203.276,0.772727,0.970588,0.811111
23,523,0.680688,0.18738,0.690249,203.923,0.71,0.971831,0.852273
24,539,0.621521,0.198516,0.692022,207.493,0.797872,0.906667,0.75
25,530,0.669811,0.192453,0.673585,203.666,0.72549,0.918919,0.787234
26,528,0.659091,0.176136,0.640152,204.743,0.72381,0.947368,0.813725
