image_number,evaluation_1,evaluation_2_1,evaluation_2_2,evaluation_2_3,evaluation_3,evaluation_4,evaluation_5,evaluation_6
1,527,0.658444,0.170778,0.647059,53.5302,0.751423,0.896465,0.821092
2,535,0.661682,0.164486,0.642991,74.7099,0.721495,0.873057,0.804554
3,528,0.67803,0.164773,0.659091,51.2754,0.725379,0.911227,0.818692
4,530,0.643396,0.198113,0.650943,54.4241,0.732075,0.82732,0.825758
5,525,0.660952,0.190476,0.659048,50.7404,0.733333,0.948052,0.798113
6,525,0.670476,0.20381,0.681905,52.7794,0.725714,0.944882,0.815238
7,515,0.64466,0.207767,0.642718,53.6137,0.730097,0.944149,0.828571
8,528,0.642045,0.198864,0.640152,53.2348,0.732955,0.945736,0.834951
9,523,0.642447,0.191205,0.640535,59.7269,0.736138,0.841558,0.797348
10,528,0.666667,0.191288,0.643939,53.8207,0.742424,0.943878,0.804971
11,527,0.629981,0.220114,0.673624,59.9115,0.734345,0.940568,0.795455
12,520,0.653846,0.198077,0.646154,51.2718,0.736538,0.947781,0.796964
13,523,0.665392,0.170172,0.67304,56.94,0.715105,0.914439,0.815385
14,526,0.653992,0.188213,0.631179,48.9491,0.73384,0.80829,0.818356
15,537,0.670391,0.197393,0.662942,57.0318,0.73743,0.95202,0.788973
16,507,0.676529,0.189349,0.654832,58.0542,0.769231,0.966667,0.819367
17,525,0.647619,0.198095,0.689524,52.4372,0.735238,0.948187,0.850099
18,540,0.659259,0.174074,0.668519,59.9021,0.742593,0.862843,0.841905
19,536,0.643657,0.197761,0.690299,53.4638,0.744403,0.912281,0.814815
20,531,0.6629,0.214689,0.655367,54.8296,0.728814,0.927649,0.802239
21,526,0.665399,0.174905,0.663498,51.3384,0.735741,0.937984,0.826742
22,529,0.63327,0.20983,0.640832,54.3683,0.750473,0.853904,0.804183
23,523,0.680688,0.18738,0.690249,66.6145,0.751434,0.94402,0.837429
24,539,0.621521,0.198516,0.692022,55.0091,0.753247,0.940887,0.826004
25,530,0.669811,0.192453,0.673585,54.5323,0.728302,0.943005,0.80705
26,528,0.659091,0.176136,0.640152,59.9454,0.748106,0.949367,0.813208
27,515,0.673786,0.201942,0.652427,53.3178,0.730097,0.851064,0.801136
28,528,0.647727,0.206439,0.672348,54.8173,0.725379,0.934726,0.801942
29,521,0.65643,0.214971,0.650672,51.3688,0.740883,0.930052,0.799242
30,521,0.658349,0.1881,0.658349,50.7773,0.731286,0.939633,0.825336
31,518,0.65444,0.194981,0.642857,53.6397,0.747104,0.937984,0.8119
32,522,0.64751,0.216475,0.666667,52.4872,0.726054,0.94723,0.793436
33,540,0.675926,0.192593,0.659259,52.2777,0.716667,0.96124,0.810345
34,515,0.660194,0.190291,0.658252,109.177,0.747573,0.948052,0.801852
35,529,0.638941,0.204159,0.671078,50.9824,0.710775,0.941489,0.840777
36,518,0.666023,0.179537,0.700772,51.6892,0.73166,0.860158,0.79017
37,561,0.641711,0.194296,0.643494,58.8062,0.705882,0.94697,0.84749
38,521,0.633397,0.199616,0.65643,54.2994,0.773512,0.885856,0.802139
39,541,0.661738,0.207024,0.624769,56.9326,0.704251,0.908136,0.8119
40,543,0.6593,0.206262,0.655617,55.3864,0.714549,0.814433,0.817006
41,542,0.667897,0.204797,0.667897,55.1961,0.721402,0.936061,0.812155
42,545,0.697248,0.192661,0.636697,54.6556,0.717431,0.961637,0.824723
43,558,0.659498,0.195341,0.668459,52.5838,0.71147,0.813602,0.814679
44,545,0.658716,0.234862,0.644037,58.4743,0.73945,0.920596,0.797491
45,565,0.654867,0.20885,0.669027,125.002,0.704425,0.932161,0.794495
46,540,0.642593,0.222222,0.67963,79.6098,0.751852,0.933498,0.79646
47,572,0.681818,0.190559,0.683566,95.4417,0.643357,0.858696,0.696296
48,527,0.685009,0.225806,0.673624,97.2149,0.666034,0.891738,0.660839
49,543,0.694291,0.195212,0.637201,59.2758,0.690608,0.84,0.800759
50,545,0.638532,0.212844,0.640367,68.4407,0.715596,0.874359,0.802947
51,524,0.645038,0.215649,0.650763,61.483,0.725191,0.918421,0.785321
52,527,0.673624,0.178368,0.685009,56.7525,0.72296,0.91601,0.812977
53,523,0.634799,0.18738,0.674952,54.215,0.74761,0.964194,0.814042
54,541,0.641405,0.182994,0.639556,51.0112,0.700555,0.875989,0.799235
55,540,0.662963,0.207407,0.675926,50.6133,0.709259,0.976501,0.796673
56,525,0.64,0.192381,0.607619,49.711,0.721905,0.939314,0.796296
57,544,0.634191,0.196691,0.669118,75.5177,0.705882,0.9375,0.809524
58,542,0.653137,0.195572,0.647601,51.6974,0.702952,0.955381,0.806985
59,513,0.676413,0.181287,0.668616,52.3105,0.729045,0.927807,0.774908
60,513,0.647173,0.206628,0.633528,53.0755,0.697856,0.941341,0.791423
61,528,0.666667,0.1875,0.647727,69.0111,0.681818,0.944444,0.773879
62,516,0.639535,0.180233,0.684109,47.8292,0.707364,0.780822,0.785985
63,535,0.652336,0.192523,0.659813,50.0134,0.685981,0.953678,0.80814
64,510,0.64902,0.180392,0.678431,49.6683,0.715686,0.912329,0.807477
65,523,0.661568,0.196941,0.667304,49.9312,0.678776,0.690141,0.754902
66,528,0.676136,0.193182,0.640152,60.7221,0.689394,0.752747,0.768642
67,529,0.6862,0.181474,0.689981,48.938,0.665406,0.801136,0.75
68,551,0.658802,0.215971,0.635209,51.6912,0.69147,0.863517,0.79206
69,533,0.692308,0.193246,0.652908,48.5239,0.727955,0.822165,0.794918
70,502,0.631474,0.211155,0.639442,49.039,0.705179,0.946328,0.769231
71,533,0.67167,0.172608,0.624765,48.4244,0.639775,0.903226,0.790837
72,539,0.671614,0.191095,0.641929,51.5317,0.638219,0.848837,0.744841
73,531,0.664783,0.195857,0.636535,50.1355,0.630885,0.877612,0.730983
74,531,0.696798,0.210923,0.630885,52.0051,0.672316,0.845938,0.736347
75,518,0.706564,0.202703,0.660232,52.0861,0.617761,0.65625,0.717514
76,531,0.651601,0.182674,0.632768,51.4939,0.585687,0.803859,0.650579
77,532,0.654135,0.161654,0.667293,64.3487,0.573308,0.72459,0.640301
78,519,0.674374,0.159923,0.676301,50.0173,0.579961,0.677741,0.659774
79,561,0.663102,0.16934,0.618538,52.5353,0.59893,0.690476,0.73025
80,550,0.632727,0.174545,0.636364,54.5729,0.638182,0.780627,0.709447
81,523,0.699809,0.202677,0.634799,57.1458,0.66348,0.668588,0.741818
82,522,0.668582,0.226054,0.659004,51.2536,0.670498,0.857143,0.736138
83,549,0.653916,0.17122,0.673953,52.4766,0.591985,0.612308,0.706897
