image_number,evaluation_1,evaluation_2_1,evaluation_2_2,evaluation_2_3,evaluation_3,evaluation_4,evaluation_5,evaluation_6
1,527,0.658444,0.170778,0.647059,20.3365,0.747628,0.959391,0.779661
2,535,0.661682,0.164486,0.642991,23.5631,0.730841,0.900256,0.759013
3,528,0.67803,0.164773,0.659091,23.6112,0.736742,0.958869,0.75514
4,530,0.643396,0.198113,0.650943,24.724,0.743396,0.903553,0.778409
5,525,0.660952,0.190476,0.659048,25.5493,0.76,0.879699,0.762264
6,525,0.670476,0.20381,0.681905,23.3761,0.748571,0.78117,0.775238
7,515,0.64466,0.207767,0.642718,24.4392,0.743689,0.947781,0.775238
8,528,0.642045,0.198864,0.640152,23.2719,0.736742,0.953728,0.778641
9,523,0.642447,0.191205,0.640535,23.6736,0.745698,0.85641,0.770833
10,528,0.666667,0.191288,0.643939,21.4968,0.738636,0.969231,0.764818
11,527,0.629981,0.220114,0.673624,20.218,0.736243,0.953608,0.767045
12,520,0.653846,0.198077,0.646154,19.2946,0.732692,0.973753,0.762808
13,523,0.665392,0.170172,0.67304,20.4264,0.726577,0.913158,0.780769
14,526,0.653992,0.188213,0.631179,21.4186,0.747148,0.92112,0.780115
15,537,0.670391,0.197393,0.662942,19.9559,0.744879,0.96,0.764259
16,507,0.676529,0.189349,0.654832,19.8473,0.788955,0.96,0.798883
17,525,0.647619,0.198095,0.689524,22.6942,0.75619,0.967254,0.814596
18,540,0.659259,0.174074,0.668519,21.1164,0.746296,0.870968,0.773333
19,536,0.643657,0.197761,0.690299,22.1067,0.733209,0.97201,0.774074
20,531,0.6629,0.214689,0.655367,19.6659,0.728814,0.914729,0.753731
21,526,0.665399,0.174905,0.663498,21.3739,0.743346,0.890026,0.760829
22,529,0.63327,0.20983,0.640832,22.4097,0.746692,0.956962,0.788973
23,523,0.680688,0.18738,0.690249,20.4088,0.736138,0.955844,0.773157
24,539,0.621521,0.198516,0.692022,22.4651,0.745826,0.962687,0.774379
