,Robustness of rotation,Robustness of scaling,Robustness with noise,Distinctiveness,Matching Score
512x32,0.856|0.008,0.157|0.007,0.551|0.066,0.267|0.054,0.366|0.086
896x128,0.827|0.007,0.156|0.005,0.591|0.02,0.37|0.016,0.515|0.008
896x256,0.843|0.01,0.146|0.006,0.663|0.012,0.309|0.013,0.486|0.013
1024x64,0.809|0.015,0.124|0.004,0.54|0.027,0.427|0.018,0.53|0.006
1024x128,0.832|0.006,0.147|0.005,0.584|0.022,0.372|0.016,0.504|0.008
1024x256,0.851|0.009,0.134|0.006,0.659|0.013,0.32|0.013,0.483|0.013
1280x64,0.798|0.017,0.116|0.004,0.527|0.027,0.41|0.017,0.5|0.006
1280x128,0.823|0.007,0.138|0.005,0.575|0.023,0.353|0.014,0.479|0.008
1280x256,0.849|0.009,0.127|0.005,0.652|0.013,0.301|0.012,0.464|0.014
1920x128,0.808|0.008,0.124|0.005,0.553|0.024,0.321|0.012,0.436|0.008
1920x256,0.844|0.01,0.114|0.005,0.644|0.014,0.274|0.011,0.43|0.015
2048x128,0.799|0.008,0.129|0.005,0.544|0.026,0.309|0.012,0.425|0.008
2048x256,0.837|0.01,0.119|0.006,0.633|0.015,0.263|0.01,0.421|0.015
2560x128,0.802|0.009,0.111|0.004,0.547|0.026,0.294|0.01,0.4|0.009
2560x256,0.842|0.01,0.106|0.005,0.644|0.016,0.249|0.009,0.401|0.016
4096x128,0.799|0.011,0.087|0.004,0.557|0.038,0.257|0.008,0.339|0.01
